Company_name,layoff_size,date,source
"""21"" CLUB",154.0,2018-02-06,WARNDatabaseMasterExcluding2026.csv
#PAID,19.0,2023-01-27,fyi_layoffs.csv
&OPEN,9.0,2022-11-17,fyi_layoffs.csv
(1045) SAN DIEGO LGBT COMMUNITY CENTER,6.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(1180) SAN DIEGO LGBT COMMUNITY CENTER,3.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(131) SAN DIEGO LGBT COMMUNITY CENTER,1.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(134) SAN DIEGO LGBT COMMUNITY CENTER,1.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(1640) SAN DIEGO LGBT COMMUNITY CENTER,7.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(1807) SAN DIEGO LGBT COMMUNITY CENTER,5.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(3045) SAN DIEGO LGBT COMMUNITY CENTER,1.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(3636) SAN DIEGO LGBT COMMUNITY CENTER,20.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(3851) SAN DIEGO LGBT COMMUNITY CENTER,1.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(3878) SAN DIEGO LGBT COMMUNITY CENTER,3.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(3909) SAN DIEGO LGBT COMMUNITY CENTER,60.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(460) SAN DIEGO LGBT COMMUNITY CENTER,1.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(514) SAN DIEGO LGBT COMMUNITY CENTER,2.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(520) SAN DIEGO LGBT COMMUNITY CENTER,1.0,2025-07-10,WARNDatabaseMasterExcluding2026.csv
(MARFRED) AMCOR PACKAGING DISTRIBUTION,45.0,2013-02-08,WARNDatabaseMasterExcluding2026.csv
"(NFI) NATIONAL DISTRIBUTION CENTERS, LLC",5.0,2022-07-18,WARNDatabaseMasterExcluding2026.csv
"(REMOTE EMPLOYEES) FORD, WALKER, HAGGERTY & BEHAR, LLP (FWHB)",81.0,2025-05-05,WARNDatabaseMasterExcluding2026.csv
*AMENDED* JOSEPH ABBOUD MANUFACTURING CORPORATION,50.0,2020-12-10,WARNDatabaseMasterExcluding2026.csv
*UPDATE LOCKHEED MARTIN,27.0,2014-07-01,WARNDatabaseMasterExcluding2026.csv
*UPDATE* 700 ST RESTAURANT D/B/A JONES,72.0,2020-05-01,WARNDatabaseMasterExcluding2026.csv
*UPDATE* ACF INDUSTRIES LLC,148.0,2019-11-01,WARNDatabaseMasterExcluding2026.csv
"*UPDATE* AK COAL RECOURSE, INC",114.0,2020-06-01,WARNDatabaseMasterExcluding2026.csv
*UPDATE* AKERS NATIONAL ROLL COMPANY,78.0,2019-07-01,WARNDatabaseMasterExcluding2026.csv
*UPDATE* ALOHILANI RESORT,0.0,2021-04-28,WARNDatabaseMasterExcluding2026.csv
*UPDATE* AMERICAN AXLE & MANUFACTURING,10.0,2015-09-01,WARNDatabaseMasterExcluding2026.csv
*UPDATE* AMERICAN MACHINERY,55.0,2020-10-21,WARNDatabaseMasterExcluding2026.csv
*UPDATE* ANADARKO PETROLEUM CORPORATION,52.0,2017-01-01,WARNDatabaseMasterExcluding2026.csv
*UPDATE* ARAMARK AT UNIVERSITY OF PITTSBURGH MEDICAL CENTER,435.0,2021-09-01,WARNDatabaseMasterExcluding2026.csv
*UPDATE* ARCHWAY MARKETING SERVICES INC.,3.0,2020-11-01,WARNDatabaseMasterExcluding2026.csv
*UPDATE* ARROW INTERNATIONAL INCORPORATED/TELEFLEX,6.0,2018-04-01,WARNDatabaseMasterExcluding2026.csv
*UPDATE* ARROW INTERNATIONAL INCORPORATED/TELEFLEX,1.0,2018-07-01,WARNDatabaseMasterExcluding2026.csv
*UPDATE* ARROW INTERNATIONAL INCORPORATED/TELEFLEX,59.0,2019-02-01,WARNDatabaseMasterExcluding2026.csv
