,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2024-12-31
Ordinary Shares Number,470028217.0,470028217.0,400028217.0,400028217.0,400028217.0
Share Issued,470028217.0,470028217.0,400028217.0,400028217.0,400028217.0
Net Debt,,,917215310.07,,
Total Debt,2959116387.37,2941417914.07,2071197449.61,2074455037.44,1603539643.75
Tangible Book Value,11462324962.45,11402611426.11,3877266015.05,4261270548.72,4420458445.05
Invested Capital,14274397196.09,14171075317.57,5941677884.19,6175094212.34,5984152792.6
Working Capital,11688107433.86,12015892529.92,4126478121.14,4613890142.03,4767309707.91
Net Tangible Assets,11462324962.45,11402611426.11,3877266015.05,4261270548.72,4420458445.05
Capital Lease Obligations,3714909.96,4654307.28,2925667.67,1933144.87,2481287.01
Common Stock Equity,11519512971.98,11459014260.38,3938114562.76,4324199331.02,4489976325.04
Total Capitalization,13239488372.25,12945019048.28,4533245114.94,4958572886.77,5066565150.02
Total Equity Gross Minority Interest,11519512971.98,11459014260.38,3938114562.76,4324199331.02,4489976325.04
Stockholders Equity,11519512971.98,11459014260.38,3938114562.76,4324199331.02,4489976325.04
Retained Earnings,-2304970196.13,-2334329414.74,-2057071513.84,-1604485255.94,-1333542915.14
Additional Paid In Capital,,11829921481.39,,4323869202.24,4323869202.24
Capital Stock,470028217.0,470028217.0,400028217.0,400028217.0,400028217.0
Common Stock,470028217.0,470028217.0,400028217.0,400028217.0,400028217.0
Total Liabilities Net Minority Interest,3970941943.26,3879618403.02,2804529065.41,2697372456.22,2592420027.62
Total Non Current Liabilities Net Minority Interest,1736710513.99,1495433561.87,601724882.14,641225362.91,584070111.99
Other Non Current Liabilities,13020203.76,4774466.69,2418662.29,2418662.29,
Non Current Deferred Revenue,,,1250000.0,2500000.0,5000000.0
Long Term Debt And Capital Lease Obligation,1723690310.23,1490659095.18,598056219.85,636306700.62,579070111.99
Long Term Capital Lease Obligation,3714909.96,4654307.28,2925667.67,1933144.87,2481287.01
Long Term Debt,1719975400.27,1486004787.9,595130552.18,634373555.75,576588824.98
Current Liabilities,2234231429.27,2384184841.15,2202804183.27,2056147093.31,2008349915.63
Other Current Liabilities,287719596.18,348651922.25,345700000.0,344450758.6,164637707.8
Current Debt And Capital Lease Obligation,1235426077.14,1450758818.89,1473141229.76,1438148336.82,1024469531.76
Current Debt,1034908823.84,1226056269.29,1408432769.25,1216521325.57,917587642.58
Payables,653770396.75,563211659.79,380229256.15,268236652.37,646569967.06
Other Payable,502963416.45,339879117.91,292825042.96,226758772.64,459673560.13
Total Tax Payable,9870830.03,19047662.51,11495595.01,16849485.42,13070426.56
Accounts Payable,140936150.27,204284879.37,75908618.18,24628394.31,173825980.37
Total Assets,15490454915.24,15338632663.4,6742643628.17,7021571787.24,7082396352.66
Total Non Current Assets,1568116052.11,938555292.33,413361323.76,351534551.9,306736729.12
Other Non Current Assets,400792971.68,306424602.03,80682149.13,66270317.52,9478746.15
Non Current Deferred Assets,5526493.55,3439579.77,4036636.66,4568941.33,5013111.52
Investmentin Financial Assets,85960199.92,94807572.42,53275200.0,53275200.0,52975200.0
Available For Sale Securities,85960199.92,94807572.42,53275200.0,53275200.0,52975200.0
Long Term Equity Investment,25289308.6,25600343.44,25911378.28,26816242.32,27446487.14
Goodwill And Other Intangible Assets,57188009.53,56402834.27,60848547.71,62928782.3,69517879.99
Other Intangible Assets,57188009.53,56402834.27,60848547.71,62928782.3,69517879.99
Net PPE,993359068.83,451880360.4,188607411.98,137675068.43,142305304.32
Accumulated Depreciation,,-388717550.87,,-353578216.67,-316280808.56
Gross PPE,993359068.83,840597911.27,188607411.98,491253285.1,458586112.88
Construction In Progress,2535472.79,183461.75,1046989.63,,
Other Properties,990823596.04,833814677.49,187560422.35,484956176.98,452525078.61
Machinery Furniture Equipment,,6599772.03,,6297108.12,6061034.27
Current Assets,13922338863.13,14400077371.07,6329282304.41,6670037235.34,6775659623.54
Other Current Assets,1033466160.72,1492335487.92,1491297860.67,1466689834.68,64396415.96
Prepaid Assets,2360965636.22,1782084451.57,1073123905.81,1134869842.73,567108302.22
Inventory,2195183438.22,1332068478.65,937774976.05,511870396.16,647037679.19
Inventories Adjustments Allowances,,0.0,0.0,0.0,0.0
Other Inventories,,2904374.86,,,
Finished Goods,,249902115.9,209152442.78,47492264.75,94698735.6
Work In Process,,555260395.68,203196437.66,228951825.74,260400303.72
Raw Materials,,524001592.21,525426095.61,235426305.67,291938639.87
Other Receivables,7917713.89,5010582.58,86852127.7,86656781.87,173051161.85
Accounts Receivable,637815318.84,433894745.87,121595204.23,383336955.15,78169503.11
Allowance For Doubtful Accounts Receivable,,-6380236.81,-2379791.45,-4074968.69,-948064.65
Gross Accounts Receivable,,440274982.68,123974995.68,387411923.84,79117567.76
Cash Cash Equivalents And Short Term Investments,7686990595.24,9354683624.48,2618638229.95,3086613424.75,5245896561.21
Other Short Term Investments,2663389743.21,178931094.21,1532290218.59,581851084.86,350175091.81
Cash And Cash Equivalents,5023600852.03,9175752530.27,1086348011.36,2504762339.89,4895721469.4
Cash Equivalents,,236822.96,250368.98,346751.41,426951.31
Cash Financial,,9175515707.31,1086097642.38,2504415588.48,4895294518.09
