,2025-12-31,2025-06-30
Treasury Shares Number,1421363.0,2803377.0
Ordinary Shares Number,107397553.0,106017639.0
Share Issued,108818916.0,108821016.0
Total Debt,33630000000.0,35750000000.0
Tangible Book Value,104443000000.0,94712000000.0
Invested Capital,257887000000.0,248954000000.0
Working Capital,102708000000.0,98248000000.0
Net Tangible Assets,104443000000.0,94712000000.0
Capital Lease Obligations,4216000000.0,4128000000.0
Common Stock Equity,228473000000.0,217332000000.0
Total Capitalization,243429000000.0,234522000000.0
Total Equity Gross Minority Interest,228589000000.0,217864000000.0
Minority Interest,116000000.0,532000000.0
Stockholders Equity,228473000000.0,217332000000.0
Other Equity Interest,7838000000.0,1809000000.0
Treasury Stock,1510000000.0,2978000000.0
Retained Earnings,177516000000.0,173176000000.0
Additional Paid In Capital,36944000000.0,38199000000.0
Capital Stock,7685000000.0,7126000000.0
Common Stock,7685000000.0,7126000000.0
Total Liabilities Net Minority Interest,73209000000.0,75476000000.0
Total Non Current Liabilities Net Minority Interest,33989000000.0,38158000000.0
Other Non Current Liabilities,389000000.0,187000000.0
Non Current Pension And Other Postretirement Benefit Plans,261000000.0,284000000.0
Non Current Deferred Taxes Liabilities,15280000000.0,17279000000.0
Long Term Debt And Capital Lease Obligation,17886000000.0,20237000000.0
Long Term Capital Lease Obligation,2930000000.0,3047000000.0
Long Term Debt,14956000000.0,17190000000.0
Long Term Provisions,173000000.0,171000000.0
Current Liabilities,39220000000.0,37318000000.0
Other Current Liabilities,9586000000.0,
Current Debt And Capital Lease Obligation,15744000000.0,15513000000.0
Current Capital Lease Obligation,1286000000.0,1081000000.0
Current Debt,14458000000.0,14432000000.0
Current Provisions,385000000.0,
Payables,12295000000.0,12855000000.0
Total Tax Payable,4163000000.0,4090000000.0
Accounts Payable,8132000000.0,8765000000.0
Total Assets,301798000000.0,293340000000.0
Total Non Current Assets,159870000000.0,157773000000.0
Other Non Current Assets,42000000.0,39000000.0
Defined Pension Benefit,100000000.0,177000000.0
Non Current Deferred Taxes Assets,2684000000.0,3371000000.0
Investmentin Financial Assets,20730000000.0,19875000000.0
Available For Sale Securities,20730000000.0,19875000000.0
Long Term Equity Investment,76000000.0,75000000.0
Goodwill And Other Intangible Assets,124030000000.0,122620000000.0
Other Intangible Assets,73697000000.0,73146000000.0
Goodwill,50333000000.0,49474000000.0
Net PPE,12208000000.0,11616000000.0
Gross PPE,12208000000.0,11616000000.0
Other Properties,12208000000.0,11616000000.0
Current Assets,141928000000.0,135566000000.0
Other Current Assets,1356000000.0,1467000000.0
Inventory,23701000000.0,22977000000.0
Taxes Receivable,349000000.0,0.0
Accounts Receivable,16871000000.0,17266000000.0
Cash Cash Equivalents And Short Term Investments,99651000000.0,93856000000.0
Other Short Term Investments,2252000000.0,908000000.0
Cash And Cash Equivalents,97399000000.0,92948000000.0
