,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,9597693.0,9586770.0,5203361.0,5203282.0,5169351.0,
Share Issued,9597693.0,9586770.0,5203361.0,5203282.0,5169351.0,
Total Debt,13898000.0,14738000.0,15536000.0,15358000.0,16245000.0,
Tangible Book Value,140065000.0,159210000.0,109142000.0,133372000.0,161446000.0,
Invested Capital,140065000.0,159210000.0,109142000.0,133372000.0,161446000.0,
Working Capital,121773000.0,139395000.0,87553000.0,110661000.0,137116000.0,
Net Tangible Assets,140065000.0,159210000.0,109142000.0,133372000.0,161446000.0,
Capital Lease Obligations,13898000.0,14738000.0,15536000.0,15358000.0,16245000.0,
Common Stock Equity,140065000.0,159210000.0,109142000.0,133372000.0,161446000.0,
Total Capitalization,140065000.0,159210000.0,109142000.0,133372000.0,161446000.0,
Total Equity Gross Minority Interest,140065000.0,159210000.0,109142000.0,133372000.0,161446000.0,
Stockholders Equity,140065000.0,159210000.0,109142000.0,133372000.0,161446000.0,
Gains Losses Not Affecting Retained Earnings,-37000.0,102000.0,56000.0,-41000.0,-9000.0,
Other Equity Adjustments,-37000.0,102000.0,56000.0,-41000.0,-9000.0,
Retained Earnings,-634941000.0,-614697000.0,-584181000.0,-557325000.0,-526108000.0,
Additional Paid In Capital,775042000.0,773795000.0,693259000.0,690730000.0,687555000.0,
Capital Stock,1000.0,10000.0,8000.0,8000.0,8000.0,
Common Stock,1000.0,10000.0,8000.0,8000.0,8000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,29317000.0,33145000.0,31337000.0,29600000.0,29825000.0,
Total Non Current Liabilities Net Minority Interest,11019000.0,11614000.0,12396000.0,12521000.0,13378000.0,
Other Non Current Liabilities,,62000.0,125000.0,116000.0,116000.0,116000.0
Long Term Debt And Capital Lease Obligation,11019000.0,11552000.0,12271000.0,12405000.0,13262000.0,
Long Term Capital Lease Obligation,11019000.0,11552000.0,12271000.0,12405000.0,13262000.0,
Current Liabilities,18298000.0,21531000.0,18941000.0,17079000.0,16447000.0,
Current Debt And Capital Lease Obligation,2879000.0,3186000.0,3265000.0,2953000.0,2983000.0,
Current Capital Lease Obligation,2879000.0,3186000.0,3265000.0,2953000.0,2983000.0,
Pensionand Other Post Retirement Benefit Plans Current,3701000.0,5632000.0,6166000.0,4949000.0,4885000.0,
Payables And Accrued Expenses,11718000.0,12713000.0,9510000.0,9177000.0,8579000.0,
Current Accrued Expenses,8789000.0,7974000.0,5223000.0,5885000.0,4176000.0,
Payables,2929000.0,4739000.0,4287000.0,3292000.0,4403000.0,
Accounts Payable,2929000.0,4739000.0,4287000.0,3292000.0,4403000.0,
Total Assets,169382000.0,192355000.0,140479000.0,162972000.0,191271000.0,
Total Non Current Assets,29311000.0,31429000.0,33985000.0,35232000.0,37708000.0,
Other Non Current Assets,2947000.0,2948000.0,3013000.0,3128000.0,3217000.0,
Net PPE,26364000.0,28481000.0,30972000.0,32104000.0,34491000.0,
Accumulated Depreciation,-28730000.0,-27387000.0,-25915000.0,-24342000.0,-22996000.0,
Gross PPE,55094000.0,55868000.0,56887000.0,56446000.0,57487000.0,
Leases,28447000.0,28422000.0,28422000.0,28422000.0,28425000.0,
Construction In Progress,166000.0,198000.0,197000.0,344000.0,229000.0,
Other Properties,24906000.0,25674000.0,26703000.0,26255000.0,27258000.0,
Machinery Furniture Equipment,1575000.0,1574000.0,1565000.0,1425000.0,1575000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,140071000.0,160926000.0,106494000.0,127740000.0,153563000.0,
Other Current Assets,348000.0,320000.0,619000.0,690000.0,478000.0,
Prepaid Assets,1726000.0,1734000.0,2608000.0,2087000.0,2646000.0,
Receivables,405000.0,342000.0,169000.0,,,97000.0
Accrued Interest Receivable,405000.0,342000.0,169000.0,,,97000.0
Cash Cash Equivalents And Short Term Investments,137592000.0,158530000.0,103098000.0,124963000.0,150439000.0,
Other Short Term Investments,101347000.0,119612000.0,73999000.0,90243000.0,122306000.0,
Cash And Cash Equivalents,36245000.0,38918000.0,29099000.0,34720000.0,28133000.0,
