,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,22210459.0,22210459.0,15381565.0,15381565.0,15381565.0,
Share Issued,22210459.0,22210459.0,15381565.0,15381565.0,15381565.0,
Net Debt,9963000.0,3935000.0,16518000.0,8745000.0,4689000.0,
Total Debt,24089000.0,21758000.0,21967000.0,17779000.0,18583000.0,
Tangible Book Value,-15211000.0,-8534000.0,-22248000.0,-12270000.0,-8537000.0,
Invested Capital,28597000.0,33442000.0,19879000.0,25611000.0,30051000.0,
Working Capital,7282000.0,11849000.0,-1559000.0,7343000.0,11367000.0,
Net Tangible Assets,-15211000.0,-8534000.0,-22248000.0,-12270000.0,-8537000.0,
Capital Lease Obligations,1217000.0,718000.0,776000.0,834000.0,931000.0,
Common Stock Equity,5725000.0,12402000.0,-1312000.0,8666000.0,12399000.0,
Total Capitalization,28597000.0,33442000.0,19879000.0,25611000.0,30051000.0,
Total Equity Gross Minority Interest,5725000.0,12402000.0,-1312000.0,8666000.0,12399000.0,
Stockholders Equity,5725000.0,12402000.0,-1312000.0,8666000.0,12399000.0,
Gains Losses Not Affecting Retained Earnings,-143000.0,-99000.0,-95000.0,-99000.0,-60000.0,
Other Equity Adjustments,-143000.0,-99000.0,-95000.0,-99000.0,-60000.0,
Retained Earnings,-102631000.0,-95609000.0,-92303000.0,-82184000.0,-78256000.0,
Additional Paid In Capital,108497000.0,108108000.0,91084000.0,90947000.0,90713000.0,
Capital Stock,2000.0,2000.0,2000.0,2000.0,2000.0,
Common Stock,2000.0,2000.0,2000.0,2000.0,2000.0,
Total Liabilities Net Minority Interest,33583000.0,30851000.0,32858000.0,27210000.0,28939000.0,
Total Non Current Liabilities Net Minority Interest,25010000.0,22618000.0,23156000.0,22326000.0,22933000.0,
Other Non Current Liabilities,,,,3614000.0,3616000.0,3616000.0
Preferred Securities Outside Stock Equity,,,,,,0.0
Derivative Product Liabilities,263000.0,132000.0,486000.0,255000.0,114000.0,
Non Current Deferred Liabilities,883000.0,883000.0,883000.0,883000.0,883000.0,
Non Current Deferred Taxes Liabilities,883000.0,883000.0,883000.0,883000.0,883000.0,
Long Term Debt And Capital Lease Obligation,23864000.0,21603000.0,21787000.0,17574000.0,18320000.0,
Long Term Capital Lease Obligation,992000.0,563000.0,596000.0,629000.0,668000.0,
Long Term Debt,22872000.0,21040000.0,21191000.0,16945000.0,17652000.0,
Current Liabilities,8573000.0,8233000.0,9702000.0,4884000.0,6006000.0,
Current Debt And Capital Lease Obligation,225000.0,155000.0,180000.0,205000.0,263000.0,
Current Capital Lease Obligation,225000.0,155000.0,180000.0,205000.0,263000.0,
Pensionand Other Post Retirement Benefit Plans Current,2075000.0,1533000.0,1634000.0,1690000.0,1931000.0,
Payables And Accrued Expenses,6273000.0,6545000.0,7888000.0,2989000.0,3812000.0,
Current Accrued Expenses,5056000.0,5463000.0,6864000.0,1674000.0,1165000.0,
Payables,1217000.0,1082000.0,1024000.0,1315000.0,2647000.0,
Accounts Payable,1217000.0,1082000.0,1024000.0,1315000.0,2647000.0,
Total Assets,39308000.0,43253000.0,31546000.0,35876000.0,41338000.0,
Total Non Current Assets,23453000.0,23171000.0,23403000.0,23649000.0,23965000.0,
Other Non Current Assets,1000.0,3000.0,6000.0,9000.0,11000.0,
Goodwill And Other Intangible Assets,20936000.0,20936000.0,20936000.0,20936000.0,20936000.0,
Other Intangible Assets,6969000.0,6969000.0,6969000.0,6969000.0,6969000.0,
Goodwill,13967000.0,13967000.0,13967000.0,13967000.0,13967000.0,
Net PPE,2516000.0,2232000.0,2461000.0,2704000.0,3018000.0,
Accumulated Depreciation,-2821000.0,-2649000.0,-2328000.0,-3377000.0,-3021000.0,
Gross PPE,5337000.0,4881000.0,4789000.0,6081000.0,6039000.0,
Leases,296000.0,296000.0,300000.0,301000.0,303000.0,
Construction In Progress,,,,,,0.0
Other Properties,3752000.0,3195000.0,3255000.0,4454000.0,4586000.0,
Machinery Furniture Equipment,1289000.0,1390000.0,1234000.0,1326000.0,1150000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,15855000.0,20082000.0,8143000.0,12227000.0,17373000.0,
Other Current Assets,281000.0,316000.0,811000.0,1076000.0,507000.0,
Prepaid Assets,1061000.0,989000.0,1111000.0,1110000.0,1592000.0,
Inventory,1604000.0,1672000.0,1548000.0,1841000.0,2310000.0,
Finished Goods,37000.0,86000.0,69000.0,185000.0,663000.0,
Work In Process,203000.0,163000.0,82000.0,92000.0,105000.0,
Raw Materials,1364000.0,1423000.0,1397000.0,1564000.0,1542000.0,
Receivables,,0.0,0.0,0.0,1000.0,35000.0
Accounts Receivable,,0.0,0.0,0.0,1000.0,35000.0
Cash Cash Equivalents And Short Term Investments,12909000.0,17105000.0,4673000.0,8200000.0,12963000.0,
Cash And Cash Equivalents,12909000.0,17105000.0,4673000.0,8200000.0,12963000.0,
