,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,127166254.0,126474169.0,126089629.0,20455923.0,16078647.0,
Share Issued,127166254.0,126474169.0,126089629.0,20455923.0,16078647.0,
Net Debt,17859000.0,9032000.0,10371000.0,13049000.0,3332000.0,
Total Debt,28488000.0,15366000.0,17807000.0,22730000.0,14268000.0,
Tangible Book Value,854575000.0,1115792000.0,-42785000.0,-36259000.0,-31656000.0,
Invested Capital,917406000.0,1166383000.0,1553205000.0,31294000.0,27421000.0,
Working Capital,-6878000.0,-21933000.0,-11589000.0,-4524000.0,-6400000.0,
Net Tangible Assets,855292000.0,1116509000.0,-25419000.0,-18893000.0,-23104000.0,
Capital Lease Obligations,107000.0,112000.0,118000.0,121000.0,125000.0,
Common Stock Equity,889025000.0,1151129000.0,1535516000.0,8685000.0,13278000.0,
Preferred Stock Equity,717000.0,717000.0,17366000.0,17366000.0,8552000.0,
Total Capitalization,913179000.0,1160593000.0,1561537000.0,43317000.0,31249000.0,
Total Equity Gross Minority Interest,893242000.0,1155346000.0,1556082000.0,29251000.0,25330000.0,
Minority Interest,3500000.0,3500000.0,3200000.0,3200000.0,3500000.0,
Stockholders Equity,889742000.0,1151846000.0,1552882000.0,26051000.0,21830000.0,
Other Equity Interest,8718000.0,8718000.0,,,9314000.0,9314000.0
Gains Losses Not Affecting Retained Earnings,1771000.0,-6306000.0,5204000.0,2968000.0,1316000.0,
Other Equity Adjustments,1771000.0,-6306000.0,5204000.0,2968000.0,1316000.0,
Retained Earnings,-674115000.0,-402710000.0,-19893000.0,-68855000.0,-59740000.0,
Additional Paid In Capital,1552525000.0,1551301000.0,1550088000.0,74561000.0,62379000.0,
Capital Stock,843000.0,843000.0,17483000.0,17377000.0,8561000.0,
Common Stock,126000.0,126000.0,117000.0,11000.0,9000.0,
Preferred Stock,717000.0,717000.0,17366000.0,17366000.0,8552000.0,
Total Liabilities Net Minority Interest,66460000.0,64109000.0,83946000.0,65435000.0,52685000.0,
Total Non Current Liabilities Net Minority Interest,27378000.0,12710000.0,27549000.0,27163000.0,14490000.0,
Other Non Current Liabilities,,,17000.0,49000.0,67000.0,108000.0
Liabilities Heldfor Sale Non Current,,0.0,0.0,3057000.0,,0.0
Preferred Securities Outside Stock Equity,3856000.0,3856000.0,3856000.0,3856000.0,3856000.0,
Non Current Deferred Liabilities,,0.0,14914000.0,2828000.0,1041000.0,2808000.0
Non Current Deferred Taxes Liabilities,,0.0,14914000.0,2828000.0,1041000.0,2808000.0
Long Term Debt And Capital Lease Obligation,23522000.0,8854000.0,8762000.0,17373000.0,9526000.0,
Long Term Capital Lease Obligation,85000.0,107000.0,107000.0,107000.0,107000.0,
Long Term Debt,23437000.0,8747000.0,8655000.0,17266000.0,9419000.0,
Current Liabilities,39082000.0,51399000.0,56397000.0,38272000.0,38195000.0,
Other Current Liabilities,1579000.0,2554000.0,2718000.0,2513000.0,,2850000.0
Current Deferred Liabilities,2497000.0,1200000.0,1238000.0,,,0.0
Current Deferred Revenue,2497000.0,1200000.0,1238000.0,,,0.0
Current Debt And Capital Lease Obligation,4966000.0,6512000.0,9045000.0,5357000.0,4742000.0,
Current Capital Lease Obligation,22000.0,5000.0,11000.0,14000.0,18000.0,
Current Debt,4944000.0,6507000.0,9034000.0,5343000.0,4724000.0,
Other Current Borrowings,4944000.0,6507000.0,8881000.0,5343000.0,1390000.0,
Current Notes Payable,,0.0,153000.0,,3334000.0,812000.0
Pensionand Other Post Retirement Benefit Plans Current,205000.0,332000.0,652000.0,320000.0,222000.0,
