,2026-03-31,2025-12-31,2025-06-30,2025-03-31
Ordinary Shares Number,29868214.0,29868214.0,29868214.0,29868214.0
Share Issued,29868214.0,29868214.0,29868214.0,29868214.0
Tangible Book Value,245604091.0,243697146.0,239113053.0,236723054.0
Invested Capital,245604091.0,243697146.0,239113053.0,236723054.0
Working Capital,431848.0,651531.0,1034276.0,1140234.0
Net Tangible Assets,245604091.0,243697146.0,239113053.0,236723054.0
Common Stock Equity,245604091.0,243697146.0,239113053.0,236723054.0
Total Capitalization,245604091.0,243697146.0,239113053.0,236723054.0
Total Equity Gross Minority Interest,245604091.0,243697146.0,239113053.0,236723054.0
Stockholders Equity,245604091.0,243697146.0,239113053.0,236723054.0
Retained Earnings,431161.0,650844.0,1033589.0,1139547.0
Additional Paid In Capital,,,0.0,
Capital Stock,245172930.0,243046302.0,238079464.0,235583507.0
Common Stock,245172930.0,243046302.0,238079464.0,235583507.0
Preferred Stock,0.0,,0.0,0.0
Total Liabilities Net Minority Interest,28557.0,28145.0,57.0,12806.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0
Current Liabilities,28557.0,28145.0,57.0,12806.0
Payables And Accrued Expenses,28557.0,28145.0,57.0,12806.0
Payables,28557.0,28145.0,57.0,12806.0
Accounts Payable,28557.0,28145.0,57.0,12806.0
Total Assets,245632648.0,243725291.0,239113110.0,236735860.0
Total Non Current Assets,245172243.0,243045615.0,238078777.0,235582820.0
Other Non Current Assets,245172243.0,243045615.0,238078777.0,235582820.0
Current Assets,460405.0,679676.0,1034333.0,1153040.0
Prepaid Assets,95773.0,138026.0,224895.0,273742.0
Cash Cash Equivalents And Short Term Investments,364632.0,541650.0,809438.0,879298.0
Cash And Cash Equivalents,364632.0,541650.0,809438.0,879298.0
Cash Financial,364632.0,541650.0,809438.0,879298.0
