,2025-06-30
Ordinary Shares Number,145207567.0
Share Issued,145207567.0
Net Debt,460600000.0
Total Debt,805600000.0
Tangible Book Value,308100000.0
Invested Capital,2662500000.0
Working Capital,588799999.9999
Net Tangible Assets,308100000.0
Capital Lease Obligations,106700000.0
Common Stock Equity,1963600000.0
Total Capitalization,2602100000.0
Total Equity Gross Minority Interest,1982700000.0
Minority Interest,19100000.0
Stockholders Equity,1963600000.0
Gains Losses Not Affecting Retained Earnings,-160600000.0
Other Equity Adjustments,26600000.0
Foreign Currency Translation Adjustments,-187200000.0
Retained Earnings,1097200000.0
Capital Stock,1027000000.0
Common Stock,1027000000.0
Total Liabilities Net Minority Interest,1339700000.0001
Total Non Current Liabilities Net Minority Interest,817700000.0
Other Non Current Liabilities,26400000.0
Employee Benefits,15100000.0
Non Current Pension And Other Postretirement Benefit Plans,15100000.0
Tradeand Other Payables Non Current,1000000.0
Non Current Deferred Liabilities,50600000.0
Non Current Deferred Taxes Liabilities,50600000.0
Long Term Debt And Capital Lease Obligation,724600000.0
Long Term Capital Lease Obligation,86100000.0
Long Term Debt,638500000.0
Current Liabilities,522000000.0001
Current Deferred Liabilities,20900000.0
Current Deferred Taxes Liabilities,20900000.0
Current Debt And Capital Lease Obligation,81000000.0
Current Capital Lease Obligation,20600000.0
Current Debt,60400000.0
Other Current Borrowings,60400000.0
Pensionand Other Post Retirement Benefit Plans Current,81900000.0
Current Provisions,32300000.0
Payables And Accrued Expenses,305900000.0
Payables,305900000.0
Other Payable,55000000.0
Accounts Payable,250900000.0
Total Assets,3322400000.0001
Total Non Current Assets,2211600000.0001
Other Non Current Assets,33800000.0
Defined Pension Benefit,2600000.0
Non Current Deferred Assets,38900000.0
Non Current Deferred Taxes Assets,38900000.0
Non Current Accounts Receivable,1500000.0
Financial Assets,2600000.0
Investments And Advances,1100000.0
Other Investments,1100000.0
Goodwill And Other Intangible Assets,1655500000.0
Other Intangible Assets,320200000.0
Goodwill,1335300000.0
Net PPE,475600000.0
Accumulated Depreciation,-566300000.0
Gross PPE,1041900000.0
Construction In Progress,83500000.0
Other Properties,202200000.0
Machinery Furniture Equipment,588300000.0
Land And Improvements,167900000.0
Current Assets,1110800000.0
Other Current Assets,38900000.0
Hedging Assets Current,2400000.0
Inventory,584700000.0
Finished Goods,489300000.0
Work In Process,24300000.0
Raw Materials,71100000.0
Receivables,246500000.0
Receivables Adjustments Allowances,-80900000.0
Other Receivables,20500000.0
Accounts Receivable,306900000.0
Cash Cash Equivalents And Short Term Investments,238300000.0
Cash And Cash Equivalents,238300000.0
Cash Equivalents,149800000.0
Cash Financial,88500000.0
