,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,2337581.0,2337581.0,8055000.0,8055000.0,8055000.0,
Share Issued,2337581.0,2337581.0,8055000.0,8055000.0,8055000.0,
Total Debt,,,,,,276221.0
Tangible Book Value,3285709.0,3399697.0,62831317.0,62350965.0,61971026.0,
Invested Capital,3285709.0,3399697.0,62831317.0,62350965.0,61971026.0,
Working Capital,279571.0,419761.0,562646.0,726118.0,982030.0,
Net Tangible Assets,3285709.0,3399697.0,62831317.0,62350965.0,61971026.0,
Common Stock Equity,3285709.0,3399697.0,62831317.0,62350965.0,61971026.0,
Total Capitalization,3285709.0,3399697.0,62831317.0,62350965.0,61971026.0,
Total Equity Gross Minority Interest,3285709.0,3399697.0,62831317.0,62350965.0,61971026.0,
Stockholders Equity,3285709.0,3399697.0,62831317.0,62350965.0,61971026.0,
Retained Earnings,279571.0,419761.0,881534.0,401182.0,21243.0,
Additional Paid In Capital,0.0,0.0,93470.0,1496995.0,2882861.0,
Capital Stock,3006138.0,2979936.0,61856313.0,60452788.0,59066922.0,
Common Stock,3006138.0,2979936.0,61856313.0,60452788.0,59066922.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,598669.0,535955.0,529565.0,425036.0,278705.0,
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0,0.0,
Current Liabilities,598669.0,535955.0,529565.0,425036.0,278705.0,
Current Debt And Capital Lease Obligation,,,,,,276221.0
Current Debt,,,,,,276221.0
Other Current Borrowings,,,,,,276221.0
Payables And Accrued Expenses,598669.0,535955.0,529565.0,425036.0,278705.0,
Payables,598669.0,535955.0,529565.0,425036.0,278705.0,
Accounts Payable,598669.0,535955.0,529565.0,425036.0,278705.0,
Total Assets,3884378.0,3935652.0,63360882.0,62776001.0,62249731.0,
Total Non Current Assets,3006138.0,2979936.0,62268671.0,61624847.0,60988996.0,
Other Non Current Assets,3006138.0,2979936.0,62268671.0,61624847.0,60988996.0,
Current Assets,878240.0,955716.0,1092211.0,1151154.0,1260735.0,
Prepaid Assets,122912.0,84366.0,29579.0,82645.0,141125.0,
Receivables,85000.0,0.0,0.0,0.0,0.0,
Other Receivables,85000.0,,,,,
Duefrom Related Parties Current,,0.0,0.0,0.0,0.0,2576.0
Cash Cash Equivalents And Short Term Investments,670328.0,871350.0,1062632.0,1068509.0,1119610.0,
Cash And Cash Equivalents,670328.0,871350.0,1062632.0,1068509.0,1119610.0,
Cash Financial,670328.0,871350.0,1062632.0,1068509.0,1119610.0,
