,2026-03-31,2025-09-30,2025-06-30,2024-12-31
Preferred Shares Number,4373194.0,,,
Ordinary Shares Number,69158785.0,33342653.0,31767014.0,31767014.0
Share Issued,69158785.0,33342653.0,31767014.0,31767014.0
Total Debt,13117000.0,3604000.0,4292579.0,1516000.0
Tangible Book Value,699789000.0,779068000.0,-62065329.0,-49333000.0
Invested Capital,724484000.0,779429000.0,-61769714.0,-49146000.0
Working Capital,137784000.0,104660000.0,6664477.0,20422000.0
Net Tangible Assets,1058963000.0,779068000.0,10423168.0,23155000.0
Capital Lease Obligations,3416000.0,3604000.0,4292579.0,1516000.0
Common Stock Equity,714783000.0,779429000.0,-61769714.0,-49146000.0
Preferred Stock Equity,359174000.0,,72488497.0,72488000.0
Total Capitalization,1083658000.0,779429000.0,10718783.0,23342000.0
Total Equity Gross Minority Interest,1073957000.0,779429000.0,10718783.0,23342000.0
Stockholders Equity,1073957000.0,779429000.0,10718783.0,23342000.0
Retained Earnings,-753414000.0,-268423000.0,-61769738.0,-49146000.0
Additional Paid In Capital,1468128000.0,1047185000.0,,0.0
Capital Stock,359243000.0,667000.0,72488521.0,72488000.0
Common Stock,69000.0,667000.0,24.0,0.0
Preferred Stock,359174000.0,0.0,72488497.0,72488000.0
Total Liabilities Net Minority Interest,26312000.0,13147000.0,11714059.0,4855000.0
Total Non Current Liabilities Net Minority Interest,13117000.0,3604000.0,3693195.0,1516000.0
Long Term Debt And Capital Lease Obligation,13117000.0,3604000.0,3693195.0,1516000.0
Long Term Capital Lease Obligation,3416000.0,3604000.0,3693195.0,1516000.0
Long Term Debt,9701000.0,,,
Current Liabilities,13195000.0,9543000.0,8020864.0,3339000.0
Other Current Liabilities,,,38874.0,226.0
Current Debt And Capital Lease Obligation,,,599384.0,269954.0
Current Capital Lease Obligation,,,599384.0,269954.0
Payables And Accrued Expenses,13195000.0,9543000.0,7382606.0,3339000.0
Payables,13195000.0,9543000.0,7382606.0,3339000.0
Other Payable,3667000.0,357000.0,1013276.0,1112000.0
Dividends Payable,4647000.0,,,0.0
Accounts Payable,4881000.0,9186000.0,6369330.0,2227000.0
Total Assets,1100269000.0,792576000.0,22432842.0,28197000.0
Total Non Current Assets,949290000.0,678373000.0,7747501.0,4436000.0
Other Non Current Assets,929492000.0,673055000.0,,1512000.0
Non Current Prepaid Assets,,,92489.0,56243.0
Non Current Note Receivables,,,2256416.0,1455580.0
Goodwill And Other Intangible Assets,14994000.0,361000.0,295615.0,187000.0
Other Intangible Assets,,,295615.0,187207.0
Net PPE,4804000.0,4957000.0,5102981.0,2737000.0
Accumulated Depreciation,,,-331980.0,-240616.0
Gross PPE,4804000.0,4957000.0,5434961.0,2737000.0
Construction In Progress,,,23725.0,23725.0
Other Properties,4804000.0,4957000.0,4940445.0,2737000.0
Machinery Furniture Equipment,,,470791.0,470791.0
Current Assets,150979000.0,114203000.0,14685341.0,23761000.0
Other Current Assets,2787000.0,1601000.0,950000.0,500000.0
Prepaid Assets,2590000.0,3533000.0,715458.0,351000.0
Receivables,,,404392.0,
Accounts Receivable,,,404392.0,
Cash Cash Equivalents And Short Term Investments,145602000.0,109069000.0,12615491.0,22910000.0
Other Short Term Investments,50510000.0,0.0,0.0,16755000.0
Cash And Cash Equivalents,95092000.0,109069000.0,12615491.0,6155000.0
