,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Ordinary Shares Number,1313373.0,962080.0,874302.0,662080.0
Share Issued,1313373.0,962080.0,874302.0,662080.0
Total Debt,0.0,0.0,0.0,32473.0
Tangible Book Value,9663475.0,8409902.0,7869118.0,4997680.0
Invested Capital,9663475.0,8409902.0,7869118.0,4997680.0
Working Capital,9663475.0,8409902.0,7869118.0,5160230.0
Net Tangible Assets,9663475.0,8409902.0,7869118.0,4997680.0
Capital Lease Obligations,0.0,0.0,0.0,32473.0
Common Stock Equity,9663475.0,8409902.0,7869118.0,4997680.0
Total Capitalization,9663475.0,8409902.0,7869118.0,4997680.0
Total Equity Gross Minority Interest,9663475.0,8409902.0,7869118.0,4997680.0
Stockholders Equity,9663475.0,8409902.0,7869118.0,4997680.0
Retained Earnings,-35456146.0,-34717719.0,-33128679.0,-31225222.0
Additional Paid In Capital,45095981.0,43110304.0,40982060.0,36210985.0
Capital Stock,23640.0,17317.0,15737.0,11917.0
Common Stock,23640.0,17317.0,15737.0,11917.0
Total Liabilities Net Minority Interest,775944.0,278073.0,770928.0,886838.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,261790.0
Tradeand Other Payables Non Current,0.0,0.0,0.0,250000.0
Long Term Debt And Capital Lease Obligation,0.0,0.0,0.0,11790.0
Long Term Capital Lease Obligation,0.0,0.0,0.0,11790.0
Current Liabilities,775944.0,278073.0,770928.0,625048.0
Other Current Liabilities,7627.0,8088.0,943.0,84380.0
Current Debt And Capital Lease Obligation,,,,20683.0
Current Capital Lease Obligation,0.0,0.0,0.0,20683.0
Payables And Accrued Expenses,768317.0,269985.0,769985.0,519985.0
Current Accrued Expenses,419585.0,250000.0,750000.0,500000.0
Payables,348732.0,19985.0,19985.0,19985.0
Other Payable,328747.0,,,
Total Tax Payable,19985.0,19985.0,19985.0,19985.0
Total Assets,10439419.0,8687975.0,8640046.0,5884518.0
Total Non Current Assets,0.0,0.0,0.0,99240.0
Goodwill And Other Intangible Assets,0.0,,,
Net PPE,0.0,0.0,0.0,99240.0
Accumulated Depreciation,0.0,0.0,0.0,-155525.0
Gross PPE,0.0,0.0,0.0,254765.0
Other Properties,,,,45475.0
Machinery Furniture Equipment,0.0,0.0,0.0,209290.0
Current Assets,10439419.0,8687975.0,8640046.0,5785278.0
Other Current Assets,22091.0,22091.0,14944.0,2224.0
Prepaid Assets,600000.0,0.0,0.0,51000.0
Receivables,750000.0,850000.0,600000.0,1100000.0
Duefrom Related Parties Current,0.0,600000.0,600000.0,900000.0
Accounts Receivable,750000.0,250000.0,0.0,200000.0
Cash Cash Equivalents And Short Term Investments,9067328.0,7815884.0,8025102.0,4632054.0
Other Short Term Investments,116557.0,1134482.0,2755412.0,4174290.0
Cash And Cash Equivalents,8950771.0,6681402.0,5269690.0,457764.0
