,2026-03-31,2025-12-31,2025-09-30,2025-03-31
Ordinary Shares Number,36800000.0,34598832.0,7875065.0,31641959.0
Share Issued,36800000.0,34598832.0,7875065.0,31641959.0
Net Debt,39128895.0,37005598.0,,
Total Debt,41200878.0,40590795.0,0.0,0.0
Tangible Book Value,115539805.0,106823323.0,-291659.0,1761851.0
Invested Capital,156740683.0,40590795.0,-291659.0,15948475.0
Working Capital,78813218.0,74859995.0,-291659.0,-1428446.0
Net Tangible Assets,115539805.0,106823323.0,-291659.0,1761851.0
Capital Lease Obligations,,,0.0,0.0
Common Stock Equity,115539805.0,106823323.0,-291659.0,15948475.0
Total Capitalization,156740683.0,147414118.0,-291659.0,15948475.0
Total Equity Gross Minority Interest,115539805.0,106823323.0,-291659.0,15948475.0
Stockholders Equity,115539805.0,106823323.0,-291659.0,15948475.0
Other Equity Interest,,,,-3334722.0
Gains Losses Not Affecting Retained Earnings,386746.0,,-73431.0,-46510.0
Other Equity Adjustments,386746.0,,-73431.0,-46510.0
Retained Earnings,-8766713.0,,-25420019.0,-6868924.0
Additional Paid In Capital,123703440.0,,25152572.0,26169691.0
Capital Stock,216332.0,,49219.0,28940.0
Common Stock,216332.0,,49219.0,28940.0
Total Liabilities Net Minority Interest,42538172.0,41965039.0,323275.0,2202702.0
Total Non Current Liabilities Net Minority Interest,41200878.0,40590795.0,0.0,0.0
Long Term Debt And Capital Lease Obligation,41200878.0,40590795.0,,
Long Term Debt,41200878.0,40590795.0,,
Current Liabilities,1337294.0,1374244.0,323275.0,2202702.0
Current Deferred Liabilities,,,0.0,98419.0
Current Deferred Taxes Liabilities,,,0.0,98419.0
Current Capital Lease Obligation,,,0.0,0.0
Payables And Accrued Expenses,1337294.0,1374244.0,323275.0,2104283.0
Current Accrued Expenses,54393.0,1263489.0,34933.0,233593.0
Payables,1282901.0,110755.0,288342.0,1870690.0
Other Payable,1155979.0,,286678.0,1865503.0
Dueto Related Parties Current,126922.0,110755.0,1664.0,0.0
Dividends Payable,,,,5187.0
Total Tax Payable,,,0.0,0.0
Income Tax Payable,,,0.0,
Total Assets,158077977.0,148788362.0,31616.0,18151177.0
Total Non Current Assets,77927465.0,72554123.0,0.0,17376921.0
Other Non Current Assets,,,,309216.0
Non Current Deferred Assets,400573.0,480573.0,,
Duefrom Related Parties Non Current,77526892.0,72073550.0,,
Non Current Accounts Receivable,77526892.0,72073550.0,,
Investments And Advances,,,0.0,2881081.0
Other Investments,,,0.0,2881081.0
Investmentin Financial Assets,,,,2881081.0
Available For Sale Securities,,,,2881081.0
Goodwill And Other Intangible Assets,,,,14186624.0
Other Intangible Assets,,,,512460.0
Goodwill,,,,13674164.0
Net PPE,,,,0.0
Gross PPE,,,,0.0
Current Assets,80150512.0,76234239.0,31616.0,774256.0
Other Current Assets,77963141.0,72649042.0,,
Assets Held For Sale Current,,,0.0,
Current Deferred Assets,0.0,,12466.0,
Prepaid Assets,115388.0,,14126.0,0.0
Receivables,0.0,0.0,0.0,767595.0
Duefrom Related Parties Current,0.0,0.0,0.0,0.0
Taxes Receivable,,,0.0,71994.0
Notes Receivable,,,,682831.0
Loans Receivable,0.0,,0.0,
Accounts Receivable,0.0,,0.0,12770.0
Allowance For Doubtful Accounts Receivable,-3981.0,,-4009.0,-88.0
Gross Accounts Receivable,3981.0,,4009.0,12858.0
Cash Cash Equivalents And Short Term Investments,2071983.0,3585197.0,5024.0,6661.0
Cash And Cash Equivalents,2071983.0,3585197.0,5024.0,6661.0
