,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,217510046.0,210996359.0,208911373.0,208259393.0,195093866.0,
Share Issued,217510046.0,210996359.0,208911373.0,208259393.0,195093866.0,
Net Debt,1272953000.0,1277824000.0,1321693000.0,1346704000.0,1377015000.0,
Total Debt,1502297000.0,1514509000.0,1510057000.0,1491248000.0,1492617000.0,
Tangible Book Value,-972189000.0,-1018410000.0,-1200325000.0,-1224440000.0,-1242442000.0,
Invested Capital,1703009000.0,1666275000.0,1477473000.0,1436180000.0,1349840000.0,
Working Capital,184869000.0,135776000.0,92911000.0,35683000.0,19314000.0,
Net Tangible Assets,-972189000.0,-1018410000.0,-1200325000.0,-1224440000.0,-1242442000.0,
Capital Lease Obligations,40070000.0,43425000.0,42498000.0,43806000.0,44108000.0,
Common Stock Equity,240782000.0,195191000.0,9914000.0,-11262000.0,-98669000.0,
Total Capitalization,1524759000.0,1481843000.0,1299223000.0,1258230000.0,1171890000.0,
Total Equity Gross Minority Interest,240782000.0,195191000.0,9914000.0,-11262000.0,-98669000.0,
Stockholders Equity,240782000.0,195191000.0,9914000.0,-11262000.0,-98669000.0,
Other Equity Interest,730000.0,730000.0,730000.0,730000.0,1461000.0,
Retained Earnings,-1115476000.0,-1157129000.0,-1335881000.0,-1349945000.0,-1376970000.0,
Additional Paid In Capital,1353353000.0,1349480000.0,1342976000.0,1335870000.0,1274889000.0,
Capital Stock,2175000.0,2110000.0,2089000.0,2083000.0,1951000.0,
Common Stock,2175000.0,2110000.0,2089000.0,2083000.0,1951000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,1781266000.0,1817188000.0,1800543000.0,1782233000.0,1759409000.0,
Total Non Current Liabilities Net Minority Interest,1390833000.0,1392732000.0,1390856000.0,1368001000.0,1371101000.0,
Other Non Current Liabilities,,800000.0,800000.0,800000.0,800000.0,7118000.0
Non Current Deferred Liabilities,,0.0,6501000.0,6501000.0,6506000.0,5894000.0
Non Current Deferred Taxes Liabilities,,0.0,6501000.0,6501000.0,6506000.0,5894000.0
Long Term Debt And Capital Lease Obligation,1308596000.0,1314065000.0,1315899000.0,1297215000.0,1299388000.0,
Long Term Capital Lease Obligation,24619000.0,27413000.0,26590000.0,27723000.0,28829000.0,
Long Term Debt,1283977000.0,1286652000.0,1289309000.0,1269492000.0,1270559000.0,
Long Term Provisions,82237000.0,77867000.0,67656000.0,63485000.0,64407000.0,
Current Liabilities,390433000.0,424456000.0,409687000.0,414232000.0,388308000.0,
Other Current Liabilities,63947000.0,9815000.0,56440000.0,60412000.0,49271000.0,
Current Debt And Capital Lease Obligation,193701000.0,200444000.0,194158000.0,194033000.0,193229000.0,
Current Capital Lease Obligation,15451000.0,16012000.0,15908000.0,16083000.0,15279000.0,
Current Debt,178250000.0,184432000.0,178250000.0,177950000.0,177950000.0,
Other Current Borrowings,13250000.0,13250000.0,13250000.0,9200000.0,9200000.0,
Current Notes Payable,165000000.0,171182000.0,165000000.0,168750000.0,168750000.0,
Current Provisions,21067000.0,19912000.0,22511000.0,21090000.0,29399000.0,
Payables And Accrued Expenses,111718000.0,194285000.0,136578000.0,138697000.0,116409000.0,
Current Accrued Expenses,77361000.0,109122000.0,109490000.0,92105000.0,85920000.0,
Interest Payable,,1037000.0,,,,9900000.0
Payables,34357000.0,85163000.0,27088000.0,46592000.0,30489000.0,
Other Payable,,53196000.0,,,,28102000.0
Accounts Payable,34357000.0,31967000.0,27088000.0,46592000.0,30489000.0,
Total Assets,2022048000.0,2012379000.0,1810457000.0,1770971000.0,1660740000.0,
Total Non Current Assets,1446746000.0,1452147000.0,1307859000.0,1321056000.0,1253118000.0,
Other Non Current Assets,12348000.0,16913000.0,20264000.0,30252000.0,33366000.0,
Non Current Deferred Assets,137140000.0,137140000.0,,,,0.0
Non Current Deferred Taxes Assets,137140000.0,137140000.0,,,,0.0
Non Current Accounts Receivable,30431000.0,28806000.0,22108000.0,21099000.0,18476000.0,
Goodwill And Other Intangible Assets,1212971000.0,1213601000.0,1210239000.0,1213178000.0,1143773000.0,
Other Intangible Assets,91929000.0,92559000.0,93866000.0,94448000.0,89221000.0,
Goodwill,1121042000.0,1121042000.0,1116373000.0,1118730000.0,1054552000.0,
Net PPE,53856000.0,55687000.0,55248000.0,56527000.0,57503000.0,
Accumulated Depreciation,,-90282000.0,,,,-80630000.0
Gross PPE,53856000.0,145969000.0,55248000.0,56527000.0,57503000.0,
Leases,,21981000.0,,,,21810000.0
Construction In Progress,,126000.0,,,,231000.0
Other Properties,53856000.0,71207000.0,55248000.0,56527000.0,57503000.0,
Machinery Furniture Equipment,,52655000.0,,,,48095000.0
Properties,,0.0,,,,0.0
Current Assets,575302000.0,560232000.0,502598000.0,449915000.0,407622000.0,
Other Current Assets,26631000.0,29916000.0,24761000.0,10217000.0,10877000.0,
Prepaid Assets,23797000.0,20940000.0,14486000.0,18323000.0,19910000.0,
Receivables,335600000.0,316116000.0,317485000.0,320637000.0,305341000.0,
Accounts Receivable,335600000.0,316116000.0,317485000.0,320637000.0,305341000.0,
Cash Cash Equivalents And Short Term Investments,189274000.0,193260000.0,145866000.0,100738000.0,71494000.0,
Cash And Cash Equivalents,189274000.0,193260000.0,145866000.0,100738000.0,71494000.0,
