,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Ordinary Shares Number,49934738.0,49927306.0,49932300.0,28267517.0,28219440.0
Share Issued,49934738.0,49927306.0,49932300.0,28267517.0,28219440.0
Net Debt,437999000.0,367359000.0,39900000.0,,
Total Debt,826013000.0,825935000.0,829708000.0,64291000.0,59185000.0
Tangible Book Value,884551000.0,822625000.0,768671000.0,581015000.0,527986000.0
Invested Capital,5000067000.0,5144874000.0,5152782000.0,916507000.0,886055000.0
Working Capital,1394928000.0,1338430000.0,1364409000.0,434355000.0,414978000.0
Net Tangible Assets,884551000.0,822625000.0,768671000.0,581015000.0,527986000.0
Capital Lease Obligations,98136000.0,99142000.0,104005000.0,34291000.0,34185000.0
Common Stock Equity,4272190000.0,4418081000.0,4427079000.0,886507000.0,861055000.0
Total Capitalization,5000067000.0,5144874000.0,5152782000.0,916507000.0,886055000.0
Total Equity Gross Minority Interest,4272190000.0,4418081000.0,4427079000.0,886507000.0,861055000.0
Stockholders Equity,4272190000.0,4418081000.0,4427079000.0,886507000.0,861055000.0
Gains Losses Not Affecting Retained Earnings,-5514000.0,-6222000.0,-5875000.0,-6514000.0,-6197000.0
Other Equity Adjustments,-5514000.0,-6222000.0,-5875000.0,-6514000.0,-6197000.0
Retained Earnings,33282000.0,189833000.0,206936000.0,274306000.0,257642000.0
Additional Paid In Capital,4244416000.0,4234464000.0,4226012000.0,618711000.0,609606000.0
Capital Stock,6000.0,6000.0,6000.0,4000.0,4000.0
Common Stock,6000.0,6000.0,6000.0,4000.0,4000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1181446000.0,1220385000.0,1196958000.0,234060000.0,187088000.0
Total Non Current Liabilities Net Minority Interest,872127000.0,892358000.0,922028000.0,61899000.0,58180000.0
Other Non Current Liabilities,8056000.0,8064000.0,8077000.0,8087000.0,7709000.0
Non Current Deferred Liabilities,53627000.0,73188000.0,101002000.0,0.0,651000.0
Non Current Deferred Taxes Liabilities,53627000.0,73188000.0,101002000.0,0.0,651000.0
Long Term Debt And Capital Lease Obligation,810444000.0,811106000.0,812949000.0,53812000.0,49820000.0
Long Term Capital Lease Obligation,82567000.0,84313000.0,87246000.0,23812000.0,24820000.0
Long Term Debt,727877000.0,726793000.0,725703000.0,30000000.0,25000000.0
Current Liabilities,309319000.0,328027000.0,274930000.0,172161000.0,128908000.0
Other Current Liabilities,40489000.0,42991000.0,32017000.0,28659000.0,22138000.0
Current Deferred Liabilities,67543000.0,71167000.0,61269000.0,15952000.0,12064000.0
Current Deferred Revenue,67543000.0,71167000.0,61269000.0,15952000.0,12064000.0
Current Debt And Capital Lease Obligation,15569000.0,14829000.0,16759000.0,10479000.0,9365000.0
Current Capital Lease Obligation,15569000.0,14829000.0,16759000.0,10479000.0,9365000.0
Payables And Accrued Expenses,185718000.0,199040000.0,164885000.0,117071000.0,85341000.0
Current Accrued Expenses,75765000.0,79294000.0,73752000.0,44253000.0,36550000.0
Payables,109953000.0,119746000.0,91133000.0,72818000.0,48791000.0
Total Tax Payable,320000.0,215000.0,0.0,356000.0,25000.0
Income Tax Payable,320000.0,215000.0,0.0,356000.0,25000.0
Accounts Payable,109633000.0,119531000.0,91133000.0,72462000.0,48766000.0
Total Assets,5453636000.0,5638466000.0,5624037000.0,1120567000.0,1048143000.0
Total Non Current Assets,3749389000.0,3972009000.0,3984698000.0,514051000.0,504257000.0
Other Non Current Assets,49414000.0,45909000.0,42702000.0,32889000.0,23080000.0
Non Current Deferred Assets,0.0,0.0,0.0,61460000.0,41303000.0
