,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,92671758.0,86668521.0,85411692.0,85333652.0,84985449.0
Share Issued,92671758.0,86668521.0,85411692.0,85333652.0,84985449.0
Tangible Book Value,126618000.0,94869000.0,90958000.0,99758000.0,110915000.0
Invested Capital,126618000.0,94869000.0,90958000.0,99758000.0,110915000.0
Working Capital,126618000.0,94869000.0,90958000.0,99758000.0,110915000.0
Net Tangible Assets,126618000.0,94869000.0,90958000.0,99758000.0,110915000.0
Common Stock Equity,126618000.0,94869000.0,90958000.0,99758000.0,110915000.0
Total Capitalization,126618000.0,94869000.0,90958000.0,99758000.0,110915000.0
Total Equity Gross Minority Interest,126618000.0,94869000.0,90958000.0,99758000.0,110915000.0
Stockholders Equity,126618000.0,94869000.0,90958000.0,99758000.0,110915000.0
Retained Earnings,-388129000.0,-382448000.0,-372621000.0,-359378000.0,-348182000.0
Additional Paid In Capital,514654000.0,477230000.0,463494000.0,459051000.0,459012000.0
Capital Stock,93000.0,87000.0,85000.0,85000.0,85000.0
Common Stock,93000.0,87000.0,85000.0,85000.0,85000.0
Preferred Stock,0.0,,0.0,0.0,
Total Liabilities Net Minority Interest,6371000.0,8946000.0,11474000.0,17381000.0,13128000.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0,0.0
Current Liabilities,6371000.0,8946000.0,11474000.0,17381000.0,13128000.0
Current Deferred Liabilities,805000.0,805000.0,805000.0,829000.0,829000.0
Current Deferred Revenue,805000.0,805000.0,805000.0,829000.0,829000.0
Pensionand Other Post Retirement Benefit Plans Current,1228000.0,1562000.0,1188000.0,2200000.0,2020000.0
Payables And Accrued Expenses,4338000.0,6579000.0,9481000.0,14352000.0,10279000.0
Current Accrued Expenses,1699000.0,2330000.0,2741000.0,7355000.0,5712000.0
Payables,2639000.0,4249000.0,6740000.0,6997000.0,4567000.0
Accounts Payable,2639000.0,4249000.0,6740000.0,6997000.0,4567000.0
Total Assets,132989000.0,103815000.0,102432000.0,117139000.0,124043000.0
Total Non Current Assets,0.0,0.0,0.0,0.0,0.0
Current Assets,132989000.0,103815000.0,102432000.0,117139000.0,124043000.0
Other Current Assets,396000.0,429000.0,448000.0,702000.0,711000.0
Receivables,844000.0,809000.0,820000.0,666000.0,2557000.0
Taxes Receivable,844000.0,809000.0,820000.0,666000.0,2557000.0
Cash Cash Equivalents And Short Term Investments,131749000.0,102577000.0,101164000.0,115771000.0,120775000.0
Cash And Cash Equivalents,131749000.0,102577000.0,101164000.0,115771000.0,120775000.0
