,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,18447105.0,11418183.0,10416721.0,9627114.0,9415525.0,
Share Issued,18447105.0,11418183.0,10416721.0,9627114.0,9415525.0,
Total Debt,133886.0,,55606.0,110291.0,164070.0,
Tangible Book Value,4886790.0,2136328.0,1943654.0,2188109.0,3246474.0,
Invested Capital,5020676.0,2136328.0,1999260.0,2298400.0,3410544.0,
Working Capital,4663027.0,1912134.0,1777364.0,2021388.0,3242657.0,
Net Tangible Assets,4886791.0,2136329.0,1943655.0,2188110.0,3246475.0,
Common Stock Equity,4886790.0,2136328.0,1943654.0,2188109.0,3246474.0,
Preferred Stock Equity,1.0,1.0,1.0,1.0,1.0,
Total Capitalization,4886791.0,2136329.0,1943655.0,2188110.0,3246475.0,
Total Equity Gross Minority Interest,4886791.0,2136329.0,1943655.0,2188110.0,3246475.0,
Stockholders Equity,4886791.0,2136329.0,1943655.0,2188110.0,3246475.0,
Other Equity Interest,-3272868.0,,,,,
Retained Earnings,-24884785.0,-23291624.0,-21811450.0,-20259838.0,-18811109.0,
Additional Paid In Capital,33044259.0,25427838.0,23755000.0,22447851.0,22057489.0,
Capital Stock,185.0,115.0,105.0,97.0,95.0,
Common Stock,184.0,114.0,104.0,96.0,94.0,
Preferred Stock,1.0,1.0,1.0,1.0,1.0,
Total Liabilities Net Minority Interest,652072.0,672022.0,758701.0,681084.0,839397.0,
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0,0.0,
Current Liabilities,652072.0,672022.0,758701.0,681084.0,839397.0,
Current Deferred Liabilities,,,,25078.0,,
Current Deferred Revenue,,,,25078.0,,
Current Debt And Capital Lease Obligation,133886.0,,55606.0,110291.0,164070.0,
Current Debt,133886.0,,55606.0,110291.0,164070.0,
Current Notes Payable,133886.0,,55606.0,110291.0,164070.0,
Payables And Accrued Expenses,518186.0,672022.0,703095.0,545715.0,675327.0,
Current Accrued Expenses,301200.0,503871.0,534883.0,363922.0,464794.0,
Payables,216986.0,168151.0,168212.0,181793.0,210533.0,
Accounts Payable,216986.0,168151.0,168212.0,181793.0,210533.0,
Total Assets,5538863.0,2808351.0,2702356.0,2869194.0,4085872.0,
Total Non Current Assets,223764.0,224195.0,166291.0,166722.0,3818.0,
Other Non Current Assets,105000.0,105000.0,105000.0,105000.0,,
Investments And Advances,116670.0,116670.0,58335.0,58335.0,,0.0
Investmentin Financial Assets,116670.0,116670.0,58335.0,58335.0,,0.0
Available For Sale Securities,116670.0,116670.0,58335.0,58335.0,,
Net PPE,2094.0,2525.0,2956.0,3387.0,3818.0,
Accumulated Depreciation,,-6219.0,,,,-4494.0
Gross PPE,,8744.0,,,,8744.0
Other Properties,,8744.0,,,,8744.0
Current Assets,5315099.0,2584156.0,2536065.0,2702472.0,4082054.0,
Prepaid Assets,234636.0,400451.0,487018.0,228837.0,280126.0,
Receivables,,,58335.0,,,
Accounts Receivable,,,58335.0,,,
Cash Cash Equivalents And Short Term Investments,5080463.0,2183705.0,1990712.0,2473635.0,3801928.0,
Cash And Cash Equivalents,5080463.0,2183705.0,1990712.0,2473635.0,3801928.0,
