,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,7041179.0,7041179.0,7041179.0,7041179.0,7041179.0,
Share Issued,7041179.0,7041179.0,7041179.0,7041179.0,7041179.0,
Tangible Book Value,76202000.0,,111551000.0,132898000.0,161976000.0,186194000.0
Invested Capital,94152000.0,,144665000.0,172655000.0,209165000.0,239723000.0
Working Capital,74819000.0,,104561000.0,125686000.0,154592000.0,178126000.0
Net Tangible Assets,76202000.0,,111551000.0,132898000.0,161976000.0,186194000.0
Common Stock Equity,94152000.0,,144665000.0,172655000.0,209165000.0,239723000.0
Total Capitalization,94152000.0,,144665000.0,172655000.0,209165000.0,239723000.0
Total Equity Gross Minority Interest,94152000.0,,144665000.0,172655000.0,209165000.0,239723000.0
Stockholders Equity,94152000.0,,144665000.0,172655000.0,209165000.0,239723000.0
Other Equity Interest,-983005000.0,,-932541000.0,-904551000.0,-868259000.0,-837702000.0
Additional Paid In Capital,1066595000.0,,1066644000.0,1066644000.0,1066862000.0,1066863000.0
Capital Stock,10562000.0,,10562000.0,10562000.0,10562000.0,10562000.0
Common Stock,10562000.0,,10562000.0,10562000.0,10562000.0,10562000.0
Total Liabilities Net Minority Interest,47622000.0,,55779000.0,61550000.0,52218000.0,51318000.0
Total Non Current Liabilities Net Minority Interest,0.0,,0.0,-2000.0,0.0,-1000.0
Current Liabilities,47622000.0,,55779000.0,61552000.0,52218000.0,51319000.0
Other Current Liabilities,4184000.0,,4717000.0,4759000.0,5124000.0,5530000.0
Payables,8928000.0,,6079000.0,6656000.0,6888000.0,2651000.0
Total Tax Payable,23000.0,,152000.0,137000.0,145000.0,5000.0
Accounts Payable,8905000.0,,5927000.0,6519000.0,6743000.0,2646000.0
Total Assets,141774000.0,,200444000.0,234205000.0,261383000.0,291041000.0
Total Non Current Assets,19333000.0,,40104000.0,46967000.0,54573000.0,61596000.0
Other Non Current Assets,,,1000.0,,-1000.0,
Goodwill And Other Intangible Assets,17950000.0,,33114000.0,39757000.0,47189000.0,53529000.0
Other Intangible Assets,17950000.0,,33114000.0,39757000.0,47189000.0,53529000.0
Goodwill,0.0,,0.0,0.0,0.0,0.0
Net PPE,130000.0,,1417000.0,1632000.0,1862000.0,2105000.0
Accumulated Depreciation,-572000.0,,,,-3746000.0,
Gross PPE,702000.0,,1417000.0,1632000.0,5608000.0,2105000.0
Other Properties,702000.0,,,,5608000.0,
Machinery Furniture Equipment,130000.0,,1417000.0,1632000.0,1862000.0,2105000.0
Current Assets,122441000.0,,160340000.0,187238000.0,206810000.0,229445000.0
Other Current Assets,5092000.0,,4042000.0,3557000.0,3966000.0,4150000.0
Prepaid Assets,3656000.0,,,,3883000.0,
Other Receivables,5325000.0,,5807000.0,6221000.0,5473000.0,13591000.0
Taxes Receivable,278000.0,,278000.0,278000.0,304000.0,
Accounts Receivable,10047000.0,,9721000.0,23111000.0,14093000.0,20882000.0
Cash Cash Equivalents And Short Term Investments,103135000.0,,140492000.0,154071000.0,183057000.0,190822000.0
Cash And Cash Equivalents,103135000.0,,140492000.0,154071000.0,183057000.0,190822000.0
Cash Financial,103135000.0,,,,183057000.0,
