,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2024-12-31
Ordinary Shares Number,8841506.0,14761925.0,13736925.0,13336925.0,14110000.0
Share Issued,8841506.0,14761925.0,13736925.0,13336925.0,14110000.0
Net Debt,,,115145.0,,
Total Debt,,58650.0,131268.0,50000.0,
Tangible Book Value,-2002198.0,2091324.0,-26082.0,405023.0,841376.0
Invested Capital,-2002198.0,2149974.0,2730186.0,3155023.0,3691376.0
Working Capital,1787276.0,2149974.0,-524219.0,-94977.0,341376.0
Net Tangible Assets,-2002198.0,2091324.0,-26082.0,405023.0,841376.0
Common Stock Equity,-2002198.0,2091324.0,2598918.0,3105023.0,3691376.0
Total Capitalization,-2002198.0,2149974.0,2600781.0,3105023.0,3691376.0
Total Equity Gross Minority Interest,-2002198.0,2091324.0,2598918.0,3105023.0,3691376.0
Stockholders Equity,-2002198.0,2091324.0,2598918.0,3105023.0,3691376.0
Other Equity Interest,-800.0,-800.0,-1600.0,-1600.0,
Retained Earnings,-9149458.0,-7140982.0,-3080912.0,-2062144.0,-862791.0
Additional Paid In Capital,6601658.0,9135341.0,5623943.0,4773430.0,4541057.0
Capital Stock,546402.0,97765.0,57487.0,395337.0,13110.0
Common Stock,546402.0,97765.0,57487.0,395337.0,13110.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,4173947.0,235494.0,572073.0,231602.0,186105.0
Total Non Current Liabilities Net Minority Interest,3789474.0,58650.0,1863.0,0.0,0.0
Preferred Securities Outside Stock Equity,3789474.0,,,,
Long Term Debt And Capital Lease Obligation,,58650.0,1863.0,,
Long Term Debt,,58650.0,1863.0,,
Current Liabilities,384473.0,176844.0,570210.0,231602.0,186105.0
Current Debt And Capital Lease Obligation,,,129405.0,50000.0,
Current Debt,,,129405.0,50000.0,
Other Current Borrowings,,,129405.0,50000.0,
Payables And Accrued Expenses,384473.0,176844.0,440805.0,181602.0,186105.0
Current Accrued Expenses,1485.0,6493.0,93281.0,5235.0,16673.0
Interest Payable,0.0,4744.0,2766.0,,
Payables,382988.0,170351.0,347524.0,176367.0,169432.0
Dividends Payable,9968.0,,,,
Accounts Payable,373020.0,170351.0,347524.0,176367.0,169432.0
Total Assets,2171749.0,2326818.0,3170991.0,3336625.0,3877481.0
Total Non Current Assets,0.0,0.0,3125000.0,3200000.0,3350000.0
Investments And Advances,,0.0,500000.0,500000.0,500000.0
Investmentin Financial Assets,,,,,500000.0
Available For Sale Securities,,,,,500000.0
Long Term Equity Investment,,0.0,500000.0,500000.0,500000.0
Goodwill And Other Intangible Assets,,0.0,2625000.0,2700000.0,2850000.0
Other Intangible Assets,,,2625000.0,2700000.0,2850000.0
Current Assets,2171749.0,2326818.0,45991.0,136625.0,527481.0
Other Current Assets,125504.0,124779.0,16976.0,,
Prepaid Assets,,,,49685.0,44794.0
Inventory,12807.0,12807.0,12892.0,13047.0,13689.0
Receivables,,,,,0.0
Accounts Receivable,,,,,0.0
Cash Cash Equivalents And Short Term Investments,2033438.0,2189232.0,16123.0,73893.0,468998.0
Cash And Cash Equivalents,2033438.0,2189232.0,16123.0,73893.0,468998.0
Cash Financial,2033438.0,2189232.0,16123.0,73893.0,468998.0
