,2026-03-31,2025-12-31,2025-09-30,2024-12-31
Ordinary Shares Number,355317909.0,355317909.0,355317909.0,355317909.0
Share Issued,355317909.0,355317909.0,355317909.0,355317909.0
Net Debt,,110051087.0,92847240.0,63598296.0
Total Debt,14526868.0,115500799.0,102398154.0,67121078.0
Tangible Book Value,96226270.0,-115402203.0,-108051380.0,-91503745.0
Invested Capital,108475338.0,-2895923.0,-8675955.0,-27825981.0
Working Capital,20961450.0,-142370359.0,-131359748.0,-112550132.0
Net Tangible Assets,96226270.0,-115402203.0,-108051380.0,-91503745.0
Capital Lease Obligations,2277800.0,2994519.0,3022729.0,3443314.0
Common Stock Equity,96226270.0,-115402203.0,-108051380.0,-91503745.0
Total Capitalization,108475338.0,-115402203.0,-108051380.0,-91503745.0
Total Equity Gross Minority Interest,96226270.0,-115402203.0,-108051380.0,-91503745.0
Stockholders Equity,96226270.0,-115402203.0,-108051380.0,-91503745.0
Retained Earnings,-166898513.0,-163195791.0,-152043820.0,-130347291.0
Additional Paid In Capital,4214357.0,15947266.0,16709118.0,14520537.0
Capital Stock,258910426.0,31846322.0,27283322.0,24323009.0
Common Stock,258910426.0,31846322.0,27283322.0,24323009.0
Total Liabilities Net Minority Interest,29564963.0,149489979.0,144563922.0,118239773.0
Total Non Current Liabilities Net Minority Interest,23703518.0,2273346.0,3253084.0,3398904.0
Other Non Current Liabilities,,2199964.0,3144621.0,3144621.0
Derivative Product Liabilities,2860766.0,0.0,,0.0
Non Current Accrued Expenses,6197402.0,,,
Long Term Debt And Capital Lease Obligation,12445386.0,73382.0,108463.0,254283.0
Long Term Capital Lease Obligation,196318.0,73382.0,108463.0,254283.0
Long Term Debt,12249068.0,,,
Long Term Provisions,2199964.0,2199964.0,3144621.0,3144621.0
Current Liabilities,5861445.0,147216633.0,141310838.0,114840869.0
Other Current Liabilities,,74453.0,77044.0,8150323.0
Current Deferred Liabilities,,0.0,1268304.0,1456274.0
Current Deferred Revenue,,0.0,1268304.0,1456274.0
Current Debt And Capital Lease Obligation,2081482.0,115427417.0,102289691.0,66866795.0
Current Capital Lease Obligation,2081482.0,2921137.0,2914266.0,3189031.0
Current Debt,,112506280.0,99375425.0,63677764.0
Other Current Borrowings,,112506280.0,99375425.0,63677764.0
Current Provisions,74453.0,74453.0,77044.0,77044.0
Payables And Accrued Expenses,3705510.0,31714763.0,37675799.0,38290433.0
Current Accrued Expenses,2295495.0,29655774.0,34738131.0,32142062.0
Payables,1410015.0,2058989.0,2937668.0,6148371.0
Accounts Payable,1410015.0,2058989.0,2937668.0,6148371.0
Total Assets,125791233.0,34087776.0,36512542.0,26736028.0
Total Non Current Assets,98967338.0,29241502.0,26561452.0,24445291.0
Other Non Current Assets,20195452.0,3374094.0,1742606.0,1742606.0
Investments And Advances,47712409.0,,,
Long Term Equity Investment,47712409.0,,,
Investmentsin Associatesat Cost,47712409.0,,,
Net PPE,31059477.0,25867408.0,24818846.0,22702685.0
Accumulated Depreciation,-4264473.0,-3860058.0,-3481101.0,-3138733.0
Gross PPE,35323950.0,29727466.0,28299947.0,25841418.0
Construction In Progress,1331584.0,1331584.0,1237415.0,1237415.0
Other Properties,4558926.0,3420043.0,3598463.0,4292808.0
Machinery Furniture Equipment,5407367.0,5407367.0,5060437.0,5060437.0
Land And Improvements,3150000.0,150000.0,,
Properties,20876073.0,19418472.0,18403632.0,15250758.0
Current Assets,26822895.0,4846274.0,9951090.0,2290737.0
Other Current Assets,174999.0,336242.0,1378936.0,389271.0
Prepaid Assets,1643059.0,2054839.0,2043969.0,1821998.0
Inventory,,,,0.0
Cash Cash Equivalents And Short Term Investments,25004837.0,2455193.0,6528185.0,79468.0
Cash And Cash Equivalents,25004837.0,2455193.0,6528185.0,79468.0
Cash Financial,25004837.0,2455193.0,6528185.0,79468.0
