,2025-12-31,2025-03-31,2024-12-31
Ordinary Shares Number,30068604.0,23224102.0,23224102.0
Share Issued,30068604.0,23224102.0,23224102.0
Net Debt,16462361.0,20368069.0,20530638.0
Total Debt,18394351.0,22704814.0,22892205.0
Tangible Book Value,215350.0,-5289178.0,-4406460.0
Invested Capital,20389852.0,19096509.0,20144340.0
Working Capital,-9461454.0,-9622311.0,-8392672.0
Net Tangible Assets,215350.0,-5289178.0,-4406460.0
Capital Lease Obligations,802344.0,901622.0,923900.0
Common Stock Equity,2797845.0,-2706683.0,-1823965.0
Total Capitalization,7146927.0,7022068.0,8173668.0
Total Equity Gross Minority Interest,4430241.0,-1012691.0,-59098.0
Minority Interest,1632396.0,1693992.0,1764867.0
Stockholders Equity,2797845.0,-2706683.0,-1823965.0
Gains Losses Not Affecting Retained Earnings,0.0,-322960.0,
Foreign Currency Translation Adjustments,0.0,-322960.0,
Retained Earnings,-21740270.0,-19451943.0,-18892185.0
Additional Paid In Capital,24533762.0,17064658.0,17064658.0
Capital Stock,4353.0,3562.0,3562.0
Common Stock,4353.0,3562.0,3562.0
Total Liabilities Net Minority Interest,27890573.0,32125656.0,32861389.0
Total Non Current Liabilities Net Minority Interest,5062317.0,10541264.0,10832424.0
Long Term Debt And Capital Lease Obligation,5062317.0,10541264.0,10832424.0
Long Term Capital Lease Obligation,713235.0,812513.0,834791.0
Long Term Debt,4349082.0,9728751.0,9997633.0
Current Liabilities,22828256.0,21584392.0,22028965.0
Other Current Liabilities,180917.0,247733.0,238613.0
Current Debt And Capital Lease Obligation,13332034.0,12163550.0,12059781.0
Current Capital Lease Obligation,89109.0,89109.0,89109.0
Current Debt,13242925.0,12074441.0,11970672.0
Other Current Borrowings,13242925.0,3670255.0,5397020.0
Line Of Credit,,8404186.0,6573652.0
Pensionand Other Post Retirement Benefit Plans Current,157652.0,148054.0,169407.0
Payables And Accrued Expenses,9157653.0,9025055.0,9561164.0
Payables,9157653.0,9025055.0,9561164.0
Dueto Related Parties Current,1534530.0,297419.0,980127.0
Total Tax Payable,,0.0,0.0
Income Tax Payable,,0.0,0.0
Accounts Payable,7623123.0,8727636.0,8581037.0
Total Assets,32320814.0,31112965.0,32802291.0
Total Non Current Assets,18954012.0,19150884.0,19165998.0
Non Current Deferred Assets,34270.0,34270.0,34270.0
Non Current Deferred Taxes Assets,34270.0,34270.0,34270.0
Goodwill And Other Intangible Assets,2582495.0,2582495.0,2582495.0
Goodwill,2582495.0,,
Net PPE,16337247.0,16534119.0,16549233.0
Accumulated Depreciation,-5479418.0,-5186848.0,-5074899.0
Gross PPE,21816665.0,21720967.0,21624132.0
Construction In Progress,,0.0,0.0
Other Properties,1347718.0,1347718.0,1347718.0
Machinery Furniture Equipment,14665915.0,14570217.0,14473382.0
Buildings And Improvements,5490655.0,5490655.0,5490655.0
Land And Improvements,312377.0,312377.0,312377.0
Properties,0.0,0.0,0.0
Current Assets,13366802.0,11962081.0,13636293.0
Other Current Assets,560389.0,233555.0,806452.0
Prepaid Assets,597919.0,93420.0,
Inventory,5278678.0,4180903.0,4788094.0
Finished Goods,271027.0,481031.0,697209.0
Raw Materials,5007651.0,3699872.0,4090885.0
Receivables,5800170.0,6019080.0,6604080.0
Taxes Receivable,,275711.0,
Loans Receivable,633773.0,,599518.0
Accounts Receivable,5166397.0,5743369.0,6004562.0
Allowance For Doubtful Accounts Receivable,-169148.0,-169148.0,-169148.0
Gross Accounts Receivable,5335545.0,5912517.0,6173710.0
Cash Cash Equivalents And Short Term Investments,1129646.0,1435123.0,1437667.0
Cash And Cash Equivalents,1129646.0,1435123.0,1437667.0
Cash Financial,1129646.0,1435123.0,1437667.0
