,2026-03-31,2025-09-30
Ordinary Shares Number,43271429.0,36914286.0
Share Issued,43271429.0,36914286.0
Total Debt,,5425.0
Tangible Book Value,289608441.0,13293.0
Invested Capital,289608441.0,18718.0
Working Capital,661597.0,13293.0
Net Tangible Assets,289608441.0,13293.0
Common Stock Equity,289608441.0,13293.0
Total Capitalization,289608441.0,13293.0
Total Equity Gross Minority Interest,289608441.0,13293.0
Stockholders Equity,289608441.0,13293.0
Retained Earnings,733502.0,-11707.0
Additional Paid In Capital,0.0,23768.0
Capital Stock,288874939.0,1232.0
Common Stock,288874939.0,1232.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,57200.0,11707.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,57200.0,11707.0
Current Debt And Capital Lease Obligation,,5425.0
Current Debt,,5425.0
Other Current Borrowings,,5425.0
Payables And Accrued Expenses,57200.0,6282.0
Current Accrued Expenses,57200.0,6282.0
Total Assets,289665641.0,25000.0
Total Non Current Assets,288946844.0,0.0
Other Non Current Assets,288873487.0,
Non Current Prepaid Assets,73357.0,
Non Current Deferred Assets,0.0,0.0
Current Assets,718797.0,25000.0
Prepaid Assets,205113.0,
Cash Cash Equivalents And Short Term Investments,513684.0,25000.0
Cash And Cash Equivalents,513684.0,25000.0
Cash Financial,513684.0,25000.0
