,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2024-12-31,2024-09-30
Ordinary Shares Number,202351288.0,202351288.0,202351288.0,202351288.0,202351288.0,
Share Issued,202351288.0,202351288.0,202351288.0,202351288.0,202351288.0,
Tangible Book Value,237720122000.0,204587632000.0,222084553000.0,197256541000.0,245120178000.0,
Invested Capital,239579663000.0,206097509000.0,223464860000.0,198572779000.0,246747810000.0,
Working Capital,36729672000.0,22213005000.0,54024884000.0,37541223000.0,55791486000.0,
Net Tangible Assets,237720122000.0,204587632000.0,222084553000.0,197256541000.0,245120178000.0,
Common Stock Equity,239579663000.0,206097509000.0,223464860000.0,198572779000.0,246747810000.0,
Total Capitalization,239579663000.0,206097509000.0,223464860000.0,198572779000.0,246747810000.0,
Total Equity Gross Minority Interest,239579663000.0,206097509000.0,223464860000.0,198572779000.0,246747810000.0,
Stockholders Equity,239579663000.0,206097509000.0,223464860000.0,198572779000.0,246747810000.0,
Other Equity Interest,197401400000.0,180352853000.0,167200524000.0,157772179000.0,180352853000.0,
Retained Earnings,26881046000.0,11749770000.0,43274151000.0,28530642000.0,23398884000.0,
Capital Stock,202351000.0,202351000.0,202351000.0,202351000.0,202351000.0,
Common Stock,202351000.0,202351000.0,202351000.0,202351000.0,202351000.0,
Total Liabilities Net Minority Interest,152179854000.0,146649960000.0,146951349000.0,118805819000.0,124111061000.0,
Total Non Current Liabilities Net Minority Interest,67929318000.0,64049988000.0,49443877000.0,46808300000.0,52717263000.0,
Other Non Current Liabilities,,12056821000.0,,,40969000.0,
Non Current Accrued Expenses,,,,,,0.0
Tradeand Other Payables Non Current,11881257000.0,,22031000.0,28250000.0,,31069000.0
Non Current Deferred Taxes Liabilities,56048061000.0,51993167000.0,49421846000.0,46780050000.0,52676294000.0,
Current Liabilities,84250536000.0,82599972000.0,97507472000.0,71997519000.0,71393798000.0,
Other Current Liabilities,,,,10064000.0,,1898062000.0
Pensionand Other Post Retirement Benefit Plans Current,1151113000.0,1579370000.0,1419600000.0,1006927000.0,1494976000.0,
Current Provisions,1587137000.0,1488839000.0,989129000.0,889502000.0,4442253000.0,
Payables,80773015000.0,79528408000.0,94898596000.0,70091026000.0,62729467000.0,
Other Payable,1859825000.0,2674011000.0,3254973000.0,2715233000.0,1311802000.0,
Dividends Payable,,,,,,0.0
Total Tax Payable,22132012000.0,14626689000.0,14680053000.0,12420066000.0,25146219000.0,
Accounts Payable,56781178000.0,62227708000.0,76963570000.0,54955727000.0,36271446000.0,
Total Assets,391759517000.0,352747469000.0,370416209000.0,317378598000.0,370858871000.0,
Total Non Current Assets,270779309000.0,247934492000.0,218883853000.0,207839856000.0,243673587000.0,
Non Current Prepaid Assets,124691000.0,65390000.0,59504000.0,71937000.0,43459000.0,
Non Current Deferred Taxes Assets,,,,,547424593000.0,
Long Term Equity Investment,2182956000.0,2092006000.0,2019665000.0,1615306000.0,1264858000.0,
Investmentsin Associatesat Cost,2182956000.0,2092006000.0,2019665000.0,1615306000.0,1264858000.0,
Investment Properties,6751126000.0,6203974000.0,5784791000.0,5489879000.0,6345216000.0,
Goodwill And Other Intangible Assets,1859541000.0,1509877000.0,1380307000.0,1316238000.0,1627632000.0,
Other Intangible Assets,1859541000.0,1509877000.0,1380307000.0,1316238000.0,1627632000.0,
Net PPE,259811809000.0,238063216000.0,209639557000.0,199346467000.0,234392384000.0,
Accumulated Depreciation,-445633996000.0,-404446588000.0,-371689509000.0,-347491257000.0,-391086004000.0,
Gross PPE,705445805000.0,642509804000.0,581329066000.0,546837724000.0,625478388000.0,
Construction In Progress,8678327000.0,7451058000.0,6857052000.0,6470854000.0,7638233000.0,
Other Properties,482902027000.0,439420323000.0,394188389000.0,371143282000.0,424635469000.0,
Machinery Furniture Equipment,52360809000.0,48312736000.0,43991407000.0,40803996000.0,46606961000.0,
Buildings And Improvements,12211199000.0,10930962000.0,10022419000.0,9396848000.0,10626007000.0,
Land And Improvements,270357000.0,247032000.0,229037000.0,216138000.0,247032000.0,
Properties,149023086000.0,136147693000.0,126040762000.0,118806606000.0,135724686000.0,
Current Assets,120980208000.0,104812977000.0,151532356000.0,109538742000.0,127185284000.0,
Restricted Cash,970542000.0,46540000.0,218494000.0,113563000.0,0.0,
Prepaid Assets,3065110000.0,1420767000.0,865171000.0,1036886000.0,903345000.0,
Inventory,535850000.0,570845000.0,633712000.0,553763000.0,363733000.0,
Raw Materials,535850000.0,570845000.0,633712000.0,553763000.0,363733000.0,
Other Receivables,26918261000.0,38315701000.0,39286092000.0,22158104000.0,20416493000.0,
Taxes Receivable,273420000.0,760756000.0,958058000.0,566350000.0,0.0,
Accounts Receivable,52337708000.0,41505586000.0,60827701000.0,57205484000.0,34657541000.0,
Allowance For Doubtful Accounts Receivable,,-4774770000.0,,,-3694425000.0,
Gross Accounts Receivable,,46280356000.0,,,38351966000.0,
Cash Cash Equivalents And Short Term Investments,36879317000.0,22192782000.0,48743128000.0,27904592000.0,70844172000.0,
Other Short Term Investments,12904402000.0,9620415000.0,14420043000.0,21481657000.0,54676812000.0,
Cash And Cash Equivalents,23974915000.0,12572367000.0,34323085000.0,6422935000.0,16167360000.0,
Cash Equivalents,23403198000.0,11710745000.0,32903167000.0,4536706000.0,14824456000.0,
Cash Financial,571717000.0,861622000.0,1419918000.0,1886229000.0,1342904000.0,
