,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,5412376.0,5374205.0,5376346.0,5376346.0,5378653.0,,
Share Issued,5412376.0,5374205.0,5376346.0,5376346.0,5378653.0,,
Net Debt,,,,,,,21890000.0
Total Debt,29596000.0,69579000.0,69562000.0,69545000.0,94529000.0,,
Tangible Book Value,190326000.0,188839000.0,185581000.0,179648000.0,176475000.0,,
Invested Capital,219922000.0,258418000.0,255143000.0,249193000.0,271004000.0,,
Net Tangible Assets,190326000.0,188839000.0,185581000.0,179648000.0,176475000.0,,
Common Stock Equity,190326000.0,188839000.0,185581000.0,179648000.0,176475000.0,,
Total Capitalization,219922000.0,258418000.0,255143000.0,249193000.0,246004000.0,,
Total Equity Gross Minority Interest,190326000.0,188839000.0,185581000.0,179648000.0,176475000.0,,
Stockholders Equity,190326000.0,188839000.0,185581000.0,179648000.0,176475000.0,,
Gains Losses Not Affecting Retained Earnings,-5965000.0,-5260000.0,-5585000.0,-7296000.0,-6627000.0,,
Other Equity Adjustments,-5965000.0,-5260000.0,-5585000.0,-7296000.0,-6627000.0,,
Retained Earnings,118178000.0,116115000.0,113448000.0,109530000.0,105928000.0,,
Additional Paid In Capital,64802000.0,64720000.0,64458000.0,64154000.0,63922000.0,,
Capital Stock,13311000.0,13264000.0,13260000.0,13260000.0,13252000.0,,
Common Stock,13311000.0,13264000.0,13260000.0,13260000.0,13252000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,1648034000.0,1699787000.0,1746892000.0,1855432000.0,1728002000.0,,
Long Term Debt And Capital Lease Obligation,29596000.0,69579000.0,69562000.0,69545000.0,69529000.0,,
Long Term Debt,29596000.0,69579000.0,69562000.0,69545000.0,69529000.0,,
Current Debt And Capital Lease Obligation,,0.0,0.0,0.0,25000000.0,25000000.0,
Current Debt,,0.0,0.0,0.0,25000000.0,25000000.0,
Other Current Borrowings,,0.0,0.0,0.0,25000000.0,25000000.0,
Total Assets,1838360000.0,1888626000.0,1932473000.0,2035080000.0,1904477000.0,,
Investments And Advances,115370000.0,28543000.0,21979000.0,20807000.0,13670000.0,,
Available For Sale Securities,,,,,,120336000.0,
Net PPE,14911000.0,14906000.0,14878000.0,14693000.0,14625000.0,,
Accumulated Depreciation,,-15526000.0,,,,-15418000.0,
Gross PPE,,30432000.0,,,,29757000.0,
Machinery Furniture Equipment,,9651000.0,,,,9967000.0,
Buildings And Improvements,,14662000.0,,,,13671000.0,
Land And Improvements,,6119000.0,,,,6119000.0,
Other Short Term Investments,115370000.0,28543000.0,21979000.0,20807000.0,13670000.0,,
Cash And Cash Equivalents,109474000.0,117926000.0,204677000.0,277969000.0,203545000.0,,
Cash Financial,14500000.0,13942000.0,15558000.0,17401000.0,16527000.0,,
Cash Cash Equivalents And Federal Funds Sold,191642000.0,220980000.0,271915000.0,399788000.0,269920000.0,,
