,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,83453001.0,82826416.0,69569813.0,68889649.0,68811357.0,
Share Issued,83453001.0,82826416.0,69569813.0,68889649.0,68811357.0,
Total Debt,20230000.0,20772000.0,21301000.0,21815000.0,24082000.0,
Tangible Book Value,230472000.0,306113000.0,200182000.0,246009000.0,298396000.0,
Invested Capital,230472000.0,306113000.0,200182000.0,246009000.0,298396000.0,
Working Capital,212044000.0,291631000.0,186012000.0,232076000.0,285306000.0,
Net Tangible Assets,230472000.0,306113000.0,200182000.0,246009000.0,298396000.0,
Capital Lease Obligations,20230000.0,20772000.0,21301000.0,21815000.0,24082000.0,
Common Stock Equity,230472000.0,306113000.0,200182000.0,246009000.0,298396000.0,
Total Capitalization,230472000.0,306113000.0,200182000.0,246009000.0,298396000.0,
Total Equity Gross Minority Interest,230472000.0,306113000.0,200182000.0,246009000.0,298396000.0,
Stockholders Equity,230472000.0,306113000.0,200182000.0,246009000.0,298396000.0,
Gains Losses Not Affecting Retained Earnings,802000.0,961000.0,919000.0,832000.0,923000.0,
Other Equity Adjustments,802000.0,961000.0,919000.0,832000.0,923000.0,
Retained Earnings,-1189810000.0,-1104978000.0,-1037369000.0,-977637000.0,-918211000.0,
Additional Paid In Capital,1419397000.0,1410047000.0,1236562000.0,1222745000.0,1215615000.0,
Capital Stock,83000.0,83000.0,70000.0,69000.0,69000.0,
Common Stock,83000.0,83000.0,70000.0,69000.0,69000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,57745000.0,57883000.0,51513000.0,55138000.0,64168000.0,
Total Non Current Liabilities Net Minority Interest,20285000.0,20859000.0,21419000.0,21963000.0,22491000.0,
Other Non Current Liabilities,55000.0,87000.0,118000.0,148000.0,177000.0,
Non Current Deferred Liabilities,,0.0,0.0,0.0,0.0,10853000.0
Non Current Deferred Revenue,,0.0,0.0,0.0,0.0,10853000.0
Long Term Debt And Capital Lease Obligation,20230000.0,20772000.0,21301000.0,21815000.0,22314000.0,
Long Term Capital Lease Obligation,20230000.0,20772000.0,21301000.0,21815000.0,22314000.0,
Current Liabilities,37460000.0,37024000.0,30094000.0,33175000.0,41677000.0,
Other Current Liabilities,2206000.0,2140000.0,2075000.0,2012000.0,197000.0,
Current Deferred Revenue,,0.0,0.0,0.0,5115000.0,17784000.0
Current Debt And Capital Lease Obligation,,,,,1768000.0,
Current Capital Lease Obligation,,,,,1768000.0,
Pensionand Other Post Retirement Benefit Plans Current,6683000.0,14534000.0,10931000.0,7747000.0,5396000.0,
Payables And Accrued Expenses,28571000.0,,,,,
Current Accrued Expenses,9758000.0,9860000.0,7012000.0,3731000.0,12782000.0,
Payables,18813000.0,10490000.0,10076000.0,19685000.0,16419000.0,
Accounts Payable,18813000.0,10490000.0,10076000.0,19685000.0,16419000.0,
Total Assets,288217000.0,363996000.0,251695000.0,301147000.0,362564000.0,
Total Non Current Assets,38713000.0,35341000.0,35589000.0,35896000.0,35581000.0,
Other Non Current Assets,9454000.0,6095000.0,6068000.0,6045000.0,6027000.0,
Net PPE,29259000.0,29246000.0,29521000.0,29851000.0,29554000.0,
Accumulated Depreciation,,-6017000.0,,,,-4057000.0
Gross PPE,29259000.0,35263000.0,29521000.0,29851000.0,29554000.0,
Leases,,4180000.0,,,,4128000.0
Construction In Progress,,1460000.0,,,,1507000.0
Other Properties,29259000.0,29623000.0,29521000.0,29851000.0,29554000.0,
Properties,,0.0,,,,0.0
Current Assets,249504000.0,328655000.0,216106000.0,265251000.0,326983000.0,
Other Current Assets,1275000.0,1964000.0,899000.0,1572000.0,1401000.0,
Prepaid Assets,23277000.0,18141000.0,8030000.0,4643000.0,4817000.0,
Inventory,1250000.0,1813000.0,2110000.0,2678000.0,2129000.0,
Finished Goods,,,,,0.0,0.0
Work In Process,84000.0,584000.0,498000.0,1002000.0,339000.0,
Raw Materials,1166000.0,1229000.0,1612000.0,1676000.0,1790000.0,
Receivables,1157000.0,651000.0,1045000.0,625000.0,442000.0,
Accounts Receivable,1157000.0,651000.0,1045000.0,625000.0,442000.0,
Cash Cash Equivalents And Short Term Investments,222545000.0,306086000.0,204022000.0,255733000.0,318194000.0,
Other Short Term Investments,144833000.0,204265000.0,129445000.0,184590000.0,233036000.0,
Cash And Cash Equivalents,77712000.0,101821000.0,74577000.0,71143000.0,85158000.0,
