,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,337577187.0,341052187.0,341173000.0,352771000.0,360813320.0,,
Share Issued,337577187.0,341052187.0,341173000.0,352771000.0,360813320.0,,
Net Debt,251712000.0,226444000.0,215585000.0,208654000.0,189856000.0,,
Total Debt,541351000.0,542806000.0,545135000.0,547538000.0,541189000.0,,
Tangible Book Value,-9703000.0,-17412000.0,-25898000.0,17459000.0,33693000.0,,
Invested Capital,1109408000.0,1104526000.0,1089826000.0,1133003000.0,1145184000.0,,
Working Capital,407270000.0,397100000.0,383657000.0,419705000.0,436825000.0,,
Net Tangible Assets,-9703000.0,-17412000.0,-25898000.0,17459000.0,33693000.0,,
Capital Lease Obligations,53929000.0,54542000.0,56021000.0,57566000.0,50352000.0,,
Common Stock Equity,621986000.0,616262000.0,600712000.0,643031000.0,654347000.0,,
Total Capitalization,1104408000.0,1099526000.0,1084826000.0,1128003000.0,1140184000.0,,
Total Equity Gross Minority Interest,621986000.0,616262000.0,600712000.0,643031000.0,654347000.0,,
Stockholders Equity,621986000.0,616262000.0,600712000.0,643031000.0,654347000.0,,
Retained Earnings,-1409405000.0,-1410574000.0,-1415999000.0,-1417118000.0,-1429961000.0,,
Additional Paid In Capital,2031357000.0,2026802000.0,2016677000.0,2060114000.0,2084272000.0,,
Capital Stock,34000.0,34000.0,34000.0,35000.0,36000.0,,
Common Stock,34000.0,34000.0,34000.0,35000.0,36000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,1399265000.0,787796000.0,724795000.0,675675000.0,640924000.0,,
Total Non Current Liabilities Net Minority Interest,540067000.0,541794000.0,542937000.0,544766000.0,537541000.0,,
Other Non Current Liabilities,8692000.0,8741000.0,7563000.0,7049000.0,6910000.0,,
Long Term Debt And Capital Lease Obligation,531375000.0,533053000.0,535374000.0,537717000.0,530631000.0,,
Long Term Capital Lease Obligation,48953000.0,49789000.0,51260000.0,52745000.0,44794000.0,,
Long Term Debt,482422000.0,483264000.0,484114000.0,484972000.0,485837000.0,,
Current Liabilities,859198000.0,246002000.0,181858000.0,130909000.0,103383000.0,,
Other Current Liabilities,750978000.0,130139000.0,42305000.0,6978000.0,7278000.0,,
Current Deferred Liabilities,8628000.0,6705000.0,6282000.0,6076000.0,6307000.0,,
Current Deferred Revenue,8628000.0,6705000.0,6282000.0,6076000.0,6307000.0,,
Current Debt And Capital Lease Obligation,9976000.0,9753000.0,9761000.0,9821000.0,10558000.0,,
Current Capital Lease Obligation,4976000.0,4753000.0,4761000.0,4821000.0,5558000.0,,
Current Debt,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,,
Other Current Borrowings,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,,
Payables And Accrued Expenses,89616000.0,99405000.0,123510000.0,108034000.0,79240000.0,,
Current Accrued Expenses,75091000.0,80000000.0,87108000.0,70749000.0,57225000.0,,
Payables,14525000.0,19405000.0,36402000.0,37285000.0,22015000.0,,
Total Tax Payable,,0.0,7677000.0,11874000.0,6757000.0,1457000.0,
Income Tax Payable,,0.0,7677000.0,11874000.0,6757000.0,1457000.0,
Accounts Payable,14525000.0,19405000.0,28725000.0,25411000.0,15258000.0,,
Total Assets,2021251000.0,1404058000.0,1325507000.0,1318706000.0,1295271000.0,,
Total Non Current Assets,754783000.0,760956000.0,759992000.0,768092000.0,755063000.0,,
Other Non Current Assets,29562000.0,29095000.0,23319000.0,23914000.0,22817000.0,,
Non Current Deferred Assets,53042000.0,57111000.0,69093000.0,77182000.0,77182000.0,,
Non Current Deferred Taxes Assets,53042000.0,57111000.0,69093000.0,77182000.0,77182000.0,,
Goodwill And Other Intangible Assets,631689000.0,633674000.0,626610000.0,625572000.0,620654000.0,,
Other Intangible Assets,201358000.0,203343000.0,204891000.0,203853000.0,198935000.0,,
Goodwill,430331000.0,430331000.0,421719000.0,421719000.0,421719000.0,,
Net PPE,40490000.0,41076000.0,40970000.0,41424000.0,34410000.0,,
Accumulated Depreciation,,-22289000.0,,,,-18230000.0,
Gross PPE,40490000.0,63365000.0,40970000.0,41424000.0,34410000.0,,
Leases,,16110000.0,,,,16169000.0,
Construction In Progress,,3316000.0,,,,308000.0,
Other Properties,40490000.0,28808000.0,40970000.0,41424000.0,34410000.0,,
Machinery Furniture Equipment,,15131000.0,,,,14417000.0,
Properties,,0.0,,,,0.0,
Current Assets,1266468000.0,643102000.0,565515000.0,550614000.0,540208000.0,,
Other Current Assets,798037000.0,126413000.0,75071000.0,66990000.0,67210000.0,,
Receivables,232721000.0,254869000.0,216915000.0,202306000.0,172017000.0,,
Other Receivables,,11900000.0,11900000.0,11900000.0,11900000.0,14900000.0,
Taxes Receivable,,7223000.0,1277000.0,1379000.0,,0.0,13912000.0
Accounts Receivable,232721000.0,235746000.0,203738000.0,189027000.0,160117000.0,,
Cash Cash Equivalents And Short Term Investments,235710000.0,261820000.0,273529000.0,281318000.0,300981000.0,,
Cash And Cash Equivalents,235710000.0,261820000.0,273529000.0,281318000.0,300981000.0,,
