,2026-03-31,2025-09-30,2025-07-31
Ordinary Shares Number,29410000.0,25600000.0,25600000.0
Share Issued,29410000.0,25600000.0,25600000.0
Tangible Book Value,224310175.0,-25518.0,10442.0
Invested Capital,224310175.0,-25518.0,10442.0
Working Capital,825002.0,-162422.0,-46910.0
Net Tangible Assets,224310175.0,-25518.0,10442.0
Common Stock Equity,224310175.0,-25518.0,10442.0
Total Capitalization,224310175.0,-25518.0,10442.0
Total Equity Gross Minority Interest,224310175.0,-25518.0,10442.0
Stockholders Equity,224310175.0,-25518.0,10442.0
Retained Earnings,-8293118.0,-50518.0,-14558.0
Additional Paid In Capital,0.0,24425.0,24425.0
Capital Stock,232603293.0,575.0,575.0
Common Stock,232603293.0,575.0,575.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,9536233.0,162422.0,71910.0
Total Non Current Liabilities Net Minority Interest,9200000.0,0.0,0.0
Non Current Deferred Liabilities,9200000.0,,
Current Liabilities,336233.0,162422.0,71910.0
Payables And Accrued Expenses,336233.0,162422.0,71910.0
Current Accrued Expenses,218767.0,98275.0,70740.0
Payables,117466.0,64147.0,1170.0
Dueto Related Parties Current,97581.0,25900.0,
Accounts Payable,19885.0,38247.0,1170.0
Total Assets,233846408.0,136904.0,82352.0
Total Non Current Assets,232685173.0,136904.0,57352.0
Other Non Current Assets,232602652.0,,
Non Current Prepaid Assets,82521.0,,
Non Current Deferred Assets,,136904.0,57352.0
Current Assets,1161235.0,0.0,25000.0
Prepaid Assets,144118.0,0.0,25000.0
Cash Cash Equivalents And Short Term Investments,1017117.0,,
Cash And Cash Equivalents,1017117.0,,
Cash Financial,1017117.0,,
