,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,137624545.0,137617832.0,139110499.0,139092221.0,138788979.0,
Share Issued,137624545.0,137617832.0,139110499.0,139092221.0,138788979.0,
Net Debt,4495880000.0,4318572000.0,4327111000.0,4348806000.0,4169347000.0,
Total Debt,6713816000.0,6535229000.0,6398442000.0,6421760000.0,6102282000.0,
Tangible Book Value,-512300000.0,-621538000.0,-196618000.0,-269259000.0,-376182000.0,
Invested Capital,9471320000.0,9218742000.0,9545101000.0,9509712000.0,9039727000.0,
Working Capital,927973000.0,777029000.0,1283856000.0,1260602000.0,1329188000.0,
Net Tangible Assets,-512300000.0,-621538000.0,-196618000.0,-269259000.0,-376182000.0,
Capital Lease Obligations,1717913000.0,1739478000.0,1639972000.0,1614961000.0,1512488000.0,
Common Stock Equity,4475417000.0,4422991000.0,4786631000.0,4702913000.0,4449933000.0,
Total Capitalization,7954301000.0,7921414000.0,8532405000.0,8447031000.0,8225791000.0,
Total Equity Gross Minority Interest,4492217000.0,4440363000.0,4805127000.0,4718918000.0,4464563000.0,
Minority Interest,16800000.0,17372000.0,18496000.0,16005000.0,14630000.0,
Stockholders Equity,4475417000.0,4422991000.0,4786631000.0,4702913000.0,4449933000.0,
Gains Losses Not Affecting Retained Earnings,-513465000.0,-511766000.0,-1079342000.0,-1068219000.0,-1208730000.0,
Other Equity Adjustments,-513465000.0,-511766000.0,-1079342000.0,-1068219000.0,-1208730000.0,
Retained Earnings,4611029000.0,4568769000.0,5509794000.0,5426894000.0,5315279000.0,
Additional Paid In Capital,240228000.0,228370000.0,217068000.0,205146000.0,204595000.0,
Capital Stock,137625000.0,137618000.0,139111000.0,139092000.0,138789000.0,
Common Stock,137625000.0,137618000.0,139111000.0,139092000.0,138789000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,16484360000.0,16355177000.0,15889741000.0,15712149000.0,15352642000.0,
Total Non Current Liabilities Net Minority Interest,6527823000.0,6567472000.0,6506640000.0,6499001000.0,6467442000.0,
Other Non Current Liabilities,737288000.0,724353000.0,470141000.0,487181000.0,531472000.0,
Employee Benefits,219504000.0,219270000.0,222413000.0,222244000.0,220031000.0,
Non Current Pension And Other Postretirement Benefit Plans,219504000.0,219270000.0,222413000.0,222244000.0,220031000.0,
Non Current Deferred Liabilities,374234000.0,385948000.0,428340000.0,430497000.0,427593000.0,
Non Current Deferred Taxes Liabilities,374234000.0,385948000.0,428340000.0,430497000.0,427593000.0,
Long Term Debt And Capital Lease Obligation,5196797000.0,5237901000.0,5385746000.0,5359079000.0,5288346000.0,
Long Term Capital Lease Obligation,1717913000.0,1739478000.0,1639972000.0,1614961000.0,1512488000.0,
Long Term Debt,3478884000.0,3498423000.0,3745774000.0,3744118000.0,3775858000.0,
Current Liabilities,9956537000.0,9787705000.0,9383101000.0,9213148000.0,8885200000.0,
Other Current Liabilities,2113831000.0,2295204000.0,2126911000.0,2010259000.0,1917020000.0,
Current Debt And Capital Lease Obligation,1517019000.0,1297328000.0,1012696000.0,1062681000.0,813936000.0,
Current Debt,1517019000.0,1297328000.0,1012696000.0,1062681000.0,813936000.0,
Other Current Borrowings,356019000.0,,120696000.0,140681000.0,38936000.0,
Line Of Credit,554000000.0,,,,,
Commercial Paper,607000000.0,,892000000.0,922000000.0,775000000.0,
Payables And Accrued Expenses,6325687000.0,6195173000.0,6243494000.0,6140208000.0,6154244000.0,
Payables,6325687000.0,6195173000.0,6243494000.0,6140208000.0,6154244000.0,
Dividends Payable,147820000.0,143291000.0,143271000.0,143265000.0,142951000.0,
Accounts Payable,6177867000.0,6051882000.0,6100223000.0,5996943000.0,6011293000.0,
Total Assets,20976577000.0,20795540000.0,20694868000.0,20431067000.0,19817205000.0,
Total Non Current Assets,10092067000.0,10230806000.0,10027911000.0,9957317000.0,9602817000.0,
Other Non Current Assets,891765000.0,929650000.0,982288000.0,992374000.0,960782000.0,
Goodwill And Other Intangible Assets,4987717000.0,5044529000.0,4983249000.0,4972172000.0,4826115000.0,
Other Intangible Assets,1806123000.0,1855714000.0,1855978000.0,1877578000.0,1840396000.0,
Goodwill,3181594000.0,3188815000.0,3127271000.0,3094594000.0,2985719000.0,
Net PPE,4212585000.0,4256627000.0,4062374000.0,3992771000.0,3815920000.0,
Accumulated Depreciation,-2200146000.0,-2137108000.0,-2028733000.0,-1950462000.0,-1839494000.0,
Gross PPE,6412731000.0,6393735000.0,6091107000.0,5943233000.0,5655414000.0,
Construction In Progress,,236156000.0,,,,278791000.0
Other Properties,6412731000.0,2084487000.0,6091107000.0,5943233000.0,5655414000.0,
Machinery Furniture Equipment,,2826325000.0,,,,2324664000.0
Buildings And Improvements,,1153855000.0,,,,1028101000.0
Land And Improvements,,92912000.0,,,0.0,90989000.0
Properties,,0.0,,,0.0,0.0
Current Assets,10884510000.0,10564734000.0,10666957000.0,10473750000.0,10214388000.0,
Other Current Assets,637145000.0,587285000.0,495792000.0,500744000.0,520010000.0,
Prepaid Assets,241851000.0,150014000.0,140136000.0,170430000.0,173925000.0,
Inventory,6127233000.0,6071996000.0,5873796000.0,5774046000.0,5632947000.0,
Finished Goods,6127233000.0,6071996000.0,5873796000.0,5774046000.0,5632947000.0,
Receivables,3378258000.0,3278260000.0,3725874000.0,3570537000.0,3467059000.0,
Other Receivables,844408000.0,907321000.0,1086099000.0,969800000.0,959843000.0,
Accounts Receivable,2533850000.0,2370939000.0,2639775000.0,2600737000.0,2507216000.0,
Allowance For Doubtful Accounts Receivable,-80950000.0,-86000000.0,-78571000.0,-76830000.0,-68332000.0,
Gross Accounts Receivable,2614800000.0,2456939000.0,2718346000.0,2677567000.0,2575548000.0,
Cash Cash Equivalents And Short Term Investments,500023000.0,477179000.0,431359000.0,457993000.0,420447000.0,
Cash And Cash Equivalents,500023000.0,477179000.0,431359000.0,457993000.0,420447000.0,
