,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,29405500.0,29405500.0,29405500.0,26360500.0,26360500.0,
Share Issued,29405500.0,29405500.0,29405500.0,26360500.0,26360500.0,
Tangible Book Value,227058269.0,225365960.0,223447762.0,-82033.0,-3800.0,
Invested Capital,227058269.0,225365960.0,223447762.0,-82033.0,-3800.0,
Working Capital,1448148.0,1677987.0,1984943.0,-238563.0,-4650.0,
Net Tangible Assets,227058269.0,225365960.0,223447762.0,-82033.0,-3800.0,
Common Stock Equity,227058269.0,225365960.0,223447762.0,-82033.0,-3800.0,
Total Capitalization,227058269.0,225365960.0,223447762.0,-82033.0,-3800.0,
Total Equity Gross Minority Interest,227058269.0,225365960.0,223447762.0,-82033.0,-3800.0,
Stockholders Equity,227058269.0,225365960.0,223447762.0,-82033.0,-3800.0,
Other Equity Interest,,,-5000.0,,,
Retained Earnings,-7752493.0,-7522654.0,-7210698.0,-107033.0,-28800.0,
Additional Paid In Capital,0.0,0.0,0.0,24425.0,24425.0,
Capital Stock,234810762.0,232888614.0,230663460.0,575.0,575.0,
Common Stock,234810762.0,232888614.0,230663460.0,575.0,575.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,9252689.0,9220900.0,9222190.0,238563.0,4650.0,
Total Non Current Liabilities Net Minority Interest,9200000.0,9200000.0,9200000.0,0.0,0.0,
Non Current Deferred Liabilities,9200000.0,9200000.0,9200000.0,,,0.0
Current Liabilities,52689.0,20900.0,22190.0,238563.0,4650.0,
Payables And Accrued Expenses,52689.0,20900.0,22190.0,238563.0,4650.0,
Current Accrued Expenses,,,,,4650.0,
Payables,52689.0,20900.0,22190.0,238563.0,,3800.0
Dueto Related Parties Current,,,,64455.0,,0.0
Accounts Payable,52689.0,20900.0,22190.0,174108.0,,3800.0
Total Assets,236310958.0,234586860.0,232669952.0,156530.0,850.0,
Total Non Current Assets,234810121.0,232887973.0,230662819.0,156530.0,850.0,
Other Non Current Assets,234810121.0,232887973.0,230662819.0,,,
Non Current Deferred Assets,,,,156530.0,850.0,0.0
Current Assets,1500837.0,1698887.0,2007133.0,0.0,0.0,
Prepaid Assets,190240.0,148812.0,171134.0,0.0,0.0,
Cash Cash Equivalents And Short Term Investments,1310597.0,1550075.0,1835999.0,,,0.0
Other Short Term Investments,500000.0,,,,,
Cash And Cash Equivalents,810597.0,1550075.0,1835999.0,,,0.0
Cash Financial,,1550075.0,1835999.0,,,0.0
