,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,4510182.0,4471989.0,4457966.0,4453119.0,4421374.0,
Share Issued,4510182.0,4471989.0,4457966.0,4453119.0,4421374.0,
Net Debt,29113000.0,27256000.0,27150000.0,27422000.0,30412000.0,
Total Debt,44122000.0,44277000.0,42785000.0,43314000.0,44607000.0,
Tangible Book Value,-6232000.0,-3464000.0,-3836000.0,-3558000.0,-4255000.0,
Invested Capital,46257000.0,49604000.0,48035000.0,50597000.0,50793000.0,
Working Capital,23616000.0,26265000.0,-10591000.0,-10233000.0,-10701000.0,
Net Tangible Assets,-6232000.0,-3464000.0,-3836000.0,-3558000.0,-4255000.0,
Capital Lease Obligations,7911000.0,8407000.0,8818000.0,8450000.0,8649000.0,
Common Stock Equity,10046000.0,13734000.0,14068000.0,15733000.0,14835000.0,
Total Capitalization,46257000.0,49604000.0,14068000.0,15733000.0,14835000.0,
Total Equity Gross Minority Interest,10046000.0,13734000.0,14068000.0,15733000.0,14835000.0,
Stockholders Equity,10046000.0,13734000.0,14068000.0,15733000.0,14835000.0,
Gains Losses Not Affecting Retained Earnings,-12313000.0,-11672000.0,-12437000.0,-11702000.0,-14361000.0,
Other Equity Adjustments,-12313000.0,-11672000.0,-12437000.0,-11702000.0,-14361000.0,
Retained Earnings,-218134000.0,-214710000.0,-211863000.0,-210632000.0,-208350000.0,
Additional Paid In Capital,240046000.0,239669000.0,237922000.0,237622000.0,237104000.0,
Capital Stock,447000.0,447000.0,446000.0,445000.0,442000.0,
Common Stock,447000.0,447000.0,446000.0,445000.0,442000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,67892000.0,66337000.0,63924000.0,64360000.0,64966000.0,
Total Non Current Liabilities Net Minority Interest,44029000.0,44377000.0,9528000.0,9158000.0,9363000.0,
Other Non Current Liabilities,1146000.0,1308000.0,1463000.0,1427000.0,1416000.0,
Non Current Deferred Liabilities,313000.0,317000.0,733000.0,734000.0,717000.0,
Non Current Deferred Taxes Liabilities,313000.0,317000.0,733000.0,734000.0,717000.0,
Long Term Debt And Capital Lease Obligation,42570000.0,42752000.0,7332000.0,6997000.0,7230000.0,
Long Term Capital Lease Obligation,6359000.0,6882000.0,7332000.0,6997000.0,7230000.0,
Long Term Debt,36211000.0,35870000.0,,,,
Current Liabilities,23863000.0,21960000.0,54396000.0,55202000.0,55603000.0,
Other Current Liabilities,11183000.0,11521000.0,9017000.0,8896000.0,8112000.0,
Current Deferred Liabilities,3666000.0,3447000.0,2879000.0,3143000.0,3427000.0,
Current Deferred Revenue,3666000.0,3447000.0,2879000.0,3143000.0,3427000.0,
Current Debt And Capital Lease Obligation,1552000.0,1525000.0,35453000.0,36317000.0,37377000.0,
Current Capital Lease Obligation,1552000.0,1525000.0,1486000.0,1453000.0,1419000.0,
Current Debt,,,33967000.0,34864000.0,35958000.0,36956000.0
Other Current Borrowings,,,,,35958000.0,36956000.0
Line Of Credit,,,33967000.0,34864000.0,,
Pensionand Other Post Retirement Benefit Plans Current,2175000.0,1815000.0,1871000.0,2124000.0,1879000.0,
Payables And Accrued Expenses,5287000.0,,,,,
Payables,5287000.0,3652000.0,5176000.0,4722000.0,4808000.0,
Accounts Payable,5287000.0,3652000.0,5176000.0,4722000.0,4808000.0,
Total Assets,77938000.0,80071000.0,77992000.0,80093000.0,79801000.0,
Total Non Current Assets,30459000.0,31846000.0,34187000.0,35124000.0,34899000.0,
Other Non Current Assets,2582000.0,2689000.0,3793000.0,3789000.0,3517000.0,
Goodwill And Other Intangible Assets,16278000.0,17198000.0,17904000.0,19291000.0,19090000.0,
Other Intangible Assets,6906000.0,7639000.0,8379000.0,9139000.0,10130000.0,
Goodwill,9372000.0,9559000.0,9525000.0,10152000.0,8960000.0,
Net PPE,11599000.0,11959000.0,12490000.0,12044000.0,12292000.0,
Accumulated Depreciation,,-18116000.0,,,,-15820000.0
Gross PPE,11599000.0,30075000.0,12490000.0,12044000.0,12292000.0,
Leases,,2666000.0,,,,2565000.0
Other Properties,11599000.0,7172000.0,12490000.0,12044000.0,12292000.0,
Machinery Furniture Equipment,,20237000.0,,,,18361000.0
Properties,,0.0,,,,0.0
Current Assets,47479000.0,48225000.0,43805000.0,44969000.0,44902000.0,
Other Current Assets,3604000.0,2763000.0,3275000.0,3335000.0,3061000.0,
Inventory,22205000.0,20805000.0,21604000.0,22255000.0,22816000.0,
Finished Goods,5506000.0,5371000.0,5863000.0,5935000.0,5128000.0,
Work In Process,3361000.0,3262000.0,2256000.0,1556000.0,3017000.0,
Raw Materials,13338000.0,12172000.0,13485000.0,14764000.0,14671000.0,
Receivables,14572000.0,16043000.0,12109000.0,11937000.0,13479000.0,
Accounts Receivable,14572000.0,16043000.0,12109000.0,11937000.0,13479000.0,
Allowance For Doubtful Accounts Receivable,-200000.0,-207000.0,-162000.0,-164000.0,-241000.0,
Gross Accounts Receivable,14772000.0,16250000.0,12271000.0,12101000.0,13720000.0,
Cash Cash Equivalents And Short Term Investments,7098000.0,8614000.0,6817000.0,7442000.0,5546000.0,
Cash And Cash Equivalents,7098000.0,8614000.0,6817000.0,7442000.0,5546000.0,
