,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,114424682.0,115771149.0,118567917.0,121895045.0,122243683.0,
Share Issued,114424682.0,115771149.0,118567917.0,121895045.0,122243683.0,
Net Debt,3270000000.0,2951000000.0,2960000000.0,2873000000.0,2764000000.0,
Total Debt,3749000000.0,3436000000.0,3441000000.0,3358000000.0,3224000000.0,
Tangible Book Value,-2025000000.0,-1986000000.0,-1832000000.0,-1681000000.0,-1674000000.0,
Invested Capital,6674000000.0,6352000000.0,6457000000.0,6463000000.0,6201000000.0,
Working Capital,1199000000.0,1236000000.0,1246000000.0,1236000000.0,1120000000.0,
Net Tangible Assets,-2025000000.0,-1986000000.0,-1832000000.0,-1681000000.0,-1674000000.0,
Capital Lease Obligations,341000000.0,329000000.0,345000000.0,340000000.0,333000000.0,
Common Stock Equity,3266000000.0,3245000000.0,3361000000.0,3445000000.0,3310000000.0,
Total Capitalization,5593000000.0,5555000000.0,5514000000.0,5535000000.0,5278000000.0,
Total Equity Gross Minority Interest,4822000000.0,4794000000.0,4900000000.0,4899000000.0,4719000000.0,
Minority Interest,1556000000.0,1549000000.0,1539000000.0,1454000000.0,1409000000.0,
Stockholders Equity,3266000000.0,3245000000.0,3361000000.0,3445000000.0,3310000000.0,
Gains Losses Not Affecting Retained Earnings,-189000000.0,-226000000.0,-222000000.0,-227000000.0,-317000000.0,
Other Equity Adjustments,-189000000.0,-226000000.0,-222000000.0,-227000000.0,-317000000.0,
Retained Earnings,3287000000.0,3293000000.0,3375000000.0,3485000000.0,3626000000.0,
Additional Paid In Capital,167000000.0,177000000.0,207000000.0,186000000.0,0.0,
Capital Stock,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,6482000000.0,6421000000.0,6197000000.0,6007000000.0,5761000000.0,
Total Non Current Liabilities Net Minority Interest,3185000000.0,3193000000.0,3048000000.0,3000000000.0,2844000000.0,
Other Non Current Liabilities,437000000.0,486000000.0,487000000.0,504000000.0,485000000.0,
Non Current Deferred Liabilities,158000000.0,146000000.0,144000000.0,147000000.0,135000000.0,
Non Current Deferred Taxes Liabilities,158000000.0,146000000.0,144000000.0,147000000.0,135000000.0,
Long Term Debt And Capital Lease Obligation,2590000000.0,2561000000.0,2417000000.0,2349000000.0,2224000000.0,
Long Term Capital Lease Obligation,263000000.0,251000000.0,264000000.0,259000000.0,256000000.0,
Long Term Debt,2327000000.0,2310000000.0,2153000000.0,2090000000.0,1968000000.0,
Current Liabilities,3297000000.0,3228000000.0,3149000000.0,3007000000.0,2917000000.0,
Current Debt And Capital Lease Obligation,1159000000.0,875000000.0,1024000000.0,1009000000.0,1000000000.0,
Current Capital Lease Obligation,78000000.0,78000000.0,81000000.0,81000000.0,77000000.0,
Current Debt,1081000000.0,797000000.0,943000000.0,928000000.0,923000000.0,
