,2026-03-31,2025-09-30,2025-08-31
Ordinary Shares Number,43520000.0,37500000.0,37500000.0
Share Issued,43520000.0,37500000.0,37500000.0
Tangible Book Value,334023364.0,-14818.0,20000.0
Invested Capital,334023364.0,-14818.0,20000.0
Working Capital,160659.0,,
Net Tangible Assets,334023364.0,-14818.0,20000.0
Common Stock Equity,334023364.0,-14818.0,20000.0
Total Capitalization,334023364.0,-14818.0,20000.0
Total Equity Gross Minority Interest,334023364.0,-14818.0,20000.0
Stockholders Equity,334023364.0,-14818.0,20000.0
Retained Earnings,-11220789.0,-39818.0,-5000.0
Additional Paid In Capital,0.0,24137.0,24137.0
Capital Stock,345244153.0,863.0,863.0
Common Stock,345244153.0,863.0,863.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,12159765.0,153868.0,43000.0
Total Non Current Liabilities Net Minority Interest,12075000.0,0.0,0.0
Non Current Deferred Liabilities,12075000.0,,
Current Liabilities,84765.0,153868.0,43000.0
Payables And Accrued Expenses,84765.0,153868.0,43000.0
Current Accrued Expenses,59778.0,114338.0,43000.0
Payables,24987.0,39530.0,
Accounts Payable,24987.0,39530.0,
Total Assets,346183129.0,139050.0,63000.0
Total Non Current Assets,345937705.0,139050.0,63000.0
Other Non Current Assets,345843250.0,,
Non Current Prepaid Assets,94455.0,,
Non Current Deferred Assets,0.0,139050.0,63000.0
Current Assets,245424.0,,
Prepaid Assets,190148.0,,
Cash Cash Equivalents And Short Term Investments,55276.0,,
Cash And Cash Equivalents,55276.0,,
Cash Financial,55276.0,,
