,2025-12-31,2024-12-31
Ordinary Shares Number,429703905.0,428628861.0
Share Issued,429703905.0,428628861.0
Net Debt,1056600000.0,114600000.0
Total Debt,1137500000.0,291300000.0
Tangible Book Value,2068800000.0,2360400000.0
Invested Capital,3171100000.0,2611000000.0
Working Capital,837500000.0,964300000.0
Net Tangible Assets,2068800000.0,2360400000.0
Capital Lease Obligations,35200000.0,40700000.0
Common Stock Equity,2068800000.0,2360400000.0
Total Capitalization,3171100000.0,2611000000.0
Total Equity Gross Minority Interest,2068800000.0,2360400000.0
Stockholders Equity,2068800000.0,2360400000.0
Gains Losses Not Affecting Retained Earnings,26500000.0,11200000.0
Other Equity Adjustments,15600000.0,-8600000.0
Fixed Assets Revaluation Reserve,10700000.0,10700000.0
Foreign Currency Translation Adjustments,200000.0,9100000.0
Retained Earnings,875600000.0,1190800000.0
Capital Stock,1166700000.0,1158400000.0
Common Stock,1166700000.0,1158400000.0
Total Liabilities Net Minority Interest,2151300000.0,1381000000.0
Total Non Current Liabilities Net Minority Interest,1817000000.0,1064000000.0
Derivative Product Liabilities,,14400000.0
Employee Benefits,4200000.0,13600000.0
Non Current Pension And Other Postretirement Benefit Plans,4200000.0,13600000.0
Long Term Debt And Capital Lease Obligation,1125500000.0,278700000.0
Long Term Capital Lease Obligation,23200000.0,28100000.0
Long Term Debt,1102300000.0,250600000.0
Long Term Provisions,687300000.0,757300000.0
Current Liabilities,334300000.0,317000000.0
Current Deferred Liabilities,,26700000.0
Current Deferred Taxes Liabilities,,26700000.0
Current Debt And Capital Lease Obligation,12000000.0,12600000.0
Current Capital Lease Obligation,12000000.0,12600000.0
Pensionand Other Post Retirement Benefit Plans Current,14700000.0,14400000.0
Current Provisions,39000000.0,64900000.0
Payables And Accrued Expenses,268600000.0,198400000.0
Payables,268600000.0,198400000.0
Other Payable,220200000.0,
Accounts Payable,48400000.0,198400000.0
Total Assets,4220100000.0,3741400000.0
Total Non Current Assets,3048300000.0,2460100000.0
Other Non Current Assets,360800000.0,205000000.0
Non Current Deferred Assets,237300000.0,94200000.0
Non Current Deferred Taxes Assets,237300000.0,94200000.0
Financial Assets,100000.0,
Investments And Advances,448300000.0,454100000.0
Other Investments,3800000.0,10500000.0
Long Term Equity Investment,444500000.0,443600000.0
Investmentsin Associatesat Cost,444500000.0,443600000.0
Net PPE,2001800000.0,1706800000.0
Accumulated Depreciation,-2647700000.0,-2564800000.0
Gross PPE,4649500000.0,4271600000.0
Construction In Progress,1439000000.0,
Other Properties,16300000.0,48200000.0
Machinery Furniture Equipment,2089200000.0,2747000000.0
Land And Improvements,230300000.0,202100000.0
Properties,874700000.0,1274300000.0
Current Assets,1171800000.0,1281300000.0
Hedging Assets Current,1500000.0,
Assets Held For Sale Current,4500000.0,
Current Deferred Assets,52200000.0,
Current Deferred Taxes Assets,52200000.0,
Prepaid Assets,47800000.0,15200000.0
Inventory,732000000.0,839400000.0
Finished Goods,525000000.0,476000000.0
Work In Process,60900000.0,284600000.0
Raw Materials,146100000.0,78800000.0
Receivables,288100000.0,290700000.0
Other Receivables,21300000.0,22600000.0
Accounts Receivable,266800000.0,268100000.0
Cash Cash Equivalents And Short Term Investments,45700000.0,136000000.0
Cash And Cash Equivalents,45700000.0,136000000.0
Cash Equivalents,,40000000.0
Cash Financial,45700000.0,96000000.0
