,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,1615419.0,477366.0,135595.0,20702.0,6218.0,
Share Issued,1615419.0,477366.0,135595.0,20702.0,6218.0,
Net Debt,,,1625070.0,4261258.0,5624637.0,6562486.0
Total Debt,3985029.0,3399451.0,4233890.0,7125122.0,8837530.0,
Tangible Book Value,6734619.0,-2386269.0,-10338118.0,-14905280.0,-53829815.0,
Invested Capital,16526378.0,6837251.0,-1047676.0,-2680010.0,-20574591.0,
Working Capital,-621677.0,-7570126.0,-8107882.0,-11063858.0,-17149833.0,
Net Tangible Assets,7134619.0,20090.0,-1460759.0,-4783358.0,-23454815.0,
Capital Lease Obligations,2082297.0,1380062.0,2252929.0,2314683.0,2372486.0,
Common Stock Equity,14623646.0,4817862.0,-3028637.0,-7490449.0,-27039635.0,
Preferred Stock Equity,400000.0,2406359.0,8877359.0,10121922.0,30375000.0,
Total Capitalization,15683811.0,7968946.0,6800390.0,3672965.0,4421497.0,
Total Equity Gross Minority Interest,15023646.0,7224221.0,5848722.0,2631473.0,3335365.0,
Stockholders Equity,15023646.0,7224221.0,5848722.0,2631473.0,3335365.0,
Retained Earnings,-96924358.0,-91369403.0,-93092303.0,-90203241.0,-84873449.0,
Additional Paid In Capital,111547840.0,96187026.0,90063124.0,82712709.0,57833740.0,
Capital Stock,400164.0,2406598.0,8877901.0,10122005.0,30375074.0,
Common Stock,164.0,239.0,542.0,83.0,74.0,
Preferred Stock,400000.0,2406359.0,8877359.0,10121922.0,30375000.0,
Total Liabilities Net Minority Interest,9632501.0,12995903.0,12983476.0,16687766.0,28408745.0,
Total Non Current Liabilities Net Minority Interest,3276663.0,2664274.0,3738789.0,4224555.0,9689790.0,
Other Non Current Liabilities,505994.0,448474.0,,,,479768.0
Preferred Securities Outside Stock Equity,,0.0,0.0,0.0,3978922.0,7457000.0
Tradeand Other Payables Non Current,300000.0,300000.0,800000.0,1125000.0,2500000.0,
Non Current Deferred Liabilities,,0.0,,,,163115.0
Non Current Deferred Taxes Liabilities,,0.0,,,,163115.0
Long Term Debt And Capital Lease Obligation,2470669.0,1915800.0,2938789.0,3099555.0,3210868.0,
