,2026-03-31,2025-09-30,2025-08-31
Ordinary Shares Number,20041161.0,17469732.0,17469732.0
Share Issued,20041161.0,17469732.0,17469732.0
Net Debt,,136328.0,
Total Debt,,136328.0,
Tangible Book Value,139731661.0,-51015.0,3765.0
Invested Capital,139731661.0,85313.0,3765.0
Working Capital,908478.0,-153411.0,-21235.0
Net Tangible Assets,139731661.0,-51015.0,3765.0
Common Stock Equity,139731661.0,-51015.0,3765.0
Total Capitalization,139731661.0,-51015.0,3765.0
Total Equity Gross Minority Interest,139731661.0,-51015.0,3765.0
Stockholders Equity,139731661.0,-51015.0,3765.0
Retained Earnings,203755.0,-76015.0,-21235.0
Additional Paid In Capital,747686.0,24507.0,24507.0
Capital Stock,138780220.0,493.0,493.0
Common Stock,138780220.0,493.0,493.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,271997.0,203411.0,71235.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0
Current Liabilities,271997.0,203411.0,71235.0
Current Debt And Capital Lease Obligation,,136328.0,
Current Debt,,136328.0,
Other Current Borrowings,,136328.0,
Payables And Accrued Expenses,271997.0,67083.0,71235.0
Current Accrued Expenses,75000.0,67083.0,
Payables,196997.0,,71235.0
Dueto Related Parties Current,0.0,0.0,71235.0
Accounts Payable,196997.0,,
Total Assets,140003658.0,152396.0,75000.0
Total Non Current Assets,138823183.0,102396.0,25000.0
Other Non Current Assets,138779596.0,,
Non Current Prepaid Assets,43587.0,,
Non Current Deferred Assets,0.0,102396.0,25000.0
Current Assets,1180475.0,50000.0,50000.0
Prepaid Assets,190408.0,50000.0,50000.0
Cash Cash Equivalents And Short Term Investments,990067.0,,
Cash And Cash Equivalents,990067.0,,
Cash Financial,990067.0,,
