,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,60532500.0,60389893.0,43794087.0,43244930.0,43218873.0,
Share Issued,60532500.0,60389893.0,43794087.0,43244930.0,43218873.0,
Total Debt,33755000.0,29032000.0,5024000.0,5918000.0,6938000.0,
Tangible Book Value,195580000.0,232276000.0,151946000.0,184377000.0,224010000.0,
Invested Capital,220392000.0,257019000.0,151946000.0,184377000.0,224010000.0,
Working Capital,212052000.0,246466000.0,141054000.0,174538000.0,214359000.0,
Net Tangible Assets,195580000.0,232276000.0,151946000.0,184377000.0,224010000.0,
Capital Lease Obligations,8943000.0,4289000.0,5024000.0,5918000.0,6938000.0,
Common Stock Equity,195580000.0,232276000.0,151946000.0,184377000.0,224010000.0,
Total Capitalization,220392000.0,257019000.0,151946000.0,184377000.0,224010000.0,
Total Equity Gross Minority Interest,195580000.0,232276000.0,151946000.0,184377000.0,224010000.0,
Stockholders Equity,195580000.0,232276000.0,151946000.0,184377000.0,224010000.0,
Gains Losses Not Affecting Retained Earnings,-96000.0,97000.0,29000.0,-20000.0,-1000.0,
Other Equity Adjustments,-96000.0,97000.0,29000.0,-20000.0,-1000.0,
Retained Earnings,-464555000.0,-424827000.0,-387023000.0,-350236000.0,-308155000.0,
Additional Paid In Capital,660230000.0,657005000.0,538940000.0,534633000.0,532166000.0,
Capital Stock,1000.0,1000.0,0.0,0.0,0.0,
Common Stock,1000.0,1000.0,0.0,0.0,0.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,61444000.0,61550000.0,35210000.0,42131000.0,36645000.0,
Total Non Current Liabilities Net Minority Interest,31770000.0,25063000.0,1339000.0,2342000.0,3353000.0,
Preferred Securities Outside Stock Equity,,,,,,0.0
Long Term Debt And Capital Lease Obligation,31770000.0,25063000.0,1339000.0,2342000.0,3353000.0,
Long Term Capital Lease Obligation,6958000.0,320000.0,1339000.0,2342000.0,3353000.0,
Long Term Debt,24812000.0,24743000.0,,,,
Current Liabilities,29674000.0,36487000.0,33871000.0,39789000.0,33292000.0,
Current Debt And Capital Lease Obligation,1985000.0,3969000.0,3685000.0,3576000.0,3585000.0,
Current Capital Lease Obligation,1985000.0,3969000.0,3685000.0,3576000.0,3585000.0,
Pensionand Other Post Retirement Benefit Plans Current,3114000.0,9990000.0,6960000.0,4971000.0,3079000.0,
Payables And Accrued Expenses,24575000.0,22528000.0,23226000.0,31242000.0,26628000.0,
Current Accrued Expenses,12972000.0,17222000.0,20210000.0,21325000.0,18156000.0,
Payables,11603000.0,5306000.0,3016000.0,9917000.0,8472000.0,
Accounts Payable,11603000.0,5306000.0,3016000.0,9917000.0,8472000.0,
Total Assets,257024000.0,293826000.0,187156000.0,226508000.0,260655000.0,
Total Non Current Assets,15298000.0,10873000.0,12231000.0,12181000.0,13004000.0,
Other Non Current Assets,5565000.0,5454000.0,5909000.0,4604000.0,4201000.0,
Net PPE,9733000.0,5419000.0,6322000.0,7577000.0,8803000.0,
Accumulated Depreciation,-3873000.0,-3750000.0,-3583000.0,-4212000.0,-3934000.0,
Gross PPE,13606000.0,9169000.0,9905000.0,11789000.0,12737000.0,
Leases,936000.0,936000.0,937000.0,936000.0,936000.0,
Other Properties,11454000.0,6937000.0,7658000.0,9543000.0,10497000.0,
Machinery Furniture Equipment,1216000.0,1296000.0,1310000.0,1310000.0,1304000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,241726000.0,282953000.0,174925000.0,214327000.0,247651000.0,
Other Current Assets,5280000.0,3700000.0,3787000.0,2650000.0,5002000.0,
Cash Cash Equivalents And Short Term Investments,236446000.0,279253000.0,171138000.0,211677000.0,242649000.0,
Other Short Term Investments,204252000.0,155160000.0,136974000.0,158237000.0,185784000.0,
Cash And Cash Equivalents,32194000.0,124093000.0,34164000.0,53440000.0,56865000.0,
