,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,186601408.0,186844093.0,187166752.0,186912403.0,187593750.0,,
Share Issued,186601408.0,186844093.0,187166752.0,186912403.0,187593750.0,,
Net Debt,10767000000.0,10047000000.0,11383000000.0,11620000000.0,11735000000.0,,
Total Debt,11357000000.0,11116000000.0,11722000000.0,12102000000.0,12252000000.0,,
Tangible Book Value,-6650000000.0,-6884000000.0,-7910000000.0,-8355000000.0,-8654000000.0,,
Invested Capital,31037000000.0,30751000000.0,31254000000.0,31380000000.0,31383000000.0,,
Working Capital,293000000.0,1367000000.0,955000000.0,286000000.0,147000000.0,,
Net Tangible Assets,-6650000000.0,-6884000000.0,-7910000000.0,-8355000000.0,-8654000000.0,,
Common Stock Equity,19680000000.0,19635000000.0,19532000000.0,19278000000.0,19131000000.0,,
Total Capitalization,28871000000.0,30078000000.0,30529000000.0,30254000000.0,30108000000.0,,
Total Equity Gross Minority Interest,19680000000.0,19635000000.0,19532000000.0,19278000000.0,19130000000.0,,
Minority Interest,0.0,0.0,0.0,0.0,-1000000.0,,
Stockholders Equity,19680000000.0,19635000000.0,19532000000.0,19278000000.0,19131000000.0,,
Gains Losses Not Affecting Retained Earnings,98000000.0,119000000.0,22000000.0,31000000.0,-14000000.0,,
Other Equity Adjustments,98000000.0,119000000.0,22000000.0,31000000.0,-14000000.0,,
Retained Earnings,4421000000.0,4212000000.0,4171000000.0,3970000000.0,3787000000.0,,
Additional Paid In Capital,14974000000.0,15117000000.0,15152000000.0,15090000000.0,15170000000.0,,
Capital Stock,187000000.0,187000000.0,187000000.0,187000000.0,188000000.0,,
Common Stock,187000000.0,187000000.0,187000000.0,187000000.0,188000000.0,,
Preferred Stock,,,,,,0.0,
Total Liabilities Net Minority Interest,21700000000.0,21560000000.0,21482000000.0,21962000000.0,22118000000.0,,
Total Non Current Liabilities Net Minority Interest,13099000000.0,14334000000.0,14844000000.0,14640000000.0,14669000000.0,,
Other Non Current Liabilities,2683000000.0,2777000000.0,2808000000.0,2864000000.0,2850000000.0,,
Non Current Deferred Liabilities,1225000000.0,1114000000.0,1039000000.0,800000000.0,842000000.0,,
Non Current Deferred Taxes Liabilities,1225000000.0,1114000000.0,1039000000.0,800000000.0,842000000.0,,
Long Term Debt And Capital Lease Obligation,9191000000.0,10443000000.0,10997000000.0,10976000000.0,10977000000.0,,
Long Term Debt,9191000000.0,10443000000.0,10997000000.0,10976000000.0,10977000000.0,,
Current Liabilities,8601000000.0,7226000000.0,6638000000.0,7322000000.0,7449000000.0,,
Other Current Liabilities,1378000000.0,1348000000.0,1294000000.0,1402000000.0,1689000000.0,,
Current Deferred Liabilities,2736000000.0,2262000000.0,2231000000.0,2317000000.0,2124000000.0,,
Current Deferred Revenue,2736000000.0,2262000000.0,2231000000.0,2317000000.0,2124000000.0,,
Current Debt And Capital Lease Obligation,2166000000.0,673000000.0,725000000.0,1126000000.0,1275000000.0,,
Current Debt,2166000000.0,673000000.0,725000000.0,1126000000.0,1275000000.0,,
Other Current Borrowings,1816000000.0,673000000.0,,141000000.0,740000000.0,640000000.0,
Commercial Paper,350000000.0,0.0,725000000.0,985000000.0,535000000.0,,
Pensionand Other Post Retirement Benefit Plans Current,391000000.0,482000000.0,486000000.0,444000000.0,314000000.0,,
Payables And Accrued Expenses,1930000000.0,2461000000.0,1902000000.0,2033000000.0,2047000000.0,,
Payables,1930000000.0,2461000000.0,1902000000.0,2033000000.0,2047000000.0,,
Total Tax Payable,,,,,,29000000.0,35000000.0
Income Tax Payable,,,,,,29000000.0,35000000.0
Accounts Payable,1930000000.0,2461000000.0,1902000000.0,2033000000.0,2047000000.0,,
Total Assets,41380000000.0,41195000000.0,41014000000.0,41240000000.0,41248000000.0,,
Total Non Current Assets,32486000000.0,32602000000.0,33421000000.0,33632000000.0,33652000000.0,,
Other Non Current Assets,3427000000.0,3342000000.0,3131000000.0,3168000000.0,2984000000.0,,
Non Current Deferred Assets,71000000.0,76000000.0,87000000.0,89000000.0,128000000.0,,
Non Current Deferred Taxes Assets,71000000.0,76000000.0,87000000.0,89000000.0,128000000.0,,
Goodwill And Other Intangible Assets,26330000000.0,26519000000.0,27442000000.0,27633000000.0,27785000000.0,,
Other Intangible Assets,6331000000.0,6509000000.0,7072000000.0,7261000000.0,7448000000.0,,
Goodwill,19999000000.0,20010000000.0,20370000000.0,20372000000.0,20337000000.0,,
Net PPE,2658000000.0,2665000000.0,2761000000.0,2742000000.0,2755000000.0,,
Accumulated Depreciation,,-3201000000.0,,,,-2836000000.0,
Gross PPE,,5866000000.0,,,,5642000000.0,
Machinery Furniture Equipment,,4057000000.0,,,,3827000000.0,
Buildings And Improvements,,1669000000.0,,,,1633000000.0,
Land And Improvements,,140000000.0,,,,182000000.0,
Properties,,0.0,,,,0.0,
Current Assets,8894000000.0,8593000000.0,7593000000.0,7608000000.0,7596000000.0,,
Other Current Assets,702000000.0,431000000.0,477000000.0,481000000.0,478000000.0,,
Assets Held For Sale Current,926000000.0,884000000.0,0.0,0.0,0.0,,
Inventory,1234000000.0,1219000000.0,1291000000.0,1258000000.0,1252000000.0,,
Finished Goods,232000000.0,243000000.0,268000000.0,258000000.0,198000000.0,,
Work In Process,309000000.0,291000000.0,327000000.0,323000000.0,349000000.0,,
Raw Materials,693000000.0,685000000.0,696000000.0,677000000.0,705000000.0,,
