,2026-03-31,2025-12-31,2025-09-30,2025-03-31,2024-12-31
Ordinary Shares Number,34427559.0,34427559.0,17427559.0,7500000.0,7500000.0
Share Issued,34427559.0,34427559.0,17427559.0,7500000.0,7500000.0
Net Debt,,1322393.0,,24443.0,
Total Debt,561612.0,5711162.0,6172097.0,5850144.0,5457103.0
Tangible Book Value,13310635.0,11855993.0,6610261.0,362977.0,1227414.0
Invested Capital,13970150.0,15142522.0,9978963.0,2273488.0,2431062.0
Working Capital,13054793.0,10781347.0,5155361.0,-1771520.0,-1054241.0
Net Tangible Assets,13310635.0,11855993.0,6610261.0,362977.0,1227414.0
Capital Lease Obligations,203425.0,2747331.0,3147464.0,4326444.0,4672322.0
Common Stock Equity,13611963.0,12178691.0,6954330.0,749788.0,1646281.0
Total Capitalization,13661057.0,12419931.0,7226241.0,1171265.0,1821127.0
Total Equity Gross Minority Interest,13611963.0,12178691.0,6954330.0,749788.0,1646281.0
Stockholders Equity,13611963.0,12178691.0,6954330.0,749788.0,1646281.0
Other Equity Interest,-1427769.0,-2530508.0,,,
Gains Losses Not Affecting Retained Earnings,494080.0,303392.0,123851.0,1383.0,-9214.0
Other Equity Adjustments,494080.0,303392.0,123851.0,1383.0,-9214.0
Retained Earnings,-8139106.0,-8278951.0,-6683779.0,-4365856.0,-3288046.0
Additional Paid In Capital,22681315.0,22681315.0,13512515.0,5113511.0,4942791.0
Capital Stock,3443.0,3443.0,1743.0,750.0,750.0
Common Stock,3443.0,3443.0,1743.0,750.0,750.0
Total Liabilities Net Minority Interest,4168688.0,12121517.0,11680859.0,9189975.0,8190845.0
Total Non Current Liabilities Net Minority Interest,177819.0,1691885.0,1841730.0,2406042.0,2699254.0
Liabilities Heldfor Sale Non Current,0.0,,,,
Non Current Deferred Liabilities,4245.0,59606.0,61111.0,96703.0,104717.0
Non Current Deferred Taxes Liabilities,4245.0,59606.0,61111.0,96703.0,104717.0
Long Term Debt And Capital Lease Obligation,173574.0,1632279.0,1780619.0,2309339.0,2594537.0
Long Term Capital Lease Obligation,124480.0,1391039.0,1508708.0,1887862.0,2419691.0
Long Term Debt,49094.0,241240.0,271911.0,421477.0,174846.0
Current Liabilities,3990869.0,10429632.0,9839129.0,6783933.0,5491591.0
Current Deferred Liabilities,3847.0,50783.0,33530.0,42168.0,
Current Deferred Revenue,3847.0,50783.0,33530.0,42168.0,
Current Debt And Capital Lease Obligation,388038.0,4078883.0,4391478.0,3540805.0,2862566.0
Current Capital Lease Obligation,78945.0,1356292.0,1638756.0,2438582.0,2252631.0
Current Debt,309093.0,2722591.0,2752722.0,1102223.0,609935.0
Other Current Borrowings,269694.0,2422311.0,2404566.0,1102223.0,609935.0
Line Of Credit,39399.0,300280.0,348156.0,,
Current Provisions,239439.0,148996.0,198806.0,,
Payables And Accrued Expenses,3359545.0,6150970.0,5215315.0,3200960.0,2629025.0
Current Accrued Expenses,1605510.0,1501004.0,1419488.0,731598.0,629752.0
Interest Payable,,,,,199519.0
Payables,1754035.0,4649966.0,3795827.0,2469362.0,1999273.0
Other Payable,355558.0,708011.0,390237.0,716990.0,614749.0
Dueto Related Parties Current,,434770.0,402970.0,0.0,0.0
Dividends Payable,,,,0.0,0.0
Total Tax Payable,418328.0,407709.0,358607.0,106433.0,79825.0
Accounts Payable,980149.0,3099476.0,2644013.0,1645939.0,1304699.0
Total Assets,17780651.0,24300208.0,18635189.0,9939763.0,9837126.0
Total Non Current Assets,734989.0,3089229.0,3640699.0,4927350.0,5399776.0
Non Current Prepaid Assets,34394.0,98927.0,98327.0,269269.0,265480.0
Non Current Deferred Assets,,,,0.0,0.0
Non Current Deferred Taxes Assets,,,,0.0,0.0
Investments And Advances,,15741.0,15741.0,15741.0,15741.0
Other Investments,,15741.0,15741.0,15741.0,15741.0
Goodwill And Other Intangible Assets,301328.0,322698.0,344069.0,386811.0,418867.0
Other Intangible Assets,301328.0,322698.0,344069.0,386811.0,418867.0
Net PPE,399267.0,2651863.0,3182562.0,4255529.0,4699688.0
Accumulated Depreciation,-55331.0,-678696.0,-625606.0,-541370.0,-479675.0
Gross PPE,454598.0,3330559.0,3808168.0,4796899.0,5179363.0
Leases,140753.0,271238.0,268782.0,266194.0,184709.0
Other Properties,197384.0,2289061.0,2773169.0,3721536.0,4185615.0
Machinery Furniture Equipment,44643.0,375152.0,372362.0,353287.0,353157.0
Current Assets,17045662.0,21210979.0,14994490.0,5012413.0,4437350.0
Other Current Assets,126272.0,71518.0,80554.0,,
Assets Held For Sale Current,0.0,,,,
Inventory,22024.0,124336.0,131986.0,216489.0,10328.0
Receivables,15597060.0,19373687.0,10242314.0,3296667.0,3303608.0
Other Receivables,5414243.0,6862034.0,4997774.0,162757.0,80864.0
Duefrom Related Parties Current,,1075998.0,1146844.0,856570.0,682980.0
Notes Receivable,0.0,0.0,13873.0,,
Loans Receivable,8329194.0,7247163.0,639648.0,573546.0,686697.0
Accounts Receivable,1853623.0,4188492.0,3444175.0,1703794.0,1853067.0
Allowance For Doubtful Accounts Receivable,-171180.0,-171609.0,-171613.0,-62087.0,-56022.0
Gross Accounts Receivable,2024803.0,4360101.0,3615788.0,1765881.0,1909089.0
Cash Cash Equivalents And Short Term Investments,1300306.0,1641438.0,4539636.0,1499257.0,1123414.0
Cash And Cash Equivalents,1300306.0,1641438.0,4539636.0,1499257.0,1123414.0
Cash Financial,1300306.0,1641438.0,4539636.0,1499257.0,1123414.0
