,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,854916.0,450000.0,450000.0
Share Issued,854916.0,450000.0,450000.0
Net Debt,1272146.0,766700.0,13977.0
Total Debt,1572415.0,1080266.0,85567.0
Tangible Book Value,8559410.0,5353745.0,3793601.0
Invested Capital,9866840.0,6434011.0,3879168.0
Working Capital,6516532.0,4270715.0,1698318.0
Net Tangible Assets,8559410.0,5353745.0,3793601.0
Capital Lease Obligations,264985.0,,
Common Stock Equity,8559410.0,5353745.0,3793601.0
Total Capitalization,9866840.0,6434011.0,3879168.0
Total Equity Gross Minority Interest,8559410.0,5353745.0,3793601.0
Stockholders Equity,8559410.0,5353745.0,3793601.0
Gains Losses Not Affecting Retained Earnings,8198.0,-33883.0,-85541.0
Other Equity Adjustments,8198.0,-33883.0,-85541.0
Retained Earnings,3126955.0,3336442.0,3878142.0
Additional Paid In Capital,5422062.0,2050003.0,
Capital Stock,2195.0,1183.0,1000.0
Common Stock,2195.0,1183.0,1000.0
Total Liabilities Net Minority Interest,4803203.0,4001536.0,1572715.0
Total Non Current Liabilities Net Minority Interest,1566686.0,1080266.0,85567.0
Long Term Debt And Capital Lease Obligation,1566686.0,1080266.0,85567.0
Long Term Capital Lease Obligation,259256.0,,
Long Term Debt,1307430.0,1080266.0,85567.0
Current Liabilities,3236517.0,2921270.0,1487148.0
Current Deferred Liabilities,,,1612.0
Current Deferred Revenue,,,1612.0
Current Debt And Capital Lease Obligation,5729.0,,
Current Capital Lease Obligation,5729.0,,
Payables And Accrued Expenses,3230788.0,2921270.0,1485536.0
Current Accrued Expenses,105200.0,66254.0,14035.0
Payables,3125588.0,2855016.0,1471501.0
Other Payable,2431243.0,625052.0,223811.0
Dueto Related Parties Current,62200.0,1682884.0,63000.0
Total Tax Payable,632145.0,544080.0,384690.0
Accounts Payable,0.0,3000.0,800000.0
Total Assets,13362613.0,9355281.0,5366316.0
Total Non Current Assets,3609564.0,2163296.0,2180850.0
Other Non Current Assets,3313545.0,1537791.0,
Non Current Deferred Assets,32297.0,0.0,2172175.0
Non Current Deferred Taxes Assets,32297.0,,39872.0
Investments And Advances,0.0,625505.0,
Net PPE,263722.0,,8675.0
Accumulated Depreciation,,,-126749.0
Gross PPE,263722.0,,135424.0
Leases,,,10987.0
Other Properties,263722.0,,122404.0
Machinery Furniture Equipment,,,2033.0
Properties,,,0.0
Current Assets,9753049.0,7191985.0,3185466.0
Other Current Assets,23772.0,156511.0,688.0
Assets Held For Sale Current,0.0,0.0,
Prepaid Assets,2715378.0,1060078.0,424001.0
Receivables,4458487.0,3277638.0,2689187.0
Duefrom Related Parties Current,58816.0,58325.0,5936.0
Accounts Receivable,4399671.0,3219313.0,2683251.0
Allowance For Doubtful Accounts Receivable,-194363.0,-189313.0,-108280.0
Gross Accounts Receivable,4594034.0,3408626.0,2791531.0
Cash Cash Equivalents And Short Term Investments,2555412.0,2697758.0,71590.0
Other Short Term Investments,2520128.0,2384192.0,
Cash And Cash Equivalents,35284.0,313566.0,71590.0
