,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,51364520.0,51364520.0,51364520.0,49497334.0,49497334.0,
Share Issued,51364520.0,51364520.0,51364520.0,49497334.0,49497334.0,
Net Debt,52795000.0,47165000.0,43906000.0,42844000.0,9858000.0,
Total Debt,105883000.0,86604000.0,87905000.0,84011000.0,83978000.0,
Tangible Book Value,-97701000.0,-90466000.0,-86618000.0,-74759000.0,-69228000.0,
Invested Capital,75719000.0,64103000.0,67657000.0,74772000.0,81498000.0,
Working Capital,26316000.0,3875000.0,7060000.0,12576000.0,43173000.0,
Net Tangible Assets,-97701000.0,-90466000.0,-86618000.0,-74759000.0,-69228000.0,
Capital Lease Obligations,9935000.0,10407000.0,11985000.0,8356000.0,8448000.0,
Common Stock Equity,-20229000.0,-12094000.0,-8263000.0,-883000.0,5968000.0,
Total Capitalization,75719000.0,64103000.0,67657000.0,74772000.0,81336000.0,
Total Equity Gross Minority Interest,-20229000.0,-12094000.0,-8263000.0,-883000.0,5968000.0,
Stockholders Equity,-20229000.0,-12094000.0,-8263000.0,-883000.0,5968000.0,
Other Equity Interest,19897000.0,19335000.0,18642000.0,18195000.0,17515000.0,
Gains Losses Not Affecting Retained Earnings,-611000.0,-781000.0,-646000.0,-829000.0,-670000.0,
Foreign Currency Translation Adjustments,-611000.0,-781000.0,-646000.0,-829000.0,-670000.0,
Retained Earnings,-411901000.0,-403034000.0,-394106000.0,-386096000.0,-378724000.0,
Additional Paid In Capital,153177000.0,153177000.0,153177000.0,153177000.0,153177000.0,
Capital Stock,219209000.0,219209000.0,214670000.0,214670000.0,214670000.0,
Common Stock,219209000.0,219209000.0,214670000.0,214670000.0,214670000.0,
Total Liabilities Net Minority Interest,181060000.0,160047000.0,162542000.0,141516000.0,168865000.0,
Total Non Current Liabilities Net Minority Interest,139483000.0,110513000.0,111382000.0,100312000.0,125705000.0,
Other Non Current Liabilities,35346000.0,25807000.0,25438000.0,17771000.0,43281000.0,
Long Term Debt And Capital Lease Obligation,104137000.0,84706000.0,85944000.0,82541000.0,82424000.0,
Long Term Capital Lease Obligation,8189000.0,8509000.0,10024000.0,6886000.0,7056000.0,
Long Term Debt,95948000.0,76197000.0,75920000.0,75655000.0,75368000.0,
Current Liabilities,41577000.0,49534000.0,51160000.0,41204000.0,43160000.0,
Other Current Liabilities,27760000.0,30565000.0,39810000.0,32998000.0,34054000.0,
Current Debt And Capital Lease Obligation,1746000.0,1898000.0,1961000.0,1470000.0,1554000.0,
Current Capital Lease Obligation,1746000.0,1898000.0,1961000.0,1470000.0,1392000.0,
Current Debt,,,,,162000.0,324000.0
Other Current Borrowings,,,,,162000.0,324000.0
Payables And Accrued Expenses,12071000.0,17071000.0,9389000.0,6736000.0,7552000.0,
Current Accrued Expenses,,6741000.0,,,,6567000.0
Payables,12071000.0,10330000.0,9389000.0,6736000.0,7552000.0,
Accounts Payable,12071000.0,,,,,
Total Assets,160831000.0,147953000.0,154279000.0,140633000.0,174833000.0,
Total Non Current Assets,92938000.0,94544000.0,96059000.0,86853000.0,88500000.0,
Investments And Advances,1649000.0,1496000.0,944000.0,835000.0,777000.0,
Investmentin Financial Assets,1649000.0,1496000.0,944000.0,835000.0,777000.0,
Available For Sale Securities,1649000.0,1496000.0,944000.0,835000.0,777000.0,
Goodwill And Other Intangible Assets,77472000.0,78372000.0,78355000.0,73876000.0,75196000.0,
Other Intangible Assets,38177000.0,39424000.0,41301000.0,37950000.0,39270000.0,
Goodwill,39295000.0,38948000.0,37054000.0,35926000.0,35926000.0,
Net PPE,13817000.0,14676000.0,16760000.0,12142000.0,12527000.0,
Accumulated Depreciation,,-12925000.0,,,,-10269000.0
Gross PPE,13817000.0,27601000.0,16760000.0,12142000.0,12527000.0,
Leases,,2990000.0,,,,2627000.0
Other Properties,13817000.0,10799000.0,16760000.0,12142000.0,12527000.0,
Machinery Furniture Equipment,,1528000.0,,,,1725000.0
Buildings And Improvements,,12284000.0,,,,9307000.0
Properties,,0.0,,,,0.0
Current Assets,67893000.0,53409000.0,58220000.0,53780000.0,86333000.0,
Other Current Assets,3110000.0,,1887000.0,1604000.0,1793000.0,
Assets Held For Sale Current,0.0,940000.0,,,,0.0
Prepaid Assets,,1968000.0,,,,1696000.0
Inventory,7369000.0,6741000.0,6082000.0,3658000.0,3326000.0,
Inventories Adjustments Allowances,,-683000.0,,,,0.0
Other Inventories,,527000.0,,,,
Raw Materials,,6897000.0,,,,3869000.0
Receivables,14261000.0,14728000.0,18237000.0,15707000.0,15542000.0,
Taxes Receivable,,53000.0,,,,92000.0
Accounts Receivable,14261000.0,14675000.0,18237000.0,15707000.0,15542000.0,
Cash Cash Equivalents And Short Term Investments,43153000.0,29032000.0,32014000.0,32811000.0,65672000.0,
Cash And Cash Equivalents,43153000.0,29032000.0,32014000.0,32811000.0,65672000.0,
