,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,10941519.0,10941518.0,437884.0
Share Issued,10941519.0,10941518.0,437884.0
Total Debt,4377973.0,4356038.0,23035868.0
Tangible Book Value,330326540.0,317567995.0,144945752.0
Invested Capital,334594694.0,321758759.0,167772927.0
Working Capital,334605764.0,320525192.0,147132342.0
Net Tangible Assets,330326540.0,317567995.0,144945752.0
Capital Lease Obligations,109819.0,165274.0,208693.0
Common Stock Equity,330326540.0,317567995.0,144945752.0
Total Capitalization,330326540.0,317567995.0,144945752.0
Total Equity Gross Minority Interest,334771462.0,320760447.0,147392466.0
Minority Interest,4444922.0,3192452.0,2446714.0
Stockholders Equity,330326540.0,317567995.0,144945752.0
Gains Losses Not Affecting Retained Earnings,-13018605.0,-6972917.0,-5780920.0
Other Equity Adjustments,-13018605.0,-6972917.0,-5780920.0
Retained Earnings,11400970.0,-991786.0,-4670079.0
Additional Paid In Capital,331944174.0,250727098.0,150795208.0
Capital Stock,1.0,74805600.0,4601543.0
Common Stock,1.0,74805600.0,4601543.0
Total Liabilities Net Minority Interest,15576388.0,10053178.0,28882391.0
Total Non Current Liabilities Net Minority Interest,34273.0,53948.0,96899.0
Long Term Debt And Capital Lease Obligation,34273.0,53948.0,96899.0
Long Term Capital Lease Obligation,34273.0,53948.0,96899.0
Current Liabilities,15542115.0,9999230.0,28785492.0
Current Deferred Liabilities,1013133.0,340193.0,474336.0
Current Deferred Revenue,1013133.0,340193.0,474336.0
Current Debt And Capital Lease Obligation,4343700.0,4302090.0,22938969.0
Current Capital Lease Obligation,75546.0,111326.0,111794.0
Current Debt,4268154.0,4190764.0,22827175.0
Other Current Borrowings,,,20740480.0
Line Of Credit,4268154.0,4190764.0,2086695.0
Payables And Accrued Expenses,10185282.0,5356947.0,5372187.0
Payables,10185282.0,5356947.0,5372187.0
Other Payable,103694.0,1956968.0,1965665.0
Dueto Related Parties Current,,,0.0
Total Tax Payable,1830704.0,1139435.0,819682.0
Income Tax Payable,1765670.0,1059851.0,741724.0
Accounts Payable,8250884.0,2260544.0,2586840.0
Total Assets,350347850.0,330813625.0,176274857.0
Total Non Current Assets,199971.0,289203.0,357023.0
Non Current Prepaid Assets,0.0,2310.0,2300.0
Non Current Deferred Assets,63039.0,61513.0,61258.0
Non Current Deferred Taxes Assets,63039.0,61513.0,61258.0
Investments And Advances,13788.0,13559.0,13503.0
Long Term Equity Investment,13788.0,13559.0,13503.0
Investments In Other Ventures Under Equity Method,13788.0,,
Goodwill And Other Intangible Assets,,,0.0
Net PPE,123144.0,211821.0,279962.0
Accumulated Depreciation,-177868.0,-152068.0,-128518.0
Gross PPE,301012.0,363889.0,408480.0
Leases,,0.0,0.0
Other Properties,105052.0,172621.0,218005.0
Machinery Furniture Equipment,195960.0,191268.0,190475.0
Properties,,0.0,0.0
Current Assets,350147879.0,330524422.0,175917834.0
Prepaid Assets,6934785.0,7551294.0,7383882.0
Receivables,6445180.0,3598314.0,3613277.0
Other Receivables,243853.0,312974.0,314279.0
Accounts Receivable,6201327.0,3285340.0,3298998.0
Allowance For Doubtful Accounts Receivable,0.0,0.0,0.0
Gross Accounts Receivable,6201327.0,3285340.0,3298998.0
Cash Cash Equivalents And Short Term Investments,336767914.0,319374814.0,164920675.0
Other Short Term Investments,161918194.0,66060012.0,20808942.0
Cash And Cash Equivalents,174849720.0,253314802.0,144111733.0
