,2026-04-30,2026-01-31,2025-10-31,2025-01-31
Ordinary Shares Number,252571413.0,249174777.0,248591155.0,
Share Issued,252571413.0,249174777.0,248591155.0,
Total Debt,172450000.0,174355000.0,254283000.0,
Tangible Book Value,953316010.0,922795350.0,909590000.0,
Invested Capital,1361106000.0,1332856000.0,1425454000.0,
Working Capital,1009717000.0,986051000.0,1071261000.0,
Net Tangible Assets,953316010.0,922795350.0,909590000.0,
Capital Lease Obligations,47960000.0,49560000.0,47650000.0,
Common Stock Equity,1236616000.0,1208061000.0,1218821000.0,
Total Capitalization,1360790000.0,1332272000.0,1424125000.0,
Total Equity Gross Minority Interest,1236616000.0,1208061000.0,1218821000.0,
Stockholders Equity,1236616000.0,1208061000.0,1218821000.0,
Gains Losses Not Affecting Retained Earnings,-8857000.0,-3225000.0,-16511000.0,
Other Equity Adjustments,-8857000.0,-3225000.0,-16511000.0,
Retained Earnings,-2035649000.0,-2015143000.0,-1942382000.0,
Additional Paid In Capital,3281120000.0,3226427000.0,3177712000.0,
Capital Stock,2000.0,2000.0,2000.0,
Common Stock,2000.0,2000.0,2000.0,
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,477561000.0,500700000.0,573836000.0,
Total Non Current Liabilities Net Minority Interest,172513000.0,179764000.0,266737000.0,
Other Non Current Liabilities,13823000.0,821000.0,754000.0,
Preferred Securities Outside Stock Equity,,0.0,0.0,
Derivative Product Liabilities,,0.0,0.0,
Tradeand Other Payables Non Current,,7204000.0,6955000.0,
Non Current Deferred Liabilities,,1007000.0,8043000.0,
Non Current Deferred Revenue,,0.0,0.0,
Non Current Deferred Taxes Liabilities,,1007000.0,8043000.0,
Long Term Debt And Capital Lease Obligation,158690000.0,161798000.0,242780000.0,
Long Term Capital Lease Obligation,34516000.0,37587000.0,37476000.0,
Long Term Debt,124174000.0,124211000.0,205304000.0,
Long Term Provisions,,8934000.0,8205000.0,
Current Liabilities,305048000.0,320936000.0,307099000.0,
Other Current Liabilities,13193000.0,14470000.0,14912000.0,13719000.0
Current Deferred Liabilities,68948000.0,71544000.0,57585000.0,48416000.0
Current Deferred Revenue,68948000.0,71544000.0,57585000.0,48416000.0
Current Debt And Capital Lease Obligation,13760000.0,12557000.0,11503000.0,
Current Capital Lease Obligation,13444000.0,11973000.0,10174000.0,
Current Debt,316000.0,584000.0,1329000.0,
Other Current Borrowings,316000.0,584000.0,1329000.0,
Pensionand Other Post Retirement Benefit Plans Current,48244000.0,41636000.0,35716000.0,
Payables And Accrued Expenses,160903000.0,180729000.0,187383000.0,
Current Accrued Expenses,32439000.0,38259000.0,65897000.0,29996000.0
Interest Payable,752000.0,781000.0,1349000.0,
Payables,128464000.0,142470000.0,121486000.0,92623000.0
Other Payable,58120000.0,69137000.0,51981000.0,41665000.0
Total Tax Payable,7490000.0,7394000.0,7180000.0,
Income Tax Payable,,990000.0,2160000.0,
Accounts Payable,62854000.0,65939000.0,62325000.0,
Total Assets,1714177000.0,1708761000.0,1792657000.0,
Total Non Current Assets,399412000.0,401774001.0,414297000.0,
Other Non Current Assets,33413000.0,33556000.0,29741000.0,
Non Current Deferred Assets,31952000.0,29177000.0,22715000.0,
Goodwill And Other Intangible Assets,283299990.0,285265650.0,309231000.0,
Other Intangible Assets,45765990.0,43956650.0,76348000.0,
Goodwill,237534000.0,241309000.0,232883000.0,
Net PPE,50747010.0,53775351.0,52610000.0,
Accumulated Depreciation,-7775990.0,-8987649.0,-8704000.0,
Gross PPE,58523000.0,62763000.0,61314000.0,
Leases,2771000.0,2691000.0,2812000.0,
Construction In Progress,3476000.0,6798000.0,5602000.0,
Other Properties,41977000.0,43430000.0,41624000.0,
Machinery Furniture Equipment,10299000.0,9844000.0,11276000.0,
Properties,0.0,0.0,0.0,
Current Assets,1314765000.0,1306987000.0,1378360000.0,
Other Current Assets,53914000.0,16864000.0,21098000.0,8666000.0
Current Deferred Assets,10752000.0,9466000.0,7389000.0,
Restricted Cash,121678000.0,79647000.0,81469000.0,
Prepaid Assets,,34110000.0,35928000.0,23766000.0
Receivables,447845000.0,426390000.0,423396000.0,
Other Receivables,221422000.0,206182000.0,200323000.0,
Taxes Receivable,,4267000.0,3035000.0,
Accounts Receivable,226423000.0,215941000.0,220038000.0,
Cash Cash Equivalents And Short Term Investments,680576000.0,740510000.0,809080000.0,
Other Short Term Investments,162199000.0,156994000.0,,0.0
Cash And Cash Equivalents,518377000.0,583516000.0,809080000.0,
