,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Ordinary Shares Number,88085523.0,88085523.0,88085523.0,88085523.0,88086000.0
Share Issued,88085523.0,88085523.0,88085523.0,88085523.0,88086000.0
Net Debt,1430389000.0,1529209000.0,1407250000.0,1367752000.0,1350648000.0
Total Debt,1481650000.0,1610022000.0,1486880000.0,1447551000.0,1448486000.0
Tangible Book Value,1382064000.0,1436187000.0,1465813000.0,1476469000.0,1475113000.0
Invested Capital,2863714000.0,3046209000.0,2952693000.0,2924020000.0,2923599000.0
Net Tangible Assets,1382064000.0,1436187000.0,1465813000.0,1476469000.0,1475113000.0
Common Stock Equity,1382064000.0,1436187000.0,1465813000.0,1476469000.0,1475113000.0
Total Capitalization,2863714000.0,3046209000.0,2952693000.0,2924020000.0,2923599000.0
Total Equity Gross Minority Interest,1382064000.0,1436187000.0,1465813000.0,1476469000.0,1475113000.0
Stockholders Equity,1382064000.0,1436187000.0,1465813000.0,1476469000.0,1475113000.0
Retained Earnings,-968892000.0,-914769000.0,-885143000.0,-891749000.0,-893105000.0
Additional Paid In Capital,2350075000.0,2350075000.0,2350075000.0,2367337000.0,2367337000.0
Capital Stock,881000.0,881000.0,881000.0,881000.0,881000.0
Common Stock,881000.0,881000.0,881000.0,881000.0,881000.0
Total Liabilities Net Minority Interest,1512353000.0,1662064000.0,1537178000.0,1487743000.0,1604054000.0
Derivative Product Liabilities,5733000.0,4264000.0,7329000.0,16802000.0,19219000.0
Long Term Debt And Capital Lease Obligation,1481650000.0,1610022000.0,1486880000.0,1447551000.0,1448486000.0
Payables,22826000.0,45276000.0,41162000.0,22230000.0,132898000.0
Other Payable,12480000.0,33568000.0,29095000.0,9984000.0,118811000.0
Accounts Payable,10346000.0,11708000.0,12067000.0,12246000.0,14087000.0
Total Assets,2894417000.0,3098251000.0,3002991000.0,2964212000.0,3079167000.0
Investments And Advances,2774226000.0,2957265000.0,2856495000.0,2817287000.0,2892771000.0
Investmentin Financial Assets,2774226000.0,2957265000.0,2856495000.0,2817287000.0,2892771000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,2766367000.0,2949092000.0,2847782000.0,2809377000.0,2892771000.0
Receivables,59248000.0,49527000.0,55553000.0,50146000.0,66801000.0
Cash And Cash Equivalents,51261000.0,80813000.0,79630000.0,79799000.0,97838000.0
Cash Cash Equivalents And Federal Funds Sold,51261000.0,80813000.0,79630000.0,79799000.0,108208000.0
