,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,6937358.0,6937358.0,6920658.0,6912919.0,6896738.0,
Share Issued,6937358.0,6937358.0,6920658.0,6912919.0,6896738.0,
Total Debt,1636000.0,1784000.0,1850000.0,1991000.0,2131000.0,
Tangible Book Value,26304000.0,24745000.0,24291000.0,22289000.0,20700000.0,
Invested Capital,26304000.0,24745000.0,24291000.0,23134000.0,21584000.0,
Working Capital,22558000.0,21161000.0,21147000.0,19449000.0,17874000.0,
Net Tangible Assets,26304000.0,24745000.0,24291000.0,22289000.0,20700000.0,
Capital Lease Obligations,1636000.0,1784000.0,1850000.0,1991000.0,2131000.0,
Common Stock Equity,26304000.0,24745000.0,24291000.0,23134000.0,21584000.0,
Total Capitalization,26304000.0,24745000.0,24291000.0,23134000.0,21584000.0,
Total Equity Gross Minority Interest,26304000.0,24745000.0,24291000.0,23134000.0,21584000.0,
Stockholders Equity,26304000.0,24745000.0,24291000.0,23134000.0,21584000.0,
Retained Earnings,4066000.0,2725000.0,2483000.0,1458000.0,-52000.0,
Additional Paid In Capital,22231000.0,22013000.0,21801000.0,21669000.0,21629000.0,
Capital Stock,7000.0,7000.0,7000.0,7000.0,7000.0,
Common Stock,7000.0,7000.0,7000.0,7000.0,7000.0,
Total Liabilities Net Minority Interest,4556000.0,5466000.0,5765000.0,6046000.0,5893000.0,
Total Non Current Liabilities Net Minority Interest,964000.0,1116000.0,1205000.0,1346000.0,1487000.0,
Long Term Debt And Capital Lease Obligation,964000.0,1116000.0,1205000.0,1346000.0,1487000.0,
Long Term Capital Lease Obligation,964000.0,1116000.0,1205000.0,1346000.0,1487000.0,
Current Liabilities,3592000.0,4350000.0,4560000.0,4700000.0,4406000.0,
Current Deferred Liabilities,227000.0,243000.0,234000.0,285000.0,168000.0,
Current Deferred Revenue,227000.0,243000.0,234000.0,285000.0,168000.0,
Current Debt And Capital Lease Obligation,672000.0,668000.0,645000.0,645000.0,644000.0,
Current Capital Lease Obligation,672000.0,668000.0,645000.0,645000.0,644000.0,
Pensionand Other Post Retirement Benefit Plans Current,,,488000.0,,,
Current Provisions,56000.0,185000.0,132000.0,423000.0,226000.0,
Payables And Accrued Expenses,2637000.0,3254000.0,3061000.0,3347000.0,3368000.0,
Current Accrued Expenses,1729000.0,1767000.0,1326000.0,1569000.0,1640000.0,
Payables,908000.0,1487000.0,1735000.0,1778000.0,1728000.0,
Total Tax Payable,0.0,87000.0,210000.0,0.0,0.0,
Income Tax Payable,0.0,87000.0,87000.0,0.0,0.0,
Accounts Payable,908000.0,1400000.0,1525000.0,1778000.0,1728000.0,
Total Assets,30860000.0,30211000.0,30056000.0,29180000.0,27477000.0,
Total Non Current Assets,4710000.0,4700000.0,4349000.0,5031000.0,5197000.0,
Non Current Prepaid Assets,23000.0,23000.0,23000.0,23000.0,23000.0,
Non Current Deferred Assets,1098000.0,1244000.0,1199000.0,852000.0,752000.0,
Non Current Deferred Taxes Assets,1098000.0,1244000.0,1199000.0,852000.0,752000.0,
Goodwill And Other Intangible Assets,,,0.0,845000.0,884000.0,912000.0
Other Intangible Assets,,,,845000.0,884000.0,
Net PPE,3589000.0,3433000.0,3127000.0,3311000.0,3538000.0,
Accumulated Depreciation,,,-5111000.0,,,
Gross PPE,3589000.0,3433000.0,8238000.0,3311000.0,3538000.0,
Leases,,,448000.0,,,
Other Properties,2089000.0,1793000.0,,1475000.0,1568000.0,1520000.0
Machinery Furniture Equipment,1500000.0,1640000.0,7790000.0,1836000.0,1970000.0,
Properties,,,0.0,,,
Current Assets,26150000.0,25511000.0,25707000.0,24149000.0,22280000.0,
Prepaid Assets,578000.0,214000.0,285000.0,469000.0,406000.0,
Inventory,15636000.0,14966000.0,14322000.0,14514000.0,13922000.0,
Inventories Adjustments Allowances,-1965000.0,-1923000.0,-1923000.0,-1065000.0,-1065000.0,
Finished Goods,729000.0,1254000.0,788000.0,466000.0,707000.0,
Work In Process,6388000.0,5489000.0,6063000.0,7577000.0,6207000.0,
Raw Materials,10484000.0,10146000.0,9394000.0,7536000.0,8073000.0,
Receivables,5772000.0,4490000.0,4711000.0,4295000.0,4421000.0,
Other Receivables,115000.0,134000.0,142000.0,155000.0,183000.0,
Accounts Receivable,5657000.0,4356000.0,4569000.0,4140000.0,4238000.0,
Allowance For Doubtful Accounts Receivable,,,-5000.0,,,
Gross Accounts Receivable,,,4574000.0,,,
Cash Cash Equivalents And Short Term Investments,4164000.0,5841000.0,6389000.0,4871000.0,3531000.0,
Cash And Cash Equivalents,4164000.0,5841000.0,6389000.0,4871000.0,3531000.0,
