,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,5499307.0,5173883.0,5017768.0,5005795.0,4983555.0,
Share Issued,5499307.0,5173883.0,5017768.0,5005795.0,4983555.0,
Total Debt,22848000.0,27706000.0,5673000.0,7485000.0,7564000.0,
Tangible Book Value,88296000.0,104179000.0,294936000.0,311066000.0,314543000.0,
Invested Capital,107403000.0,128078000.0,296717000.0,314586000.0,318068000.0,
Working Capital,31506000.0,52343000.0,70848000.0,85643000.0,106937000.0,
Net Tangible Assets,88296000.0,104179000.0,294936000.0,311066000.0,314543000.0,
Capital Lease Obligations,3765000.0,3839000.0,3943000.0,4025000.0,4104000.0,
Common Stock Equity,88320000.0,104211000.0,294987000.0,311126000.0,314608000.0,
Total Capitalization,95974000.0,108597000.0,294987000.0,312856000.0,316338000.0,
Total Equity Gross Minority Interest,88320000.0,104211000.0,294987000.0,311126000.0,314608000.0,
Stockholders Equity,88320000.0,104211000.0,294987000.0,311126000.0,314608000.0,
Gains Losses Not Affecting Retained Earnings,-10887000.0,-10357000.0,-11584000.0,-9386000.0,-16314000.0,
Other Equity Adjustments,-10887000.0,-10357000.0,-11584000.0,-9386000.0,-16314000.0,
Retained Earnings,-305475000.0,-287825000.0,-93697000.0,-77315000.0,-64568000.0,
Additional Paid In Capital,404667000.0,402378000.0,400253000.0,397812000.0,395475000.0,
Capital Stock,15000.0,15000.0,15000.0,15000.0,15000.0,
Common Stock,15000.0,15000.0,15000.0,15000.0,15000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,46755000.0,53449000.0,32358000.0,37251000.0,34369000.0,
Total Non Current Liabilities Net Minority Interest,27731000.0,24916000.0,19071000.0,21310000.0,21797000.0,
Other Non Current Liabilities,16539000.0,16830000.0,14941000.0,15210000.0,14509000.0,
Derivative Product Liabilities,89000.0,167000.0,518000.0,681000.0,1788000.0,
Long Term Debt And Capital Lease Obligation,11103000.0,7919000.0,3612000.0,5419000.0,5500000.0,
Long Term Capital Lease Obligation,3449000.0,3533000.0,3612000.0,3689000.0,3770000.0,
Long Term Debt,7654000.0,4386000.0,,1730000.0,1730000.0,1730000.0
Current Liabilities,19024000.0,28533000.0,13287000.0,15941000.0,12572000.0,
Other Current Liabilities,1231000.0,231000.0,387000.0,441000.0,410000.0,
Current Debt And Capital Lease Obligation,11745000.0,19787000.0,2061000.0,2066000.0,2064000.0,
Current Capital Lease Obligation,316000.0,306000.0,331000.0,336000.0,334000.0,
Current Debt,11429000.0,19481000.0,1730000.0,1730000.0,1730000.0,
Other Current Borrowings,11429000.0,19481000.0,1730000.0,1730000.0,1730000.0,
Payables And Accrued Expenses,6048000.0,8515000.0,10839000.0,13434000.0,10098000.0,
Current Accrued Expenses,4717000.0,4947000.0,8917000.0,11351000.0,6922000.0,
Payables,1331000.0,3568000.0,1922000.0,2083000.0,3176000.0,
Accounts Payable,1331000.0,3568000.0,1922000.0,2083000.0,3176000.0,
Total Assets,135075000.0,157660000.0,327345000.0,348377000.0,348977000.0,
Total Non Current Assets,84545000.0,76784000.0,243210000.0,246793000.0,229468000.0,
Other Non Current Assets,1715000.0,751000.0,13735000.0,13812000.0,13835000.0,
Non Current Deferred Assets,,0.0,410000.0,496000.0,563000.0,621000.0
Non Current Deferred Taxes Assets,,0.0,410000.0,496000.0,563000.0,621000.0
Goodwill And Other Intangible Assets,24000.0,32000.0,51000.0,60000.0,65000.0,
Other Intangible Assets,24000.0,32000.0,51000.0,60000.0,65000.0,
Net PPE,82806000.0,76001000.0,229014000.0,232425000.0,215005000.0,
Accumulated Depreciation,-29406000.0,-28654000.0,-25954000.0,-23475000.0,-20056000.0,
Gross PPE,112212000.0,104655000.0,254968000.0,255900000.0,235061000.0,
Leases,4766000.0,4766000.0,4766000.0,4767000.0,4765000.0,
Construction In Progress,47939000.0,44070000.0,61270000.0,63131000.0,50453000.0,
Other Properties,15354000.0,10935000.0,6983000.0,6984000.0,6944000.0,
Machinery Furniture Equipment,31037000.0,31547000.0,121505000.0,119534000.0,114296000.0,
Land And Improvements,13116000.0,13337000.0,60444000.0,61484000.0,58603000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,50530000.0,80876000.0,84135000.0,101584000.0,119509000.0,
Other Current Assets,1126000.0,2448000.0,2045000.0,1833000.0,2087000.0,
Assets Held For Sale Current,9125000.0,9126000.0,9125000.0,9114000.0,11282000.0,
Inventory,682000.0,684000.0,635000.0,687000.0,866000.0,
Finished Goods,49000.0,49000.0,,,,827000.0
Raw Materials,633000.0,635000.0,635000.0,687000.0,866000.0,
Receivables,6949000.0,15150000.0,17990000.0,20549000.0,22226000.0,
Other Receivables,1587000.0,2101000.0,2456000.0,2661000.0,3106000.0,
Accounts Receivable,5362000.0,13049000.0,15534000.0,17888000.0,19120000.0,
Allowance For Doubtful Accounts Receivable,-5448000.0,-828000.0,-520000.0,-1269000.0,-1230000.0,
Gross Accounts Receivable,10810000.0,13877000.0,16054000.0,19157000.0,20350000.0,
Cash Cash Equivalents And Short Term Investments,32648000.0,53468000.0,54340000.0,69401000.0,83048000.0,
Other Short Term Investments,13457000.0,20545000.0,20279000.0,34106000.0,39213000.0,
Cash And Cash Equivalents,19191000.0,32923000.0,34061000.0,35295000.0,43835000.0,
