,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,2380023.0,1232051.0,556419.0,437185.0,1232051.0,
Share Issued,2380023.0,1232051.0,556419.0,437185.0,1232051.0,
Net Debt,12162000.0,13037000.0,18062000.0,10288111.0,50229000.0,
Total Debt,12537000.0,14815000.0,21071000.0,10288111.0,50248000.0,
Tangible Book Value,-28198000.0,-26658000.0,-33960000.0,-21179705.0,-121916000.0,
Invested Capital,-15661000.0,-11843000.0,-12889000.0,-10891594.0,-71668000.0,
Working Capital,-28358000.0,-18494000.0,-19345000.0,-15492554.0,-59900000.0,
Net Tangible Assets,-28198000.0,-26658000.0,-33960000.0,-21179705.0,-121916000.0,
Common Stock Equity,-28198000.0,-26658000.0,-33960000.0,-21179705.0,-121916000.0,
Total Capitalization,-28198000.0,-18781000.0,-19601000.0,-21179705.0,-121916000.0,
Total Equity Gross Minority Interest,-28198000.0,-26658000.0,-33960000.0,-21179705.0,-121916000.0,
Stockholders Equity,-28198000.0,-26658000.0,-33960000.0,-21179705.0,-121916000.0,
Retained Earnings,-164237000.0,-160781000.0,-152214000.0,-22510739.0,-127674000.0,
Additional Paid In Capital,136039000.0,134123000.0,118250000.0,,5758000.0,5753000.0
Capital Stock,0.0,0.0,4000.0,1331034.0,0.0,
Common Stock,0.0,0.0,4000.0,1331034.0,0.0,
Preferred Stock,0.0,,0.0,0.0,,
Total Liabilities Net Minority Interest,29060000.0,30433000.0,38210000.0,23142121.0,125155000.0,
Total Non Current Liabilities Net Minority Interest,40000.0,8175000.0,14670000.0,6961700.0,65149000.0,
Preferred Securities Outside Stock Equity,,0.0,0.0,,65149000.0,65149000.0
Derivative Product Liabilities,40000.0,298000.0,311000.0,6961700.0,,0.0
Long Term Debt And Capital Lease Obligation,,7877000.0,14359000.0,,,
Long Term Debt,,7877000.0,14359000.0,,,
Current Liabilities,29020000.0,22258000.0,23540000.0,16180421.0,60006000.0,
Other Current Liabilities,,,,193878.0,,
Current Deferred Liabilities,,,,1299040.0,,
Current Deferred Revenue,,,,1299040.0,,
Current Debt And Capital Lease Obligation,12537000.0,6938000.0,6712000.0,10288111.0,50248000.0,
Current Debt,12537000.0,6938000.0,6712000.0,10288111.0,50248000.0,
Other Current Borrowings,11827000.0,5592000.0,5667000.0,10288111.0,49323000.0,
Current Notes Payable,710000.0,1346000.0,1045000.0,,925000.0,910000.0
Pensionand Other Post Retirement Benefit Plans Current,4151000.0,4066000.0,4291000.0,,3851000.0,3472000.0
Payables And Accrued Expenses,12332000.0,11254000.0,12537000.0,4399392.0,5907000.0,
Current Accrued Expenses,2029000.0,1915000.0,3557000.0,,253000.0,496000.0
Payables,10303000.0,9339000.0,8980000.0,4399392.0,5654000.0,
Dueto Related Parties Current,41000.0,41000.0,41000.0,702192.0,,0.0
Total Tax Payable,1953000.0,1953000.0,1957000.0,1952662.0,,0.0
Accounts Payable,8309000.0,7345000.0,6982000.0,1744538.0,5654000.0,
Total Assets,862000.0,3775000.0,4250000.0,1962416.0,3239000.0,
Total Non Current Assets,200000.0,11000.0,55000.0,1274549.0,3133000.0,
Other Non Current Assets,41000.0,3000.0,55000.0,1274549.0,55000.0,
Non Current Deferred Assets,,0.0,0.0,,3078000.0,2757000.0
Net PPE,159000.0,8000.0,,,,0.0
Gross PPE,159000.0,,,,,0.0
Other Properties,159000.0,,,,,
Current Assets,662000.0,3764000.0,4195000.0,687867.0,106000.0,
Other Current Assets,,1445000.0,,,,
Restricted Cash,,,,662763.0,,
Prepaid Assets,287000.0,541000.0,1186000.0,25104.0,87000.0,
Receivables,,,,,0.0,0.0
Cash Cash Equivalents And Short Term Investments,375000.0,1778000.0,3009000.0,0.0,19000.0,
Cash And Cash Equivalents,375000.0,1778000.0,3009000.0,0.0,19000.0,
Cash Financial,375000.0,1778000.0,3009000.0,0.0,19000.0,
