,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Ordinary Shares Number,65423863.0,65210590.0,64959454.0,54737043.0,54493142.0
Share Issued,65423863.0,65210590.0,64959454.0,54737043.0,54493142.0
Total Debt,738891.0,776798.0,578657.0,634150.0,740978.0
Tangible Book Value,236332394.0,271274334.0,312240640.0,184335892.0,225338943.0
Invested Capital,236332394.0,271274334.0,312240640.0,184335892.0,225338943.0
Working Capital,234760101.0,269564146.0,310972403.0,183172018.0,224002191.0
Net Tangible Assets,236332394.0,271274334.0,312240640.0,184335892.0,225338943.0
Capital Lease Obligations,738891.0,776798.0,578657.0,634150.0,740978.0
Common Stock Equity,236332394.0,271274334.0,312240640.0,184335892.0,225338943.0
Total Capitalization,236332394.0,271274334.0,312240640.0,184335892.0,225338943.0
Total Equity Gross Minority Interest,236332394.0,271274334.0,312240640.0,184335892.0,225338943.0
Stockholders Equity,236332394.0,271274334.0,312240640.0,184335892.0,225338943.0
Gains Losses Not Affecting Retained Earnings,52727688.0,50495969.0,47307414.0,44037009.0,43081160.0
Other Equity Adjustments,52897007.0,50766138.0,47569667.0,44289200.0,43072189.0
Foreign Currency Translation Adjustments,-169319.0,-270169.0,-262253.0,-252191.0,8971.0
Retained Earnings,-619536888.0,-579596307.0,-532376121.0,-494944426.0,-448705050.0
Additional Paid In Capital,795290730.0,792549401.0,789514213.0,628674864.0,624423656.0
Capital Stock,7850864.0,7825271.0,7795134.0,6568445.0,6539177.0
Common Stock,7850864.0,7825271.0,7795134.0,6568445.0,6539177.0
Total Liabilities Net Minority Interest,23455647.0,30180665.0,26655561.0,25474434.0,22725098.0
Total Non Current Liabilities Net Minority Interest,532580.0,576585.0,441040.0,472606.0,546379.0
Long Term Debt And Capital Lease Obligation,532580.0,576585.0,441040.0,472606.0,546379.0
Long Term Capital Lease Obligation,532580.0,576585.0,441040.0,472606.0,546379.0
Current Liabilities,22923067.0,29604080.0,26214521.0,25001828.0,22178719.0
Current Debt And Capital Lease Obligation,206311.0,200213.0,137617.0,161544.0,194599.0
Current Capital Lease Obligation,206311.0,200213.0,137617.0,161544.0,194599.0
Pensionand Other Post Retirement Benefit Plans Current,6962451.0,11432445.0,7932250.0,6387541.0,4722070.0
Payables And Accrued Expenses,15754305.0,17971422.0,18144654.0,18452743.0,17262050.0
Current Accrued Expenses,12083656.0,11916027.0,14747099.0,13012816.0,12442067.0
Payables,3670649.0,6055395.0,3397555.0,5439927.0,4819983.0
Total Tax Payable,960809.0,941209.0,849508.0,580678.0,594037.0
Accounts Payable,2709840.0,5114186.0,2548047.0,4859249.0,4225946.0
Total Assets,259788041.0,301454999.0,338896201.0,209810326.0,248064041.0
Total Non Current Assets,2104873.0,2286773.0,1709277.0,1636480.0,1883131.0
Non Current Deferred Assets,747532.0,887352.0,457857.0,297873.0,372321.0
Non Current Deferred Taxes Assets,747532.0,887352.0,457857.0,297873.0,372321.0
Net PPE,1357341.0,1399421.0,1251420.0,1338607.0,1510810.0
Accumulated Depreciation,-460654.0,-409286.0,-360051.0,-311509.0,-263471.0
Gross PPE,1817995.0,1808707.0,1611471.0,1650116.0,1774281.0
Other Properties,1103853.0,1808707.0,1050217.0,1650116.0,1774281.0
Buildings And Improvements,714142.0,,561254.0,,
Properties,0.0,,0.0,,
Current Assets,257683168.0,299168226.0,337186924.0,208173846.0,246180910.0
Prepaid Assets,5749856.0,2938215.0,4964146.0,6004953.0,7041689.0
Receivables,4975314.0,4551123.0,2937149.0,2597208.0,2643284.0
Taxes Receivable,4975314.0,4551123.0,2937149.0,2597208.0,2643284.0
Cash Cash Equivalents And Short Term Investments,246957998.0,291678888.0,329285629.0,199571685.0,236495937.0
Cash And Cash Equivalents,246957998.0,291678888.0,329285629.0,199571685.0,236495937.0
