,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,56900000.0,56500000.0,56224642.0,56197770.0,56200000.0,
Share Issued,56900000.0,56500000.0,56224642.0,56197770.0,56200000.0,
Net Debt,1809000000.0,1401500000.0,1399100000.0,1502500000.0,1764000000.0,
Total Debt,2205600000.0,1664700000.0,1855700000.0,1952700000.0,2180600000.0,
Tangible Book Value,-44600000.0,28400000.0,274800000.0,304300000.0,293000000.0,
Invested Capital,2841400000.0,2367900000.0,2884100000.0,3011900000.0,3282100000.0,
Working Capital,456100000.0,-36700000.0,55700000.0,109000000.0,282200000.0,
Net Tangible Assets,-44600000.0,28400000.0,274800000.0,304300000.0,293000000.0,
Capital Lease Obligations,114600000.0,125200000.0,121100000.0,125900000.0,124900000.0,
Common Stock Equity,750400000.0,828400000.0,1149500000.0,1185100000.0,1226400000.0,
Total Capitalization,2806600000.0,2333100000.0,2449300000.0,2577400000.0,2847800000.0,
Total Equity Gross Minority Interest,755100000.0,832900000.0,1153900000.0,1189400000.0,1230600000.0,
Minority Interest,4700000.0,4500000.0,4400000.0,4300000.0,4200000.0,
Stockholders Equity,750400000.0,828400000.0,1149500000.0,1185100000.0,1226400000.0,
Gains Losses Not Affecting Retained Earnings,-38700000.0,-32100000.0,-40700000.0,-43700000.0,-98200000.0,
Other Equity Adjustments,-38700000.0,-32100000.0,-40700000.0,-43700000.0,-98200000.0,
Retained Earnings,-560300000.0,-469000000.0,-127300000.0,-71700000.0,45200000.0,
Additional Paid In Capital,1348800000.0,1328900000.0,1316900000.0,1299900000.0,1278800000.0,
Capital Stock,600000.0,600000.0,600000.0,600000.0,600000.0,
Common Stock,600000.0,600000.0,600000.0,600000.0,600000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,4486400000.0,4060800000.0,4151500000.0,4198600000.0,4219800000.0,
Total Non Current Liabilities Net Minority Interest,2352500000.0,1817500000.0,1604000000.0,1694700000.0,1908300000.0,
Other Non Current Liabilities,175400000.0,181800000.0,179600000.0,175100000.0,170500000.0,
Tradeand Other Payables Non Current,17800000.0,19900000.0,19100000.0,19600000.0,9200000.0,
Non Current Deferred Liabilities,13000000.0,14000000.0,13000000.0,11000000.0,10700000.0,
Non Current Deferred Taxes Liabilities,7200000.0,7300000.0,6500000.0,6500000.0,6200000.0,
Long Term Debt And Capital Lease Obligation,2146300000.0,1601800000.0,1392300000.0,1489000000.0,1717900000.0,
Long Term Capital Lease Obligation,90100000.0,97100000.0,92500000.0,96700000.0,96500000.0,
Long Term Debt,2056200000.0,1504700000.0,1299800000.0,1392300000.0,1621400000.0,
