,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,63033249.0,62529408.0,62165900.0,54865673.0,54698479.0,,
Share Issued,63033249.0,62529408.0,62165900.0,54865673.0,54698479.0,,
Total Debt,63322000.0,63393000.0,66155000.0,66697000.0,66196000.0,,
Tangible Book Value,54542000.0,100756000.0,129275000.0,-104947000.0,-61657000.0,,
Invested Capital,199285000.0,248600000.0,280626000.0,47839000.0,85278000.0,,
Working Capital,556547000.0,593067000.0,615561000.0,367644000.0,399111000.0,,
Net Tangible Assets,54542000.0,100756000.0,129275000.0,-104947000.0,-61657000.0,,
Capital Lease Obligations,13380000.0,13694000.0,14275000.0,14855000.0,14604000.0,,
Common Stock Equity,149343000.0,198901000.0,228746000.0,-4003000.0,33686000.0,,
Total Capitalization,199285000.0,248600000.0,280626000.0,47839000.0,85278000.0,,
Total Equity Gross Minority Interest,149343000.0,198901000.0,228746000.0,-4003000.0,33686000.0,,
Stockholders Equity,149343000.0,198901000.0,228746000.0,-4003000.0,33686000.0,,
Gains Losses Not Affecting Retained Earnings,-59885000.0,-58222000.0,-58745000.0,-58903000.0,-53805000.0,,
Other Equity Adjustments,-59885000.0,-58222000.0,-58745000.0,-58903000.0,-53805000.0,,
Retained Earnings,-1382471000.0,-1328936000.0,-1291850000.0,-1211321000.0,-1173602000.0,,
Additional Paid In Capital,1587971000.0,1582371000.0,1575663000.0,1262971000.0,1257853000.0,,
Capital Stock,3728000.0,3688000.0,3678000.0,3250000.0,3240000.0,,
Common Stock,3728000.0,3688000.0,3678000.0,3250000.0,3240000.0,,
Total Liabilities Net Minority Interest,629363000.0,626007000.0,659636000.0,588893000.0,571717000.0,,
Total Non Current Liabilities Net Minority Interest,570166000.0,563088000.0,559004000.0,547964000.0,535407000.0,,
Other Non Current Liabilities,502040000.0,495590000.0,488805000.0,477213000.0,465571000.0,,
Non Current Deferred Liabilities,7796000.0,7967000.0,7958000.0,7963000.0,7338000.0,,
Non Current Deferred Taxes Liabilities,7796000.0,7967000.0,7958000.0,7963000.0,7338000.0,,
Long Term Debt And Capital Lease Obligation,60330000.0,59531000.0,62241000.0,62788000.0,62498000.0,,
Long Term Capital Lease Obligation,10388000.0,9832000.0,10361000.0,10946000.0,10906000.0,,
Long Term Debt,49942000.0,49699000.0,51880000.0,51842000.0,51592000.0,,
Current Liabilities,59197000.0,62919000.0,100632000.0,40929000.0,36310000.0,,
Other Current Liabilities,18187000.0,23456000.0,39202000.0,9316000.0,4829000.0,,
Current Debt And Capital Lease Obligation,2992000.0,3862000.0,3914000.0,3909000.0,3698000.0,,
Current Capital Lease Obligation,2992000.0,3862000.0,3914000.0,3909000.0,3698000.0,,
