,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,19615326.0,19541364.0,19536055.0,19527170.0,19517826.0,
Share Issued,19615326.0,19541364.0,19536055.0,19527170.0,19517826.0,
Net Debt,,286028000.0,,,,
Total Debt,397992000.0,538370000.0,408833000.0,405335000.0,406831000.0,
Tangible Book Value,1092871000.0,1061777000.0,1044004000.0,1019590000.0,993573000.0,
Invested Capital,1499887000.0,1608293000.0,1459520000.0,1430106000.0,1404089000.0,
Net Tangible Assets,1092871000.0,1061777000.0,1044004000.0,1019590000.0,993573000.0,
Capital Lease Obligations,31492000.0,32370000.0,33833000.0,35335000.0,36831000.0,
Common Stock Equity,1133387000.0,1102293000.0,1084520000.0,1060106000.0,1034089000.0,
Total Capitalization,1499887000.0,1608293000.0,1459520000.0,1430106000.0,1404089000.0,
Total Equity Gross Minority Interest,1133387000.0,1102293000.0,1084520000.0,1060106000.0,1034089000.0,
Stockholders Equity,1133387000.0,1102293000.0,1084520000.0,1060106000.0,1034089000.0,
Gains Losses Not Affecting Retained Earnings,-6934000.0,-4402000.0,-7100000.0,-9561000.0,-11665000.0,
Other Equity Adjustments,-6934000.0,-4402000.0,-7100000.0,-9561000.0,-11665000.0,
Retained Earnings,976258000.0,945399000.0,932042000.0,911337000.0,889687000.0,
Additional Paid In Capital,159457000.0,156695000.0,154978000.0,153733000.0,151473000.0,
Capital Stock,4606000.0,4601000.0,4600000.0,4597000.0,4594000.0,
Common Stock,4606000.0,4601000.0,4600000.0,4597000.0,4594000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,6119892000.0,5939768000.0,5930399000.0,5910811000.0,6041466000.0,
Long Term Debt And Capital Lease Obligation,397992000.0,538370000.0,408833000.0,405335000.0,406831000.0,
Long Term Capital Lease Obligation,31492000.0,32370000.0,33833000.0,35335000.0,36831000.0,
Long Term Debt,366500000.0,506000000.0,375000000.0,370000000.0,370000000.0,
Total Assets,7253279000.0,7042061000.0,7014919000.0,6970917000.0,7075555000.0,
Investments And Advances,886641000.0,890582000.0,849226000.0,711906000.0,615663000.0,
Held To Maturity Securities,4775000.0,4944000.0,5110000.0,5434000.0,5612000.0,
Available For Sale Securities,168699000.0,214438000.0,258963000.0,211719000.0,228216000.0,
Goodwill And Other Intangible Assets,40516000.0,40516000.0,40516000.0,40516000.0,40516000.0,
Goodwill,40516000.0,40516000.0,40516000.0,40516000.0,40516000.0,
Net PPE,71286000.0,67316000.0,70688000.0,70978000.0,67853000.0,
Accumulated Depreciation,,-92454000.0,,,,-87339000.0
Gross PPE,71286000.0,159770000.0,70688000.0,70978000.0,67853000.0,
Leases,,27768000.0,,,,25824000.0
Construction In Progress,,1099000.0,,,,81000.0
Other Properties,71286000.0,31330000.0,70688000.0,70978000.0,67853000.0,
Machinery Furniture Equipment,,62703000.0,,,,55943000.0
Buildings And Improvements,,32292000.0,,,,33222000.0
Land And Improvements,,4578000.0,,,,4578000.0
Receivables,20086000.0,19805000.0,95575000.0,95564000.0,92105000.0,
Other Receivables,20086000.0,19805000.0,95575000.0,95564000.0,92105000.0,
Other Short Term Investments,713167000.0,671200000.0,585153000.0,494753000.0,381835000.0,
Cash And Cash Equivalents,599105000.0,219972000.0,484238000.0,484808000.0,793020000.0,
Cash Cash Equivalents And Federal Funds Sold,599105000.0,219972000.0,484238000.0,484808000.0,793020000.0,
