,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,210735690.0,210329618.0,210325070.0,210323273.0,210318222.0,
Share Issued,210735690.0,210329618.0,210325070.0,210323273.0,210318222.0,
Net Debt,1459000000.0,1433000000.0,1576000000.0,1576000000.0,1579000000.0,
Total Debt,1633000000.0,1684000000.0,1738000000.0,1737000000.0,1740000000.0,
Tangible Book Value,-567000000.0,-585000000.0,-666000000.0,-705000000.0,-738000000.0,
Invested Capital,3795000000.0,3833000000.0,3809000000.0,3781000000.0,3759000000.0,
Working Capital,489000000.0,539000000.0,525000000.0,488000000.0,466000000.0,
Net Tangible Assets,-567000000.0,-585000000.0,-666000000.0,-705000000.0,-738000000.0,
Capital Lease Obligations,103000000.0,104000000.0,109000000.0,104000000.0,103000000.0,
Common Stock Equity,2265000000.0,2253000000.0,2180000000.0,2148000000.0,2122000000.0,
Total Capitalization,3795000000.0,3833000000.0,3793000000.0,3765000000.0,3743000000.0,
Total Equity Gross Minority Interest,2265000000.0,2253000000.0,2180000000.0,2148000000.0,2122000000.0,
Stockholders Equity,2265000000.0,2253000000.0,2180000000.0,2148000000.0,2122000000.0,
Gains Losses Not Affecting Retained Earnings,22000000.0,20000000.0,18000000.0,24000000.0,29000000.0,
Other Equity Adjustments,22000000.0,20000000.0,18000000.0,24000000.0,29000000.0,
Retained Earnings,813000000.0,802000000.0,733000000.0,702000000.0,676000000.0,
Additional Paid In Capital,1430000000.0,1431000000.0,1429000000.0,1422000000.0,1417000000.0,
Capital Stock,0.0,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,2665000000.0,2683000000.0,2716000000.0,2713000000.0,2717000000.0,
Total Non Current Liabilities Net Minority Interest,2049000000.0,2106000000.0,2157000000.0,2138000000.0,2133000000.0,
Other Non Current Liabilities,76000000.0,82000000.0,94000000.0,90000000.0,84000000.0,
Employee Benefits,13000000.0,13000000.0,14000000.0,14000000.0,14000000.0,
Non Current Pension And Other Postretirement Benefit Plans,13000000.0,13000000.0,14000000.0,14000000.0,14000000.0,
Non Current Deferred Liabilities,352000000.0,350000000.0,350000000.0,336000000.0,333000000.0,
Non Current Deferred Taxes Liabilities,352000000.0,350000000.0,350000000.0,336000000.0,333000000.0,
Long Term Debt And Capital Lease Obligation,1608000000.0,1661000000.0,1699000000.0,1698000000.0,1702000000.0,
Long Term Capital Lease Obligation,78000000.0,81000000.0,86000000.0,81000000.0,81000000.0,
Long Term Debt,1530000000.0,1580000000.0,1613000000.0,1617000000.0,1621000000.0,
Current Liabilities,616000000.0,577000000.0,559000000.0,575000000.0,584000000.0,
Other Current Liabilities,,61000000.0,,,,59000000.0
Current Debt And Capital Lease Obligation,25000000.0,23000000.0,39000000.0,39000000.0,38000000.0,
Current Capital Lease Obligation,25000000.0,23000000.0,23000000.0,23000000.0,22000000.0,
Current Debt,,,16000000.0,16000000.0,16000000.0,
Other Current Borrowings,,,16000000.0,16000000.0,16000000.0,
Payables And Accrued Expenses,591000000.0,493000000.0,520000000.0,536000000.0,546000000.0,
Current Accrued Expenses,143000000.0,92000000.0,155000000.0,141000000.0,130000000.0,
Payables,448000000.0,401000000.0,365000000.0,395000000.0,416000000.0,
Dueto Related Parties Current,,0.0,0.0,1000000.0,25000000.0,34000000.0
Total Tax Payable,30000000.0,14000000.0,1000000.0,1000000.0,21000000.0,
Income Tax Payable,30000000.0,14000000.0,1000000.0,1000000.0,21000000.0,
Accounts Payable,418000000.0,387000000.0,364000000.0,393000000.0,370000000.0,
Total Assets,4930000000.0,4936000000.0,4896000000.0,4861000000.0,4839000000.0,
