,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,14845013.0,14845013.0,14845013.0,12261345.0,7148542.0,,
Share Issued,14845013.0,14845013.0,14845013.0,12261345.0,7148542.0,,
Net Debt,,,,176635.0,171558.0,123842.0,85592.0
Total Debt,38854.0,47527.0,28691.0,192725.0,175421.0,,
Tangible Book Value,195431.0,313834.0,4475959.0,4875934.0,4443348.0,,
Invested Capital,234285.0,361361.0,4504650.0,5068659.0,4618769.0,,
Working Capital,-402045.0,-272856.0,-485720.0,-825075.0,-632958.0,,
Net Tangible Assets,195431.0,313834.0,4475959.0,4875934.0,4443348.0,,
Common Stock Equity,195431.0,313834.0,4475959.0,4875934.0,4443348.0,,
Total Capitalization,205793.0,325771.0,4489636.0,4891101.0,4459980.0,,
Total Equity Gross Minority Interest,195431.0,313834.0,4475959.0,4875934.0,4443348.0,,
Stockholders Equity,195431.0,313834.0,4475959.0,4875934.0,4443348.0,,
Other Equity Interest,687365.0,768798.0,1027908.0,996055.0,1411897.0,,
Retained Earnings,-13075694.0,-12888527.0,-8878095.0,-8026224.0,-7933993.0,,
Additional Paid In Capital,3102612.0,2952415.0,2699781.0,2540454.0,2124612.0,,
Capital Stock,9481148.0,9481148.0,9626365.0,9365649.0,8840832.0,,
Common Stock,9481148.0,9481148.0,9626365.0,9365649.0,8840832.0,,
Total Liabilities Net Minority Interest,804847.0,824871.0,671704.0,992883.0,707958.0,,
Total Non Current Liabilities Net Minority Interest,10362.0,11937.0,13677.0,15167.0,16632.0,,
Long Term Debt And Capital Lease Obligation,10362.0,11937.0,13677.0,15167.0,16632.0,,
Long Term Debt,10362.0,11937.0,13677.0,15167.0,16632.0,,
Current Liabilities,794485.0,812934.0,658027.0,977716.0,691326.0,,
Other Current Liabilities,,,,14400.0,,,
Current Debt And Capital Lease Obligation,28492.0,35590.0,15014.0,177558.0,158789.0,,
Current Debt,28492.0,35590.0,15014.0,177558.0,158789.0,,
Other Current Borrowings,7536.0,7536.0,7536.0,7536.0,7536.0,,
Current Notes Payable,20956.0,28054.0,7478.0,170022.0,151253.0,,
Payables And Accrued Expenses,765993.0,777344.0,643013.0,785758.0,532537.0,,
Current Accrued Expenses,46249.0,91383.0,28750.0,11500.0,28750.0,,
Payables,719744.0,685961.0,614263.0,774258.0,503787.0,,
Accounts Payable,719744.0,685961.0,614263.0,774258.0,503787.0,,
Total Assets,1000278.0,1138705.0,5147663.0,5868817.0,5151306.0,,
Total Non Current Assets,607838.0,598627.0,4975356.0,5716176.0,5092938.0,,
Other Non Current Assets,,47045.0,47045.0,117277.0,117277.0,117277.0,
Net PPE,607838.0,551582.0,4928311.0,5598899.0,4975661.0,,
Accumulated Depreciation,,0.0,-49517.0,-42089.0,-34662.0,-38457.0,
Gross PPE,,551582.0,4977828.0,5640988.0,5010323.0,5021095.0,
Other Properties,,551582.0,4977828.0,5640988.0,5010323.0,5021095.0,
Current Assets,392440.0,540078.0,172307.0,152641.0,58368.0,,
Assets Held For Sale Current,0.0,372309.0,,,,0.0,
Restricted Cash,47045.0,,,,,,
Prepaid Assets,67551.0,95061.0,118678.0,126123.0,51310.0,,
Receivables,4825.0,4595.0,6323.0,10428.0,3195.0,,
Taxes Receivable,4825.0,4595.0,6323.0,10428.0,3195.0,,
Cash Cash Equivalents And Short Term Investments,273019.0,68113.0,47306.0,16090.0,3863.0,,
Other Short Term Investments,232487.0,,,,,,
Cash And Cash Equivalents,40532.0,68113.0,47306.0,16090.0,3863.0,,
Cash Financial,40532.0,68113.0,47306.0,16090.0,3863.0,,
