,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,45075651.0,44723585.0,44463527.0,44132338.0,44092117.0,
Share Issued,45075651.0,44723585.0,44463527.0,44132338.0,44092117.0,
Total Debt,8377000.0,8677000.0,8968000.0,9237000.0,9497000.0,
Tangible Book Value,288208000.0,306833000.0,321668000.0,336429000.0,351769000.0,
Invested Capital,288208000.0,306833000.0,321668000.0,336429000.0,351769000.0,
Working Capital,211183000.0,229707000.0,242477000.0,259196000.0,264153000.0,
Net Tangible Assets,288208000.0,306833000.0,321668000.0,336429000.0,351769000.0,
Capital Lease Obligations,8377000.0,8677000.0,8968000.0,9237000.0,9497000.0,
Common Stock Equity,288208000.0,306833000.0,321668000.0,336429000.0,351769000.0,
Preferred Stock Equity,,,,,,330368000.0
Total Capitalization,288208000.0,306833000.0,321668000.0,336429000.0,351769000.0,
Total Equity Gross Minority Interest,288208000.0,306833000.0,321668000.0,336429000.0,351769000.0,
Stockholders Equity,288208000.0,306833000.0,321668000.0,336429000.0,351769000.0,
Gains Losses Not Affecting Retained Earnings,-84000.0,540000.0,420000.0,183000.0,301000.0,
Other Equity Adjustments,-84000.0,540000.0,420000.0,183000.0,301000.0,
Retained Earnings,-283133000.0,-256354000.0,-235914000.0,-215636000.0,-197568000.0,
Additional Paid In Capital,571380000.0,562602000.0,557118000.0,551838000.0,548992000.0,
Capital Stock,45000.0,45000.0,44000.0,44000.0,44000.0,
Common Stock,45000.0,45000.0,44000.0,44000.0,44000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,16831000.0,19120000.0,17602000.0,15619000.0,17905000.0,
Total Non Current Liabilities Net Minority Interest,7055000.0,7408000.0,7751000.0,8069000.0,8378000.0,
Preferred Securities Outside Stock Equity,,0.0,0.0,0.0,0.0,330368000.0
Long Term Debt And Capital Lease Obligation,7055000.0,7408000.0,7751000.0,8069000.0,8378000.0,
Long Term Capital Lease Obligation,7055000.0,7408000.0,7751000.0,8069000.0,8378000.0,
Current Liabilities,9776000.0,11712000.0,9851000.0,7550000.0,9527000.0,
Other Current Liabilities,17000.0,6000.0,224000.0,,,
Current Debt And Capital Lease Obligation,1322000.0,1269000.0,1217000.0,1168000.0,1119000.0,
Current Capital Lease Obligation,1322000.0,1269000.0,1217000.0,1168000.0,1119000.0,
Pensionand Other Post Retirement Benefit Plans Current,1493000.0,4740000.0,3066000.0,1991000.0,989000.0,
Payables And Accrued Expenses,6944000.0,5697000.0,5344000.0,4391000.0,7419000.0,
Current Accrued Expenses,4835000.0,4928000.0,3863000.0,3477000.0,2400000.0,
Payables,2109000.0,769000.0,1481000.0,914000.0,5019000.0,
Accounts Payable,2109000.0,769000.0,1481000.0,914000.0,5019000.0,
Total Assets,305039000.0,325953000.0,339270000.0,352048000.0,369674000.0,
Total Non Current Assets,84080000.0,84534000.0,86942000.0,85302000.0,95994000.0,
Other Non Current Assets,1548000.0,963000.0,962000.0,962000.0,962000.0,
Investments And Advances,73781000.0,74420000.0,76671000.0,74699000.0,85022000.0,
Investmentin Financial Assets,73781000.0,74420000.0,76671000.0,74699000.0,85022000.0,
Available For Sale Securities,73781000.0,74420000.0,76671000.0,74699000.0,85022000.0,
Net PPE,8751000.0,9151000.0,9309000.0,9641000.0,10010000.0,
Accumulated Depreciation,-2276000.0,-2122000.0,-1970000.0,-1877000.0,-1730000.0,
Gross PPE,11027000.0,11273000.0,11279000.0,11518000.0,11740000.0,
Leases,1920000.0,1920000.0,1914000.0,1854000.0,1854000.0,
Construction In Progress,,,,,,0.0
Other Properties,8255000.0,8501000.0,8739000.0,8942000.0,9164000.0,
Machinery Furniture Equipment,852000.0,852000.0,626000.0,722000.0,722000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,220959000.0,241419000.0,252328000.0,266746000.0,273680000.0,
Other Current Assets,4809000.0,5537000.0,3999000.0,4175000.0,4014000.0,
Cash Cash Equivalents And Short Term Investments,216150000.0,235882000.0,248329000.0,262571000.0,269666000.0,
Other Short Term Investments,152826000.0,177431000.0,197498000.0,221586000.0,186971000.0,
Cash And Cash Equivalents,63324000.0,58451000.0,50831000.0,40985000.0,82695000.0,
