,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,5121953.0,5159618.0,4295550.0,3876402.0,3891750.0,
Share Issued,5121953.0,5159618.0,4295550.0,3876402.0,3891750.0,
Net Debt,159000.0,,,,,
Total Debt,3777000.0,2338000.0,2369000.0,2064000.0,2318000.0,
Tangible Book Value,1027000.0,-102000.0,123000.0,1370000.0,3189000.0,
Invested Capital,20243000.0,19397000.0,20622000.0,22414000.0,36562000.0,
Working Capital,1609000.0,-1590000.0,-1463000.0,-408000.0,1290000.0,
Net Tangible Assets,1027000.0,-102000.0,123000.0,1370000.0,3189000.0,
Capital Lease Obligations,1876000.0,1331000.0,1638000.0,2064000.0,2318000.0,
Common Stock Equity,18342000.0,18390000.0,19891000.0,22414000.0,36562000.0,
Total Capitalization,20243000.0,18390000.0,19891000.0,22414000.0,36562000.0,
Total Equity Gross Minority Interest,18342000.0,18390000.0,19891000.0,22414000.0,36562000.0,
Stockholders Equity,18342000.0,18390000.0,19891000.0,22414000.0,36562000.0,
Retained Earnings,-388640000.0,-384743000.0,-380054000.0,-374885000.0,-359823000.0,
Additional Paid In Capital,406956000.0,403107000.0,399924000.0,397280000.0,396366000.0,
Capital Stock,26000.0,26000.0,21000.0,19000.0,19000.0,
Common Stock,26000.0,26000.0,21000.0,19000.0,19000.0,
Total Liabilities Net Minority Interest,7452000.0,6581000.0,7238000.0,7168000.0,6802000.0,
Total Non Current Liabilities Net Minority Interest,3096000.0,462000.0,716000.0,895000.0,1131000.0,
Derivative Product Liabilities,41000.0,45000.0,87000.0,121000.0,101000.0,
Non Current Deferred Liabilities,,0.0,128000.0,128000.0,128000.0,128000.0
Non Current Deferred Taxes Liabilities,,0.0,128000.0,128000.0,128000.0,128000.0
Long Term Debt And Capital Lease Obligation,3055000.0,417000.0,501000.0,646000.0,902000.0,
Long Term Capital Lease Obligation,1154000.0,417000.0,501000.0,646000.0,902000.0,
Long Term Debt,1901000.0,,,,,
Current Liabilities,4356000.0,6119000.0,6522000.0,6273000.0,5671000.0,
Other Current Liabilities,649000.0,773000.0,778000.0,1269000.0,886000.0,
Current Debt And Capital Lease Obligation,722000.0,1921000.0,1868000.0,1418000.0,1416000.0,
Current Capital Lease Obligation,722000.0,914000.0,1137000.0,1418000.0,1416000.0,
Current Debt,,1007000.0,731000.0,,,
Current Notes Payable,0.0,1007000.0,731000.0,,,0.0
Payables And Accrued Expenses,2985000.0,3425000.0,3876000.0,3586000.0,3369000.0,
Current Accrued Expenses,1418000.0,1488000.0,1597000.0,1820000.0,1695000.0,
Payables,1567000.0,1937000.0,2279000.0,1766000.0,1674000.0,
Accounts Payable,1567000.0,1937000.0,2279000.0,1766000.0,1674000.0,
Total Assets,25794000.0,24971000.0,27129000.0,29582000.0,43364000.0,
Total Non Current Assets,19829000.0,20442000.0,22070000.0,23717000.0,36403000.0,
Other Non Current Assets,499000.0,500000.0,493000.0,496000.0,495000.0,
Goodwill And Other Intangible Assets,17315000.0,18492000.0,19768000.0,21044000.0,33373000.0,
Other Intangible Assets,17315000.0,18492000.0,19768000.0,21044000.0,22321000.0,
Goodwill,,0.0,0.0,0.0,11052000.0,11052000.0
Net PPE,2015000.0,1450000.0,1809000.0,2177000.0,2535000.0,
Accumulated Depreciation,,-7363000.0,,,,-8336000.0
Gross PPE,2015000.0,8813000.0,1809000.0,2177000.0,2535000.0,
Leases,,1436000.0,,,,1440000.0
Other Properties,2015000.0,1119000.0,1809000.0,2177000.0,2535000.0,
Machinery Furniture Equipment,,6258000.0,,,,7434000.0
Properties,,0.0,,,,0.0
Current Assets,5965000.0,4529000.0,5059000.0,5865000.0,6961000.0,
Other Current Assets,1321000.0,1218000.0,1088000.0,1597000.0,1435000.0,
Receivables,2902000.0,1817000.0,2577000.0,2867000.0,3238000.0,
Accounts Receivable,2902000.0,1817000.0,2577000.0,2867000.0,3238000.0,
Allowance For Doubtful Accounts Receivable,,0.0,-106000.0,-106000.0,-106000.0,-3000.0
Gross Accounts Receivable,,1817000.0,2683000.0,2973000.0,3344000.0,5724000.0
Cash Cash Equivalents And Short Term Investments,1742000.0,1494000.0,1394000.0,1401000.0,2288000.0,
Cash And Cash Equivalents,1742000.0,1494000.0,1394000.0,1401000.0,2288000.0,
