,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,363301470.0,363301470.0,363301470.0,363301470.0,363301470.0,,
Share Issued,363301470.0,363301470.0,363301470.0,363301470.0,363301470.0,,
Tangible Book Value,-857390.0,-675336.0,-268176.0,-101044.0,244547.0,,
Invested Capital,-857390.0,-675336.0,-268176.0,-101044.0,244547.0,,
Working Capital,-857390.0,-675336.0,-268176.0,-101044.0,244547.0,,
Net Tangible Assets,-857390.0,-675336.0,-268176.0,-101044.0,244547.0,,
Common Stock Equity,-857390.0,-675336.0,-268176.0,-101044.0,244547.0,,
Total Capitalization,-857390.0,-675336.0,-268176.0,-101044.0,244547.0,,
Total Equity Gross Minority Interest,-857390.0,-675336.0,-268176.0,-101044.0,244547.0,,
Stockholders Equity,-857390.0,-675336.0,-268176.0,-101044.0,244547.0,,
Other Equity Interest,5854560.0,6056374.0,6056374.0,6056374.0,5980617.0,,
Gains Losses Not Affecting Retained Earnings,-356139.0,-346060.0,-354673.0,-351950.0,-338680.0,,
Other Equity Adjustments,-356139.0,-346060.0,-354673.0,-351950.0,-338680.0,,
Retained Earnings,-70742591.0,-70468411.0,-70052638.0,-69888229.0,-69480151.0,,
Additional Paid In Capital,18430072.0,18126053.0,18126053.0,18126053.0,18126053.0,,
Capital Stock,45956708.0,45956708.0,45956708.0,45956708.0,45956708.0,,
Common Stock,45956708.0,45956708.0,45956708.0,45956708.0,45956708.0,,
Total Liabilities Net Minority Interest,1306212.0,1192896.0,1198212.0,1221736.0,1331404.0,,
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0,0.0,,
Derivative Product Liabilities,,,,,,0.0,0.0
Current Liabilities,1306212.0,1192896.0,1198212.0,1221736.0,1331404.0,,
Current Deferred Liabilities,,,,,,0.0,0.0
Current Deferred Revenue,,,,,,0.0,0.0
Payables And Accrued Expenses,1306212.0,1192896.0,1198212.0,1221736.0,1331404.0,,
Current Accrued Expenses,164342.0,163157.0,151585.0,150056.0,199089.0,,
Payables,1141870.0,1029739.0,1046627.0,1071680.0,1132315.0,,
Accounts Payable,1141870.0,1029739.0,1046627.0,1071680.0,1132315.0,,
Total Assets,448822.0,517560.0,930036.0,1120692.0,1575951.0,,
Total Non Current Assets,0.0,0.0,0.0,0.0,0.0,,
Net PPE,,,,,,0.0,0.0
Accumulated Depreciation,,,,,,0.0,0.0
Gross PPE,,,,,,0.0,0.0
Leases,,,,,,0.0,
Machinery Furniture Equipment,,,,,,0.0,0.0
Properties,,,,,,0.0,
Current Assets,448822.0,517560.0,930036.0,1120692.0,1575951.0,,
Prepaid Assets,4052.0,8226.0,14524.0,20964.0,78229.0,,
Inventory,297421.0,249967.0,502140.0,650948.0,499648.0,,
Finished Goods,150807.0,113224.0,327550.0,476481.0,338819.0,,
Raw Materials,146614.0,136743.0,174590.0,174467.0,160829.0,,
Receivables,75820.0,108572.0,166557.0,49635.0,277326.0,,
Taxes Receivable,7443.0,7167.0,6911.0,18295.0,8426.0,,
Notes Receivable,,0.0,0.0,0.0,0.0,45908.0,
Accounts Receivable,68377.0,101405.0,159646.0,31340.0,268900.0,,
Cash Cash Equivalents And Short Term Investments,71529.0,150795.0,246815.0,399145.0,720748.0,,
Cash And Cash Equivalents,71529.0,150795.0,246815.0,399145.0,720748.0,,
Cash Financial,71529.0,150795.0,246815.0,399145.0,720748.0,,
