,2025-12-31,2024-12-31
Ordinary Shares Number,9603201.0,446136.0
Share Issued,9603201.0,446136.0
Net Debt,7607016.0,6311187.0
Total Debt,9844236.0,7887819.0
Tangible Book Value,12263315.0,15869331.0
Invested Capital,29279566.0,23757150.0
Working Capital,12303479.0,16029828.0
Net Tangible Assets,12263315.0,15869331.0
Capital Lease Obligations,105359.0,0.0
Common Stock Equity,19540689.0,15869331.0
Total Capitalization,25274241.0,21670427.0
Total Equity Gross Minority Interest,19540689.0,15869331.0
Minority Interest,0.0,0.0
Stockholders Equity,19540689.0,15869331.0
Gains Losses Not Affecting Retained Earnings,34046646.0,33236448.0
Other Equity Adjustments,34046646.0,33236448.0
Retained Earnings,-220633658.0,-210571935.0
Additional Paid In Capital,11568652.0,22447083.0
Capital Stock,194559049.0,170757735.0
Common Stock,194559049.0,170757735.0
Total Liabilities Net Minority Interest,19906937.0,19259414.0
Total Non Current Liabilities Net Minority Interest,5796248.0,5801096.0
Long Term Debt And Capital Lease Obligation,5796248.0,5801096.0
Long Term Capital Lease Obligation,62696.0,0.0
Long Term Debt,5733552.0,5801096.0
Current Liabilities,14110689.0,13458318.0
Current Deferred Liabilities,923449.0,4662978.0
Current Deferred Revenue,591118.0,3472556.0
Current Debt And Capital Lease Obligation,4047988.0,2086723.0
Current Capital Lease Obligation,42663.0,0.0
Current Debt,4005325.0,2086723.0
Other Current Borrowings,319031.0,305775.0
Line Of Credit,3686294.0,1780948.0
Payables And Accrued Expenses,9139252.0,6708617.0
Current Accrued Expenses,1207760.0,1139949.0
Payables,7931492.0,5568668.0
Other Payable,394847.0,347707.0
Dueto Related Parties Current,1804565.0,1725133.0
Total Tax Payable,2660624.0,2502725.0
Income Tax Payable,3981.0,3197.0
Accounts Payable,3071456.0,993103.0
Total Assets,39447626.0,35128745.0
Total Non Current Assets,13033458.0,5640599.0
Investments And Advances,0.0,86271.0
Long Term Equity Investment,0.0,86271.0
Goodwill And Other Intangible Assets,7277374.0,0.0
Goodwill,7277374.0,0.0
Net PPE,5756084.0,5554328.0
Accumulated Depreciation,-12564247.0,-10298566.0
Gross PPE,18320331.0,15852894.0
Other Properties,1029732.0,904646.0
Machinery Furniture Equipment,13292917.0,11116671.0
Buildings And Improvements,3997682.0,3831577.0
Properties,0.0,0.0
Current Assets,26414168.0,29488146.0
Other Current Assets,76298.0,85354.0
Prepaid Assets,13386476.0,13584443.0
Inventory,790207.0,6317173.0
Inventories Adjustments Allowances,-249467.0,-68732.0
Finished Goods,1039671.0,6385905.0
Raw Materials,3.0,0.0
Receivables,10029326.0,7924544.0
Other Receivables,789320.0,
Accounts Receivable,9240006.0,7924544.0
Allowance For Doubtful Accounts Receivable,-8658698.0,-7688491.0
Gross Accounts Receivable,17898704.0,15613035.0
Cash Cash Equivalents And Short Term Investments,2131861.0,1576632.0
Cash And Cash Equivalents,2131861.0,1576632.0
