,2025-09-30,2025-03-31
Ordinary Shares Number,42327806.0,42327806.0
Share Issued,42327806.0,42327806.0
Net Debt,10172421968.94,9022217865.25556
Total Debt,11607321960.08,10690528461.35428
Tangible Book Value,6281098395.11,6436720962.3108
Invested Capital,16777147023.56,16180160981.8744
Working Capital,5093583526.57,5351265113.77668
Net Tangible Assets,6281098395.11,6436720962.3108
Capital Lease Obligations,1111273331.63,947088441.79068
Common Stock Equity,6281098395.11,6436720962.3108
Total Capitalization,7243517857.73,7409661468.57272
Total Equity Gross Minority Interest,6282221589.49,6436720962.3108
Minority Interest,1123194.38,
Stockholders Equity,6281098395.11,6436720962.3108
Gains Losses Not Affecting Retained Earnings,2360430439.29,2280192220.44432
Other Equity Adjustments,2360430439.29,2280192220.44432
Retained Earnings,3908608254.32,4144385264.35248
Capital Stock,12059701.5,12143477.514
Common Stock,12059701.5,12143477.514
Total Liabilities Net Minority Interest,23035143845.56,17181360400.3258
Total Non Current Liabilities Net Minority Interest,2057867018.13,1998954518.70268
Other Non Current Liabilities,201152105.77,219994470.9186
Non Current Deferred Liabilities,134375093.93,189128788.81792
Non Current Deferred Taxes Liabilities,134375093.93,189128788.81792
Long Term Debt And Capital Lease Obligation,1722339818.43,1589831258.96616
Long Term Capital Lease Obligation,759920355.81,616890752.70424
Long Term Debt,962419462.62,972940506.26192
Current Liabilities,20977276827.43,15182405881.62312
Other Current Liabilities,452194817.69,374512627.93448
Current Deferred Liabilities,1122298856.14,1201202119.00108
Current Deferred Revenue,1122298856.14,1201202119.00108
Current Debt And Capital Lease Obligation,9884982141.65,9100697202.38812
Current Capital Lease Obligation,351352975.82,330197689.08644
Current Debt,9533629165.83,8770499513.30168
Other Current Borrowings,827631827.33,105726966.25316
Line Of Credit,8705997338.5,8664772547.04852
Payables And Accrued Expenses,9517801011.95,4505993932.29944
Payables,9517801011.95,4505993932.29944
Other Payable,289876882.68,299092130.28268
Dueto Related Parties Current,227418923.27,4141801.24008
Dividends Payable,80344064.57,
Total Tax Payable,217377196.96,52325593.66356
Accounts Payable,8702783944.47,4150434407.11312
Total Assets,29317365435.05,23618081362.6366
Total Non Current Assets,3246505081.05,3084410367.2368
Other Non Current Assets,320861770.46,266024610.49696
Non Current Accounts Receivable,307832240.1,305246471.6224
Net PPE,2617811070.49,2513139285.11744
Accumulated Depreciation,-539060780.72,-548627798.7736
Gross PPE,3156871851.21,3061767083.89104
Leases,547267024.92,596709684.74992
Other Properties,1073330523.65,902535571.59024
Machinery Furniture Equipment,720903840.58,754241788.53856
Buildings And Improvements,473757385.64,469536574.031
Land And Improvements,341613076.42,338743464.98132
Properties,0.0,0.0
Current Assets,26070860354.0,20533670995.3998
Other Current Assets,1786390133.99,2026484223.67188
Prepaid Assets,4366756.24,
Inventory,793678157.58,654057276.01508
Finished Goods,793678157.58,654057276.01508
Receivables,23162798646.68,17131907341.4048
Duefrom Related Parties Current,230791.33,180767.97088
Taxes Receivable,1083349364.02,1074248832.909
Accounts Receivable,22079218491.33,16057477740.52492
Allowance For Doubtful Accounts Receivable,-222953044.16,-155692999.18424
Gross Accounts Receivable,22302171535.49,16213170739.70916
Cash Cash Equivalents And Short Term Investments,323626659.51,721222154.30804
Cash And Cash Equivalents,323626659.51,721222154.30804
Cash Financial,323626659.51,721222154.30804
