,2025-12-31,2025-06-30
Treasury Shares Number,10221368.0,
Ordinary Shares Number,130680236.0,131850270.0
Share Issued,140901604.0,140901604.0
Tangible Book Value,102596000000.0,83134000000.0
Invested Capital,130627000000.0,
Working Capital,54211000000.0,
Net Tangible Assets,102596000000.0,83134000000.0
Common Stock Equity,130627000000.0,112006000000.0
Total Capitalization,130627000000.0,112006000000.0
Total Equity Gross Minority Interest,131125000000.0,112677000000.0
Minority Interest,498000000.0,671000000.0
Stockholders Equity,130627000000.0,112006000000.0
Other Equity Interest,3108000000.0,2463000000.0
Treasury Stock,71864000000.0,62933000000.0
Retained Earnings,100906000000.0,80718000000.0
Additional Paid In Capital,28802000000.0,29013000000.0
Capital Stock,19926000000.0,19926000000.0
Common Stock,19926000000.0,19926000000.0
Total Liabilities Net Minority Interest,291113000000.0,262455000000.0
Total Non Current Liabilities Net Minority Interest,12634000000.0,14542000000.0
Other Non Current Liabilities,6152000000.0,6967000000.0
Non Current Pension And Other Postretirement Benefit Plans,6482000000.0,
Current Liabilities,278479000000.0,247913000000.0
Other Current Liabilities,10257000000.0,7749000000.0
Pensionand Other Post Retirement Benefit Plans Current,3292000000.0,2531000000.0
Payables,17360000000.0,13984000000.0
Other Payable,9077000000.0,7634000000.0
Total Tax Payable,5310000000.0,
Accounts Payable,2973000000.0,1982000000.0
Total Assets,422238000000.0,375132000000.0
Total Non Current Assets,89545000000.0,89390000000.0
Other Non Current Assets,4293000000.0,3665000000.0
Non Current Deferred Taxes Assets,47670000000.0,
Investmentin Financial Assets,4727000000.0,4360000000.0
Available For Sale Securities,4727000000.0,
Long Term Equity Investment,27000000.0,61000000.0
Investmentsin Subsidiariesat Cost,27000000.0,61000000.0
Goodwill And Other Intangible Assets,28031000000.0,
Other Intangible Assets,26479000000.0,27111000000.0
Goodwill,1552000000.0,1761000000.0
Net PPE,4797000000.0,4996000000.0
Gross PPE,4796000000.0,
Other Properties,,18000000.0
Machinery Furniture Equipment,2270000000.0,2231000000.0
Buildings And Improvements,2526000000.0,
Properties,0.0,0.0
Current Assets,332690000000.0,285739000000.0
Other Current Assets,15333000000.0,
Inventory,10048000000.0,9601000000.0
Accounts Receivable,76279000000.0,50954000000.0
Gross Accounts Receivable,76279000000.0,50954000000.0
Cash Cash Equivalents And Short Term Investments,231030000000.0,211539000000.0
Other Short Term Investments,10938000000.0,
Cash And Cash Equivalents,220092000000.0,
