,2026-03-31,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,37758997.0,36712040.0,35308040.0,46595743.0
Share Issued,37758997.0,36712040.0,35308040.0,46595743.0
Net Debt,,,7983553.0,23472018.0
Total Debt,68289201.0,73461379.0,72743256.0,73572505.0
Tangible Book Value,139791639.0,111255384.0,67008617.0,59239960.0
Invested Capital,171050356.0,147374996.0,103184435.0,96366423.0
Working Capital,-97098264.0,-123859320.0,-131381504.0,-69644587.0
Net Tangible Assets,139791639.0,111255384.0,67008617.0,59239960.0
Capital Lease Obligations,37030484.0,37341767.0,36567438.0,36446042.0
Common Stock Equity,139791639.0,111255384.0,67008617.0,59239960.0
Total Capitalization,139791639.0,111255384.0,67008617.0,80239693.0
Total Equity Gross Minority Interest,139791639.0,111255384.0,70242791.0,59439409.0
Minority Interest,,0.0,3234174.0,199449.0
Stockholders Equity,139791639.0,111255384.0,67008617.0,59239960.0
Gains Losses Not Affecting Retained Earnings,-7534487.0,-7504638.0,-7169938.0,-5494790.0
Other Equity Adjustments,-7534487.0,-7504638.0,-7169938.0,-5494790.0
Retained Earnings,118387588.0,89976384.0,53783497.0,50316486.0
Additional Paid In Capital,28934762.0,28779967.0,20391528.0,14414905.0
Capital Stock,3776.0,3671.0,3530.0,3359.0
Common Stock,3776.0,3671.0,3530.0,3359.0
Total Liabilities Net Minority Interest,338485887.0,330178437.0,283380559.0,180360291.0
Total Non Current Liabilities Net Minority Interest,33758680.0,34474040.0,34122050.0,55326875.0
Long Term Debt And Capital Lease Obligation,33758680.0,34474040.0,34122050.0,55326875.0
Long Term Capital Lease Obligation,33758680.0,34474040.0,34122050.0,34327142.0
Long Term Debt,,,,20999733.0
Current Liabilities,304727207.0,295704397.0,249258509.0,125033416.0
Current Deferred Liabilities,133423299.0,107940684.0,67748411.0,23733705.0
Current Deferred Revenue,133423299.0,107940684.0,67748411.0,23733705.0
Current Debt And Capital Lease Obligation,34530521.0,38987339.0,38621206.0,18245630.0
Current Capital Lease Obligation,3271804.0,2867727.0,2445388.0,2118900.0
Current Debt,31258717.0,36119612.0,36175818.0,16126730.0
Other Current Borrowings,31258717.0,36119612.0,36175818.0,16126730.0
Payables And Accrued Expenses,136773387.0,148776374.0,142888892.0,83054081.0
Payables,136773387.0,148776374.0,142888892.0,83054081.0
Other Payable,13688444.0,15415684.0,5817772.0,8009774.0
Dueto Related Parties Current,51098926.0,62328287.0,78942226.0,56633373.0
Total Tax Payable,21142539.0,15386467.0,3157686.0,781238.0
Income Tax Payable,21142539.0,15386467.0,3157686.0,781238.0
Accounts Payable,50843478.0,55645936.0,54971208.0,17629696.0
Total Assets,478277526.0,441433821.0,353623350.0,239799700.0
Total Non Current Assets,270648583.0,269588744.0,235746345.0,184410871.0
Other Non Current Assets,13881771.0,6797361.0,7235617.0,1809582.0
Non Current Prepaid Assets,9420618.0,7610789.0,23339469.0,16933995.0
Non Current Deferred Assets,418117.0,178107.0,,0.0
Non Current Deferred Taxes Assets,418117.0,178107.0,,0.0
Net PPE,246928077.0,255002487.0,205171259.0,165667294.0
Accumulated Depreciation,-66851646.0,-54432453.0,,-19990558.0
Gross PPE,313779723.0,309434940.0,205171259.0,185657852.0
Leases,6060439.0,6060439.0,,0.0
Construction In Progress,7197431.0,8386394.0,,10320596.0
Other Properties,33548825.0,34354338.0,205171259.0,36627800.0
Machinery Furniture Equipment,181722805.0,177289827.0,,120309321.0
Buildings And Improvements,85250223.0,83343942.0,,18400135.0
Properties,0.0,0.0,,0.0
Current Assets,207628943.0,171845077.0,117877005.0,55388829.0
Other Current Assets,3554950.0,2282883.0,2198093.0,725130.0
Restricted Cash,4450848.0,714245.0,1876423.0,1878267.0
Prepaid Assets,12853584.0,25479344.0,15448411.0,392249.0
Inventory,114468059.0,79986077.0,53547925.0,19984094.0
Finished Goods,33930232.0,42738635.0,,16666207.0
Raw Materials,80537827.0,37247442.0,,3317887.0
Receivables,17937437.0,11748154.0,16613888.0,18754644.0
Accounts Receivable,17937437.0,11748154.0,16613888.0,18754644.0
Allowance For Doubtful Accounts Receivable,0.0,0.0,,0.0
Gross Accounts Receivable,17937437.0,11748154.0,16613888.0,18754644.0
Cash Cash Equivalents And Short Term Investments,54364065.0,51634374.0,28192265.0,13654445.0
Cash And Cash Equivalents,54364065.0,51634374.0,28192265.0,13654445.0
Cash Financial,54364065.0,51634374.0,28192265.0,13654445.0
