,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,14344034.0,4927161.0,4440161.0,4437855.0,3519601.0,
Share Issued,14344034.0,4927161.0,4440161.0,4437855.0,3519601.0,
Total Debt,7854000.0,8141000.0,8405000.0,8663000.0,13105000.0,
Tangible Book Value,822000.0,6668000.0,6346000.0,9783000.0,11133000.0,
Invested Capital,822000.0,6668000.0,6346000.0,9783000.0,15323000.0,
Working Capital,-865000.0,4955000.0,4579000.0,7962000.0,9256000.0,
Net Tangible Assets,822000.0,6668000.0,6346000.0,9783000.0,11133000.0,
Capital Lease Obligations,7854000.0,8141000.0,8405000.0,8663000.0,8915000.0,
Common Stock Equity,822000.0,6668000.0,6346000.0,9783000.0,11133000.0,
Total Capitalization,822000.0,6668000.0,6346000.0,9783000.0,11133000.0,
Total Equity Gross Minority Interest,822000.0,6668000.0,6346000.0,9783000.0,11133000.0,
Stockholders Equity,822000.0,6668000.0,6346000.0,9783000.0,11133000.0,
Retained Earnings,-270072000.0,-233368000.0,-229347000.0,-225836000.0,-217966000.0,
Additional Paid In Capital,270880000.0,240031000.0,235689000.0,235615000.0,229095000.0,
Capital Stock,14000.0,5000.0,4000.0,4000.0,4000.0,
Common Stock,14000.0,5000.0,4000.0,4000.0,4000.0,
Total Liabilities Net Minority Interest,9926000.0,10263000.0,10783000.0,14701000.0,21031000.0,
Total Non Current Liabilities Net Minority Interest,6615000.0,6949000.0,7258000.0,7560000.0,7854000.0,
Long Term Debt And Capital Lease Obligation,6615000.0,6949000.0,7258000.0,7560000.0,7854000.0,
Long Term Capital Lease Obligation,6615000.0,6949000.0,7258000.0,7560000.0,7854000.0,
Current Liabilities,3311000.0,3314000.0,3525000.0,7141000.0,13177000.0,
Current Debt And Capital Lease Obligation,1239000.0,1192000.0,1147000.0,1103000.0,5251000.0,
Current Capital Lease Obligation,1239000.0,1192000.0,1147000.0,1103000.0,1061000.0,
Current Debt,,,,,4190000.0,6354000.0
Other Current Borrowings,,,,,4190000.0,6354000.0
Pensionand Other Post Retirement Benefit Plans Current,325000.0,147000.0,103000.0,101000.0,718000.0,
Payables And Accrued Expenses,1747000.0,1975000.0,2275000.0,5937000.0,7208000.0,
Current Accrued Expenses,1162000.0,937000.0,1353000.0,1221000.0,5021000.0,
Interest Payable,,0.0,0.0,0.0,36000.0,59000.0
Payables,585000.0,1038000.0,922000.0,4716000.0,2187000.0,
Accounts Payable,585000.0,1038000.0,922000.0,4716000.0,2187000.0,
Total Assets,10748000.0,16931000.0,17129000.0,24484000.0,32164000.0,
Total Non Current Assets,8302000.0,8662000.0,9025000.0,9381000.0,9731000.0,
Other Non Current Assets,509000.0,517000.0,519000.0,529000.0,538000.0,
Net PPE,7793000.0,8145000.0,8506000.0,8852000.0,9193000.0,
Accumulated Depreciation,-1513000.0,-1453000.0,-1522000.0,-1455000.0,-1388000.0,
Gross PPE,9306000.0,9598000.0,10028000.0,10307000.0,10581000.0,
Leases,198000.0,198000.0,198000.0,198000.0,200000.0,
Other Properties,8694000.0,8986000.0,9310000.0,9589000.0,9861000.0,
Machinery Furniture Equipment,414000.0,414000.0,520000.0,520000.0,520000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,2446000.0,8269000.0,8104000.0,15103000.0,22433000.0,
Other Current Assets,3000.0,355000.0,352000.0,482000.0,356000.0,
Prepaid Assets,638000.0,207000.0,238000.0,341000.0,566000.0,
Cash Cash Equivalents And Short Term Investments,1805000.0,7707000.0,7514000.0,14280000.0,21511000.0,
Cash And Cash Equivalents,1805000.0,7707000.0,7514000.0,14280000.0,21511000.0,
