,2026-03-31,2025-10-31
Ordinary Shares Number,20000000.0,20000000.0
Share Issued,20000000.0,20000000.0
Net Debt,121879.0,
Total Debt,122100.0,
Tangible Book Value,-30666.0,14250.0
Invested Capital,91434.0,14250.0
Working Capital,-30666.0,14250.0
Net Tangible Assets,-30666.0,14250.0
Common Stock Equity,-30666.0,14250.0
Total Capitalization,-30666.0,14250.0
Total Equity Gross Minority Interest,-30666.0,14250.0
Stockholders Equity,-30666.0,14250.0
Retained Earnings,-55666.0,-10750.0
Additional Paid In Capital,24425.0,24425.0
Capital Stock,575.0,575.0
Common Stock,575.0,575.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,160957.0,35945.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,160957.0,35945.0
Current Debt And Capital Lease Obligation,122100.0,
Current Debt,122100.0,
Other Current Borrowings,122100.0,
Payables And Accrued Expenses,38857.0,35945.0
Current Accrued Expenses,38107.0,35195.0
Payables,750.0,750.0
Dueto Related Parties Current,750.0,750.0
Total Assets,130291.0,50195.0
Total Non Current Assets,0.0,0.0
Current Assets,130291.0,50195.0
Current Deferred Assets,109583.0,25195.0
Prepaid Assets,20487.0,
Cash Cash Equivalents And Short Term Investments,221.0,25000.0
Cash And Cash Equivalents,221.0,25000.0
Cash Financial,221.0,25000.0
