,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,1211365.0,831365.0,124500.0
Share Issued,1211365.0,831365.0,124500.0
Total Debt,0.0,,812878.0
Tangible Book Value,36963841.0,,19865710.0
Invested Capital,36969023.0,,20676636.0
Working Capital,16999322.0,,19827389.0
Net Tangible Assets,36963841.0,,19865710.0
Capital Lease Obligations,0.0,,7414.0
Common Stock Equity,36969023.0,,19871172.0
Total Capitalization,36969023.0,,19871172.0
Total Equity Gross Minority Interest,36969023.0,,19871172.0
Stockholders Equity,36969023.0,,19871172.0
Gains Losses Not Affecting Retained Earnings,478036.0,,-316841.0
Other Equity Adjustments,478036.0,,-316841.0
Retained Earnings,-13884513.0,,-93487.0
Additional Paid In Capital,50327045.0,,20276520.0
Capital Stock,48455.0,,4980.0
Common Stock,48455.0,,4980.0
Total Liabilities Net Minority Interest,1369726.0,,2774985.0
Total Non Current Liabilities Net Minority Interest,500069.0,,338.0
Dueto Related Parties Non Current,499722.0,,
Tradeand Other Payables Non Current,0.0,,
Non Current Deferred Liabilities,347.0,,338.0
Non Current Deferred Taxes Liabilities,347.0,,338.0
Long Term Debt And Capital Lease Obligation,,,0.0
Long Term Capital Lease Obligation,,,0.0
Current Liabilities,869657.0,,2774647.0
Other Current Liabilities,151563.0,,105684.0
Current Debt And Capital Lease Obligation,,,812878.0
Current Capital Lease Obligation,0.0,,7414.0
Current Debt,,,805464.0
Line Of Credit,0.0,,805464.0
Payables And Accrued Expenses,718094.0,,1856085.0
Payables,718094.0,,1856085.0
Other Payable,34076.0,,19937.0
Dueto Related Parties Current,,,453849.0
Total Tax Payable,608576.0,,346707.0
Income Tax Payable,594997.0,,346473.0
Accounts Payable,75442.0,,1035592.0
Total Assets,38338749.0,,22646157.0
Total Non Current Assets,20469770.0,,44121.0
Other Non Current Assets,8778.0,,18882.0
Non Current Prepaid Assets,14229732.0,,
Investments And Advances,73930.0,,
Long Term Equity Investment,73930.0,,
Investmentsin Associatesat Cost,73930.0,,
Goodwill And Other Intangible Assets,5182.0,,5462.0
Net PPE,6152148.0,,19777.0
Gross PPE,6152148.0,,19777.0
Construction In Progress,253508.0,,
Other Properties,6936.0,,19777.0
Machinery Furniture Equipment,77931.0,,
Buildings And Improvements,5813773.0,,
Properties,0.0,,
Current Assets,17868979.0,,22602036.0
Other Current Assets,4011.0,,93921.0
Prepaid Assets,7951869.0,,3736795.0
Receivables,40047.0,,73052.0
Receivables Adjustments Allowances,,,-811.0
Taxes Receivable,11995.0,,41419.0
Loans Receivable,,,0.0
Accounts Receivable,28052.0,,32444.0
Allowance For Doubtful Accounts Receivable,0.0,,-204.0
Gross Accounts Receivable,28052.0,,32648.0
Cash Cash Equivalents And Short Term Investments,9873052.0,,18698268.0
Cash And Cash Equivalents,9873052.0,,18698268.0
Cash Financial,9873052.0,,18698268.0
