,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,391515399.0,391080149.0,390712620.0,390555382.0,389695199.0,,
Share Issued,391515399.0,391080149.0,390712620.0,390555382.0,389695199.0,,
Net Debt,2706066000.0,2689181000.0,4211154000.0,3897524000.0,3548763000.0,,
Total Debt,4983354000.0,5338701000.0,5791127000.0,5675004000.0,5366068000.0,,
Tangible Book Value,-424924000.0,-281835000.0,-618605000.0,-1052295000.0,-1081020000.0,,
Invested Capital,5379887000.0,5940093000.0,6108124000.0,5832193000.0,5465504000.0,,
Working Capital,1828342000.0,1765028000.0,1360124000.0,935877000.0,1088245000.0,,
Net Tangible Assets,-424924000.0,-281835000.0,-618605000.0,-1052295000.0,-1081020000.0,,
Capital Lease Obligations,1453345000.0,1183051000.0,1160858000.0,1135094000.0,1387923000.0,,
Common Stock Equity,1849878000.0,1784443000.0,1477855000.0,1292283000.0,1487359000.0,,
Total Capitalization,5369748000.0,5341375000.0,5022036000.0,4853273000.0,4913009000.0,,
Total Equity Gross Minority Interest,1849878000.0,1784443000.0,1477855000.0,1292283000.0,1487359000.0,,
Stockholders Equity,1849878000.0,1784443000.0,1477855000.0,1292283000.0,1487359000.0,,
Gains Losses Not Affecting Retained Earnings,-807051000.0,-1001286000.0,-1024041000.0,-1037424000.0,-977740000.0,,
Other Equity Adjustments,-807051000.0,-1001286000.0,-1024041000.0,-1037424000.0,-977740000.0,,
Retained Earnings,-928834000.0,-808221000.0,-1107047000.0,-1295307000.0,-1173011000.0,,
Additional Paid In Capital,3487884000.0,3496180000.0,3511265000.0,3527375000.0,3540686000.0,,
Capital Stock,97879000.0,97770000.0,97678000.0,97639000.0,97424000.0,,
Common Stock,97879000.0,97770000.0,97678000.0,97639000.0,97424000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,7440299000.0,8647186000.0,9166269000.0,8858214000.0,7890177000.0,,
Total Non Current Liabilities Net Minority Interest,5259127000.0,5430102000.0,5407525000.0,5418575000.0,5192324000.0,,
Other Non Current Liabilities,61994000.0,690119000.0,702486000.0,722491000.0,54982000.0,,
Liabilities Heldfor Sale Non Current,,,,0.0,0.0,0.0,0.0
Derivative Product Liabilities,2492000.0,,,,10193000.0,,
Employee Benefits,72989000.0,,,,77688000.0,,
Non Current Pension And Other Postretirement Benefit Plans,72989000.0,,,,77688000.0,,
Non Current Accrued Expenses,48231000.0,,,,49885000.0,,
Tradeand Other Payables Non Current,355902000.0,,,,417186000.0,,
Non Current Deferred Liabilities,77773000.0,,,,77558000.0,,
Non Current Deferred Taxes Liabilities,21057000.0,,,,14551000.0,,
Long Term Debt And Capital Lease Obligation,4639746000.0,4739983000.0,4705039000.0,4696084000.0,4504832000.0,,
Long Term Capital Lease Obligation,1119876000.0,1183051000.0,1160858000.0,1135094000.0,1079182000.0,,
Long Term Debt,3519870000.0,3556932000.0,3544181000.0,3560990000.0,3425650000.0,,
Current Liabilities,2181172000.0,3217084000.0,3758744000.0,3439639000.0,2697853000.0,,
Other Current Liabilities,46231000.0,,70500000.0,,19810000.0,,147791000.0
Current Deferred Liabilities,89133000.0,,,,90321000.0,,
Current Deferred Revenue,76923000.0,,,,78421000.0,,
Current Debt And Capital Lease Obligation,343608000.0,598718000.0,1086088000.0,978920000.0,861236000.0,,
Current Capital Lease Obligation,333469000.0,,,,308741000.0,,
Current Debt,10139000.0,598718000.0,1086088000.0,978920000.0,552495000.0,,
Other Current Borrowings,10139000.0,,,,552495000.0,,
Commercial Paper,,,,,0.0,,
Pensionand Other Post Retirement Benefit Plans Current,162342000.0,,,,168710000.0,,
Payables And Accrued Expenses,1539858000.0,2618366000.0,2602156000.0,2460719000.0,1557776000.0,,
Current Accrued Expenses,488194000.0,1604003000.0,1541115000.0,1293962000.0,536805000.0,,
Interest Payable,46194000.0,,,,37297000.0,,
Payables,1051664000.0,1014363000.0,1061041000.0,1166757000.0,1020971000.0,,
Total Tax Payable,225317000.0,,,,231401000.0,,
Income Tax Payable,94264000.0,,,,96040000.0,,
Accounts Payable,826347000.0,1014363000.0,1061041000.0,1166757000.0,789570000.0,,
Total Assets,9290177000.0,10431629000.0,10644124000.0,10150497000.0,9377536000.0,,
Total Non Current Assets,5280663000.0,5449517000.0,5525256000.0,5774981000.0,5591438000.0,,
Other Non Current Assets,77054000.0,1331328000.0,1393221000.0,1390476000.0,63850000.0,,
Defined Pension Benefit,73645000.0,,,,179596000.0,,
Non Current Prepaid Assets,36397000.0,,,,33624000.0,,
Non Current Deferred Assets,626320000.0,,,,575546000.0,,
Non Current Deferred Taxes Assets,626320000.0,,,,575546000.0,,
Non Current Accounts Receivable,81022000.0,,,,78934000.0,,
Financial Assets,11114000.0,,,,2081000.0,,
Investments And Advances,105068000.0,,,,106230000.0,,
Other Investments,105068000.0,,,,106230000.0,,
Goodwill And Other Intangible Assets,2274802000.0,2066278000.0,2096460000.0,2344578000.0,2568379000.0,,
Other Intangible Assets,1687097000.0,1474532000.0,1475845000.0,1723749000.0,1964993000.0,,
Goodwill,587705000.0,591746000.0,620615000.0,620829000.0,603386000.0,,
Net PPE,1995241000.0,2051911000.0,2035575000.0,2039927000.0,1983198000.0,,
Accumulated Depreciation,-1160868000.0,,,,-1165144000.0,,
Gross PPE,3156109000.0,2051911000.0,2035575000.0,2039927000.0,3148342000.0,,
Other Properties,1320733000.0,2051911000.0,2035575000.0,2039927000.0,1262319000.0,,
Machinery Furniture Equipment,965357000.0,,,,1006909000.0,,
Buildings And Improvements,810543000.0,,,,817379000.0,,
Land And Improvements,59476000.0,,,,61735000.0,,
Properties,0.0,,,,0.0,,
Current Assets,4009514000.0,4982112000.0,5118868000.0,4375516000.0,3786098000.0,,
Other Current Assets,76365000.0,441059000.0,425753000.0,425429000.0,60011000.0,,
Hedging Assets Current,17800000.0,,,,32290000.0,,
Assets Held For Sale Current,5524000.0,,536507000.0,0.0,0.0,0.0,
Prepaid Assets,254889000.0,,,,275721000.0,,
Inventory,1371274000.0,1658700000.0,1855895000.0,2135478000.0,1627025000.0,,
Finished Goods,1337168000.0,1618836000.0,1815846000.0,2095573000.0,1588124000.0,,
Work In Process,34106000.0,39748000.0,39933000.0,39794000.0,38808000.0,,
Raw Materials,0.0,116000.0,116000.0,111000.0,93000.0,,
Receivables,1447509000.0,1415884000.0,1881598000.0,1172223000.0,1349769000.0,,
Taxes Receivable,19552000.0,,,,28106000.0,,
Accounts Receivable,1427957000.0,1415884000.0,1881598000.0,1172223000.0,1321663000.0,,
Allowance For Doubtful Accounts Receivable,-23964000.0,-26908000.0,-27511000.0,-35803000.0,-31853000.0,,
Gross Accounts Receivable,1451921000.0,1442792000.0,1909109000.0,1208026000.0,1353516000.0,,
Cash Cash Equivalents And Short Term Investments,836153000.0,1466469000.0,419115000.0,642386000.0,441282000.0,,
Other Short Term Investments,12210000.0,,,,11900000.0,,
Cash And Cash Equivalents,823943000.0,1466469000.0,419115000.0,642386000.0,429382000.0,,
Cash Equivalents,211100000.0,,,,91800000.0,,
Cash Financial,612843000.0,,,,337582000.0,,
