,2025-12-31,2024-12-31
Ordinary Shares Number,2905300.0,425300.0
Share Issued,2905300.0,425300.0
Net Debt,,183679.0
Total Debt,522925.0,601714.0
Tangible Book Value,3448421.0,692730.0
Invested Capital,11567117.0,5346742.0
Working Capital,4506539.0,66210.0
Net Tangible Assets,3448421.0,692730.0
Capital Lease Obligations,106978.0,167723.0
Common Stock Equity,11151170.0,4912751.0
Total Capitalization,11151170.0,4912751.0
Total Equity Gross Minority Interest,11151170.0,4912751.0
Stockholders Equity,11151170.0,4912751.0
Gains Losses Not Affecting Retained Earnings,124013.0,138918.0
Other Equity Adjustments,124013.0,138918.0
Retained Earnings,-6134018.0,1188787.0
Additional Paid In Capital,17153512.0,3583983.0
Capital Stock,7663.0,1063.0
Common Stock,7663.0,1063.0
Total Liabilities Net Minority Interest,2466582.0,1782600.0
Total Non Current Liabilities Net Minority Interest,1210815.0,269852.0
Non Current Deferred Liabilities,1161490.0,192328.0
Non Current Deferred Taxes Liabilities,1161490.0,192328.0
Long Term Debt And Capital Lease Obligation,49325.0,77524.0
Long Term Capital Lease Obligation,49325.0,77524.0
Current Liabilities,1255767.0,1512748.0
Current Deferred Liabilities,144698.0,354127.0
Current Deferred Revenue,144698.0,354127.0
Current Debt And Capital Lease Obligation,473600.0,524190.0
Current Capital Lease Obligation,57653.0,90199.0
Current Debt,415947.0,433991.0
Line Of Credit,415947.0,433991.0
Pensionand Other Post Retirement Benefit Plans Current,128721.0,55634.0
Payables And Accrued Expenses,508748.0,578797.0
Current Accrued Expenses,134021.0,171556.0
Payables,374727.0,407241.0
Other Payable,2739.0,17843.0
Dueto Related Parties Current,319688.0,260416.0
Total Tax Payable,52300.0,128982.0
Total Assets,13617752.0,6695351.0
Total Non Current Assets,7855446.0,5116393.0
Non Current Prepaid Assets,9972.0,32068.0
Non Current Deferred Assets,0.0,620193.0
Investments And Advances,5596.0,6029.0
Investmentin Financial Assets,5596.0,6029.0
Trading Securities,5596.0,6029.0
Goodwill And Other Intangible Assets,7702749.0,4220021.0
Other Intangible Assets,7702749.0,4220021.0
Net PPE,137129.0,238082.0
Accumulated Depreciation,-144598.0,-104390.0
Gross PPE,281727.0,342472.0
Leases,115637.0,115637.0
Other Properties,106978.0,167723.0
Machinery Furniture Equipment,59112.0,59112.0
Properties,0.0,0.0
Current Assets,5762306.0,1578958.0
Receivables,2956898.0,1328646.0
Other Receivables,2150932.0,875823.0
Duefrom Related Parties Current,,0.0
Accounts Receivable,805966.0,452823.0
Allowance For Doubtful Accounts Receivable,-308071.0,-326813.0
Gross Accounts Receivable,1114037.0,779636.0
Cash Cash Equivalents And Short Term Investments,2805408.0,250312.0
Cash And Cash Equivalents,2805408.0,250312.0
