,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,94319696.0,90906920.0,25146411.0,7959947.0,5788745.0,
Share Issued,94319696.0,90906920.0,25146411.0,7959947.0,5788745.0,
Net Debt,,,6430000.0,36621000.0,35372000.0,19726000.0
Total Debt,77253000.0,77285000.0,77357000.0,78024000.0,78041000.0,
Tangible Book Value,142036000.0,159689000.0,34830000.0,-23005000.0,-4220000.0,
Invested Capital,244970000.0,262581000.0,137681000.0,79812000.0,98573000.0,
Working Capital,218211000.0,235820000.0,109299000.0,50046000.0,69813000.0,
Net Tangible Assets,142036000.0,159689000.0,34830000.0,-23005000.0,-4220000.0,
Capital Lease Obligations,733000.0,994000.0,1295000.0,2183000.0,2412000.0,
Common Stock Equity,168450000.0,186290000.0,61619000.0,3971000.0,22944000.0,
Total Capitalization,244970000.0,262581000.0,137681000.0,79812000.0,98573000.0,
Total Equity Gross Minority Interest,168450000.0,186290000.0,61619000.0,3971000.0,22944000.0,
Stockholders Equity,168450000.0,186290000.0,61619000.0,3971000.0,22944000.0,
Gains Losses Not Affecting Retained Earnings,-122000.0,-109000.0,-118000.0,-138000.0,-128000.0,
Other Equity Adjustments,-122000.0,-109000.0,-118000.0,-138000.0,-128000.0,
Retained Earnings,-614795000.0,-594554000.0,-570629000.0,-540814000.0,-515073000.0,
Additional Paid In Capital,783273000.0,780862000.0,632341000.0,544915000.0,538139000.0,
Capital Stock,94000.0,91000.0,25000.0,8000.0,6000.0,
Common Stock,94000.0,91000.0,25000.0,8000.0,6000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,101831000.0,104171000.0,101936000.0,101197000.0,107069000.0,
Total Non Current Liabilities Net Minority Interest,78060000.0,78414000.0,78430000.0,78301000.0,81185000.0,
Other Non Current Liabilities,526000.0,525000.0,525000.0,535000.0,567000.0,
Derivative Product Liabilities,897000.0,977000.0,959000.0,283000.0,2925000.0,
Non Current Deferred Liabilities,117000.0,621000.0,789000.0,827000.0,955000.0,
Non Current Deferred Revenue,117000.0,621000.0,789000.0,827000.0,955000.0,
Long Term Debt And Capital Lease Obligation,76520000.0,76291000.0,76157000.0,76656000.0,76738000.0,
Long Term Capital Lease Obligation,,0.0,95000.0,815000.0,1109000.0,1410000.0
Long Term Debt,76520000.0,76291000.0,76062000.0,75841000.0,75629000.0,
Current Liabilities,23771000.0,25757000.0,23506000.0,22896000.0,25884000.0,
Current Deferred Liabilities,910000.0,464000.0,592000.0,754000.0,855000.0,
Current Deferred Revenue,910000.0,464000.0,592000.0,754000.0,855000.0,
Current Debt And Capital Lease Obligation,733000.0,994000.0,1200000.0,1368000.0,1303000.0,
Current Capital Lease Obligation,733000.0,994000.0,1200000.0,1368000.0,1303000.0,
Pensionand Other Post Retirement Benefit Plans Current,2993000.0,4303000.0,8344000.0,6370000.0,4830000.0,
Payables And Accrued Expenses,19135000.0,19996000.0,13370000.0,14404000.0,18896000.0,
Current Accrued Expenses,14062000.0,14300000.0,8317000.0,6695000.0,7781000.0,
Payables,5073000.0,5696000.0,5053000.0,7709000.0,11115000.0,
Accounts Payable,5073000.0,5696000.0,5053000.0,7709000.0,11115000.0,
Total Assets,270281000.0,290461000.0,163555000.0,105168000.0,130013000.0,
Total Non Current Assets,28299000.0,28884000.0,30750000.0,32226000.0,34316000.0,
Other Non Current Assets,704000.0,692000.0,1968000.0,2350000.0,3013000.0,
Goodwill And Other Intangible Assets,26414000.0,26601000.0,26789000.0,26976000.0,27164000.0,
Other Intangible Assets,9063000.0,9250000.0,9438000.0,9625000.0,9813000.0,
Goodwill,17351000.0,17351000.0,17351000.0,17351000.0,17351000.0,
Net PPE,1181000.0,1591000.0,1993000.0,2900000.0,4139000.0,
Accumulated Depreciation,-1297000.0,-1232000.0,,-1161000.0,-2238000.0,-1903000.0
Gross PPE,2478000.0,2823000.0,1993000.0,4061000.0,6377000.0,
Leases,228000.0,228000.0,,228000.0,228000.0,228000.0
Other Properties,1035000.0,1426000.0,1993000.0,2663000.0,4321000.0,
Machinery Furniture Equipment,1215000.0,1169000.0,,1170000.0,1828000.0,1782000.0
Properties,0.0,0.0,,0.0,0.0,0.0
Current Assets,241982000.0,261577000.0,132805000.0,72942000.0,95697000.0,
Other Current Assets,2512000.0,3527000.0,4925000.0,4956000.0,4483000.0,
Inventory,4637000.0,4479000.0,4080000.0,3170000.0,3089000.0,
Finished Goods,604000.0,579000.0,572000.0,633000.0,659000.0,
Work In Process,2601000.0,2518000.0,2111000.0,1008000.0,901000.0,
Raw Materials,1432000.0,1382000.0,1397000.0,1529000.0,1529000.0,
Receivables,1113000.0,573000.0,1606000.0,1865000.0,1174000.0,
Other Receivables,,,715000.0,720000.0,665000.0,640000.0
Accounts Receivable,1113000.0,573000.0,891000.0,1145000.0,509000.0,
Cash Cash Equivalents And Short Term Investments,233720000.0,252998000.0,122194000.0,62951000.0,86951000.0,
Other Short Term Investments,16812000.0,35949000.0,52562000.0,23731000.0,46694000.0,
Cash And Cash Equivalents,216908000.0,217049000.0,69632000.0,39220000.0,40257000.0,
